Tm,OBP,SLG,OBP_Against,SLG_Against,W-L%
ANA,0.322,0.395,0.346,0.427,0.432
ARI,0.347,0.459,0.32,0.402,0.617
ATL,0.341,0.436,0.314,0.377,0.636
BAL,0.353,0.447,0.348,0.439,0.481
BOS,0.35,0.448,0.315,0.398,0.58
CHC,0.329,0.42,0.346,0.467,0.414
CHW,0.337,0.429,0.353,0.447,0.466
CIN,0.341,0.451,0.324,0.411,0.589
CLE,0.373,0.467,0.346,0.438,0.599
COL,0.348,0.472,0.384,0.499,0.444
DET,0.326,0.443,0.349,0.451,0.429
FLA,0.325,0.395,0.359,0.441,0.395
HOU,0.355,0.42,0.326,0.397,0.599
KCR,0.348,0.433,0.365,0.454,0.398
LAD,0.339,0.42,0.334,0.42,0.475
MIL,0.353,0.426,0.356,0.456,0.46
MIN,0.328,0.384,0.341,0.464,0.394
MON,0.323,0.427,0.342,0.418,0.42
NYM,0.363,0.434,0.331,0.418,0.595
NYY,0.366,0.453,0.33,0.4,0.605
OAK,0.355,0.446,0.344,0.429,0.537
PHI,0.351,0.431,0.347,0.447,0.475
PIT,0.334,0.419,0.343,0.42,0.484
SDP,0.332,0.393,0.332,0.429,0.457
SEA,0.343,0.455,0.368,0.454,0.488
SFG,0.356,0.434,0.345,0.423,0.531
STL,0.338,0.426,0.355,0.427,0.466
TBD,0.343,0.411,0.37,0.447,0.426
TEX,0.361,0.479,0.346,0.459,0.586
TOR,0.352,0.457,0.349,0.451,0.518
ANA,0.352,0.472,0.351,0.453,0.506
ARI,0.333,0.429,0.326,0.424,0.525
ATL,0.346,0.429,0.319,0.402,0.586
BAL,0.341,0.435,0.352,0.449,0.457
BOS,0.341,0.423,0.322,0.411,0.525
CHC,0.335,0.411,0.348,0.452,0.401
CHW,0.356,0.47,0.346,0.434,0.586
CIN,0.343,0.447,0.341,0.438,0.525
CLE,0.367,0.47,0.35,0.425,0.556
COL,0.362,0.455,0.354,0.471,0.506
DET,0.343,0.438,0.34,0.443,0.488
FLA,0.331,0.409,0.348,0.429,0.491
HOU,0.361,0.477,0.353,0.476,0.444
KCR,0.348,0.425,0.362,0.474,0.475
LAD,0.341,0.431,0.332,0.407,0.531
