YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2000,MIL,NL,berryse01,1B,2350000,1999,MIL,NL,106,259,26,59,11,1,2,23,0,0,17,50,0,3,0,2,4,0.281,0.301,0,0,281
2000,SDN,NL,joynewa01,1B,3365099,1999,SDN,NL,110,323,34,80,14,2,5,43,0,1,58,54,6,2,0,3,8,0.363,0.350,0,0,392
2000,FLO,NL,leede02,1B,225000,1999,FLO,NL,70,218,21,45,9,1,5,20,2,1,17,70,1,0,0,1,3,0.263,0.326,0,0,237
2000,SEA,AL,seguida01,1B,4325000,1999,SEA,AL,90,345,43,101,22,3,9,39,1,2,32,43,4,1,1,3,9,0.351,0.452,0,0,386
2000,MON,NL,fullmbr01,1B,310000,1999,MON,NL,100,347,38,96,34,2,9,47,2,3,22,35,6,2,0,3,14,0.321,0.464,0,0,380
2000,BAL,AL,clarkwi02,1B,6000000,1999,BAL,AL,77,251,40,76,15,0,10,29,2,2,38,42,2,2,0,3,5,0.395,0.482,0,0,296
2000,ARI,NL,durazer01,1B,260000,1999,ARI,NL,52,155,31,51,4,2,11,30,1,1,26,43,1,1,0,3,1,0.422,0.594,0,0,186
2000,CHA,AL,thomafr04,1B,7100000,1999,CHA,AL,135,486,74,148,36,0,15,77,3,3,87,66,13,9,0,8,15,0.414,0.471,0,0,603
2000,CHN,NL,gracema01,1B,5300000,1999,CHN,NL,161,593,107,183,44,5,16,91,3,4,83,44,4,2,0,10,14,0.390,0.481,0,0,692
2000,NYN,NL,olerujo01,1B,6350000,1999,NYN,NL,162,581,107,173,39,0,19,96,3,0,125,66,5,11,0,6,22,0.427,0.463,0,0,728
2000,BOS,AL,stanlmi02,1B,3500000,1999,BOS,AL,136,427,59,120,22,0,19,72,0,0,70,94,3,11,0,4,8,0.393,0.466,0,0,515
2000,SEA,AL,martied01,1B,5400000,1999,SEA,AL,142,502,86,169,35,1,24,86,7,2,97,99,6,6,0,3,12,0.447,0.554,0,0,614
