YearID	TeamID	LeagueID	PlayerID	POS	Salary	yearID	teamID	lgID	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	OBP	SLG	DumbC	DumbI
2004	BOS	AL	ramirma02	OF	22500000	2003	BOS	AL	154	569	117	185	36	1	37	104	3	1	97	94	28	8	0	5	22	0.427	0.587	0	0
2001	TEX	AL	rodrial01	SS	22000000	2000	SEA	AL	148	554	134	175	34	2	41	132	15	4	100	121	5	7	0	11	10	0.42	0.606	0	1
2002	TEX	AL	rodrial01	SS	22000000	2001	TEX	AL	162	632	133	201	34	1	52	135	18	3	75	131	6	16	0	9	17	0.399	0.622	0	1
2003	TEX	AL	rodrial01	SS	22000000	2002	TEX	AL	162	624	125	187	27	2	57	142	9	4	87	122	12	10	0	4	14	0.392	0.623	0	1
2004	NYA	AL	rodrial01	SS	22000000	2003	TEX	AL	161	607	124	181	30	6	47	118	17	3	87	126	10	15	0	6	16	0.396	0.600	0	1
2003	BOS	AL	ramirma02	OF	20000000	2002	BOS	AL	120	436	84	152	31	0	33	107	0	0	73	85	14	8	0	1	13	0.45	0.647	0	0
2004	TOR	AL	delgaca01	1B	19700000	2003	TOR	AL	161	570	117	172	38	1	42	145	0	0	109	137	23	19	0	7	9	0.426	0.593	0	0
2002	TOR	AL	delgaca01	1B	19400000	2001	TOR	AL	162	574	102	160	31	1	39	102	3	0	111	136	22	16	0	3	9	0.408	0.540	0	0
2003	TOR	AL	delgaca01	1B	18700000	2002	TOR	AL	143	505	103	140	34	2	33	108	1	0	102	126	18	13	0	8	8	0.406	0.549	0	0
2004	NYA	AL	jeterde01	SS	18600000	2003	NYA	AL	119	482	87	156	25	3	10	52	11	5	43	88	2	13	3	1	10	0.391	0.450	0	1
2004	SFN	NL	bondsba01	OF	18000000	2003	SFN	NL	130	390	111	133	22	1	45	90	7	0	148	58	61	10	0	2	7	0.529	0.749	0	0
2003	NYN	NL	vaughmo01	1B	17166667	2002	NYN	NL	139	487	67	126	18	0	26	72	0	1	59	145	6	10	0	2	15	0.349	0.456	0	0
2004	LAN	NL	greensh01	OF	16666667	2003	LAN	NL	160	611	84	171	49	2	19	85	6	2	68	112	2	6	0	6	18	0.355	0.460	0	0
2004	NYN	NL	piazzmi01	C	16071429	2003	NYN	NL	68	234	37	67	13	0	11	34	0	0	35	40	3	1	0	3	11	0.377	0.483	1	0
2004	HOU	NL	bagweje01	1B	16000000	2003	HOU	NL	160	605	109	168	28	2	39	100	11	4	88	119	3	6	0	3	25	0.373	0.524	0	0
2003	CHN	NL	sosasa01	OF	16000000	2002	CHN	NL	150	556	122	160	19	2	49	108	2	0	103	144	15	3	0	4	14	0.399	0.594	0	0
2004	CHN	NL	sosasa01	OF	16000000	2003	CHN	NL	137	517	99	144	22	0	40	103	0	1	62	143	9	5	0	5	14	0.358	0.553	0	0
2003	LAN	NL	greensh01	OF	15666667	2002	LAN	NL	158	582	110	166	31	1	42	114	8	5	93	112	22	5	0	5	26	0.385	0.558	0	0
2003	NYA	AL	jeterde01	SS	15600000	2002	NYA	AL	157	644	124	191	26	0	18	75	32	3	73	114	2	7	3	3	14	0.371	0.421	0	1
2003	NYN	NL	piazzmi01	C	15571429	2002	NYN	NL	135	478	69	134	23	2	33	98	0	3	57	82	9	3	0	3	26	0.359	0.544	1	0
2003	SFN	NL	bondsba01	OF	15500000	2002	SFN	NL	143	403	117	149	31	2	46	110	9	2	198	47	68	9	0	2	4	0.582	0.799	0	0
2002	BOS	AL	ramirma02	OF	15462727	2001	BOS	AL	142	529	93	162	33	2	41	125	0	1	81	147	25	8	0	2	9	0.405	0.609	0	0
2004	ATL	NL	jonesch06	OF	15333333	2003	ATL	NL	153	555	103	169	33	2	27	106	2	2	94	83	13	1	0	6	10	0.402	0.517	0	0
2002	CHN	NL	sosasa01	OF	15000000	2001	CHN	NL	160	577	146	189	34	5	64	160	0	2	116	153	37	6	0	12	6	0.437	0.737	0	0
2002	SFN	NL	bondsba01	OF	15000000	2001	SFN	NL	153	476	129	156	32	2	73	137	13	3	177	93	35	9	0	2	5	0.515	0.863	0	0
2002	NYA	AL	jeterde01	SS	14600000	2001	NYA	AL	150	614	110	191	35	3	21	74	27	3	56	99	3	10	5	1	13	0.375	0.480	0	1
2004	CHA	AL	ordonma01	OF	14000000	2003	CHA	AL	160	606	95	192	46	3	29	99	9	5	57	73	1	7	0	4	20	0.38	0.546	0	0
2001	TOR	AL	delgaca01	1B	13650000	2000	TOR	AL	162	569	115	196	57	1	41	137	0	1	123	104	18	15	0	4	12	0.47	0.664	0	0
2001	NYN	NL	piazzmi01	C	13571429	2000	NYN	NL	136	482	90	156	26	0	38	113	4	2	58	69	10	3	0	2	15	0.398	0.614	1	0
2002	LAN	NL	greensh01	OF	13416667	2001	LAN	NL	161	619	121	184	31	4	49	125	20	4	72	107	10	5	0	5	10	0.372	0.598	0	0
2003	ATL	NL	jonesch06	OF	13333333	2002	ATL	NL	158	548	90	179	35	1	26	100	8	2	107	89	23	2	0	5	18	0.435	0.536	0	0
2001	ANA	AL	vaughmo01	1B	13166667	2000	ANA	AL	161	614	93	167	31	0	36	117	2	0	79	181	11	14	0	5	14	0.365	0.498	0	0
2001	BOS	AL	ramirma02	OF	13050000	2000	CLE	AL	118	439	92	154	34	2	38	122	1	1	86	117	9	3	0	4	9	0.457	0.697	0	0
2003	HOU	NL	bagweje01	1B	13000000	2002	HOU	NL	158	571	94	166	33	2	31	98	7	3	101	130	8	10	0	9	16	0.401	0.518	0	0
2003	TEX	AL	gonzaju03	OF	13000000	2002	TEX	AL	70	277	38	78	21	1	8	35	2	0	17	56	1	1	0	1	11	0.324	0.451	0	0
2003	NYA	AL	mondera01	OF	13000000	2002	TOR	AL	75	299	51	67	16	1	15	45	9	2	31	57	1	3	0	2	8	0.301	0.435	0	0
2004	NYA	AL	sheffga01	OF	13000000	2003	ATL	NL	155	576	126	190	37	2	39	132	18	4	86	55	6	8	0	8	16	0.419	0.604	0	0
