Rk,Name,PlayerID,,,,Age,Tm,Lg,G,PA,ABâ–_,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PosÂ Summary
1,DarinÂ Erstad*,erstada01,,,,26,ANA,AL,157,747,676,121,240,39,6,25,100,28,8,64,82,0.355,0.409,0.541,0.951,137,366,8,1,2,4,9,*78D/3
2,AndruwÂ Jones,jonesan01,,,,23,ATL,NL,161,729,656,122,199,36,6,36,104,21,6,59,100,0.303,0.366,0.541,0.907,126,355,12,9,0,5,0,*8
3,JohnnyÂ Damon*,damonjo01,,,,26,KCR,AL,159,741,655,136,214,42,10,16,88,46,9,65,60,0.327,0.382,0.495,0.877,118,324,7,1,8,12,4,*87D
4,NeifiÂ Perez#,perezne01,,,,27,COL,NL,162,699,651,92,187,39,11,10,71,3,6,30,63,0.287,0.314,0.427,0.741,69,278,9,0,7,11,6,*6
5,GarretÂ Anderson*,anderga01,,,,28,ANA,AL,159,681,647,92,185,40,3,35,117,7,6,24,87,0.286,0.307,0.519,0.827,103,336,21,0,1,9,5,*89D
6,DougÂ Glanville,glanvdo01,,,,29,PHI,NL,154,689,637,89,175,27,6,8,52,31,8,31,76,0.275,0.307,0.374,0.681,71,238,11,2,12,7,1,*8
7,GeraldÂ Williams,willige02,,,,33,TBD,AL,146,682,632,87,173,30,2,21,89,12,12,34,103,0.274,0.312,0.427,0.739,87,270,6,3,9,4,0,*8/D
8,CristianÂ Guzman#,guzmacr01,,,,22,MIN,AL,156,690,631,89,156,25,20,8,54,28,10,46,101,0.247,0.299,0.388,0.687,70,245,5,2,7,4,1,*6/D
9,TonyÂ Batista,batisto01,,,,26,TOR,AL,154,664,620,96,163,32,2,41,114,5,4,35,121,0.263,0.307,0.519,0.827,102,322,15,6,0,3,1,*5
10,LuisÂ Gonzalez*,gonzalu01,,,,32,ARI,NL,162,722,618,106,192,47,2,31,114,2,4,78,85,0.311,0.392,0.544,0.935,130,336,12,12,2,12,6,*7
11,MikeÂ Sweeney,sweenmi01,,,,26,KCR,AL,159,717,618,105,206,30,0,29,144,8,3,71,67,0.333,0.407,0.523,0.93,131,323,15,15,0,13,5,*3D
12,MarkÂ Grudzielanek,grudzma01,,,,30,LAD,NL,148,676,617,101,172,35,6,7,49,12,3,45,81,0.279,0.335,0.389,0.724,87,240,16,9,2,3,0,*4/6
13,TonyÂ Womack*,womacto01,,,,30,ARI,NL,146,659,617,95,167,21,14,7,57,45,11,30,74,0.271,0.307,0.384,0.692,71,237,6,5,2,5,0,*6/9
14,RayÂ Durham#,durhara01,,,,28,CHW,AL,151,709,614,121,172,35,9,17,75,25,13,75,105,0.28,0.361,0.45,0.81,103,276,13,7,5,8,0,*4
15,MoÂ Vaughn*,vaughmo01,,,,32,ANA,AL,161,712,614,93,167,31,0,36,117,2,0,79,181,0.272,0.365,0.498,0.864,115,306,14,14,0,5,11,*3D
16,OmarÂ Vizquel#,vizquom01,,,,33,CLE,AL,156,717,613,101,176,27,3,7,66,22,10,87,72,0.287,0.377,0.375,0.753,92,230,13,5,7,5,0,*6
17,JoeÂ Randa,randajo01,,,,30,KCR,AL,158,665,612,88,186,29,4,15,106,6,3,36,66,0.304,0.343,0.438,0.781,94,268,19,6,1,10,3,*5/D
18,RobertoÂ Alomar#,alomaro01,,,,32,CLE,AL,155,697,610,111,189,40,2,19,89,39,4,64,82,0.31,0.378,0.475,0.853,114,290,19,6,11,6,4,*4
19,ShawnÂ Green*,greensh01,,,,27,LAD,NL,162,714,610,98,164,44,4,24,99,24,5,90,121,0.269,0.367,0.472,0.839,116,288,18,8,0,6,9,*9/8
20,MiguelÂ Tejada,tejadmi01,,,,26,OAK,AL,160,681,607,105,167,32,1,30,115,6,0,66,102,0.275,0.349,0.479,0.828,111,291,15,4,2,2,6,*6
21,EricÂ Young,younger01,,,,33,CHC,NL,153,690,607,98,180,40,2,6,47,54,7,63,39,0.297,0.367,0.399,0.766,97,242,12,8,7,5,1,*4
22,JoseÂ Vidro#,vidrojo01,,,,25,MON,NL,153,663,606,101,200,51,2,24,97,5,4,49,69,0.33,0.379,0.54,0.918,126,327,17,2,0,6,4,*4
23,PrestonÂ Wilson,wilsopr01,,,,25,FLA,NL,161,674,605,94,160,35,3,31,121,36,14,55,187,0.264,0.331,0.486,0.817,109,294,11,8,0,6,1,*8
24,SammyÂ Sosa,sosasa01,,,,31,CHC,NL,156,705,604,106,193,38,1,50,138,7,4,91,168,0.32,0.406,0.634,1.04,161,383,12,2,0,8,19,*9/8
25,JoseÂ Cruz#,cruzjo02,,,,26,TOR,AL,162,681,603,91,146,32,5,31,76,15,5,71,129,0.242,0.323,0.466,0.789,95,281,11,2,2,3,3,*8
26,JermaineÂ Dye,dyeje01,,,,26,KCR,AL,157,679,601,107,193,41,2,33,118,0,1,69,99,0.321,0.39,0.561,0.951,135,337,12,3,0,6,6,*9D
27,JeffÂ Cirillo,cirilje01,,,,30,COL,NL,157,684,598,111,195,53,2,11,115,3,4,67,72,0.326,0.392,0.477,0.869,99,285,19,6,1,12,4,*5
28,AdamÂ Kennedy*,kennead01,,,,24,ANA,AL,156,641,598,82,159,33,11,9,72,22,8,28,73,0.266,0.3,0.403,0.703,75,241,10,3,8,4,5,*4
29,BobbyÂ Higginson*,higgibo02,,,,29,DET,AL,154,679,597,104,179,44,4,30,102,15,3,74,99,0.3,0.377,0.538,0.915,135,321,5,2,2,3,6,*7D
30,MarquisÂ Grissom,grissma02,,,,33,MIL,NL,146,640,595,67,145,18,2,14,62,20,10,39,99,0.244,0.288,0.351,0.64,63,209,9,0,2,4,2,*8
31,BenÂ Grieve*,grievbe01,,,,24,OAK,AL,158,675,594,92,166,40,1,27,104,3,0,73,130,0.279,0.359,0.487,0.845,116,289,32,3,0,5,2,*7D
32,DerekÂ Jeter,jeterde01,,,,26,NYY,AL,148,679,593,119,201,31,4,15,73,22,4,68,99,0.339,0.416,0.481,0.896,128,285,14,12,3,3,4,*6
33,JeffÂ Bagwell,bagweje01,,,,32,HOU,NL,159,719,590,152,183,37,1,47,132,9,6,107,116,0.31,0.424,0.615,1.039,152,363,19,15,0,7,11,*3/D
34,MagglioÂ Ordonez,ordonma01,,,,26,CHW,AL,153,665,588,102,185,34,3,32,126,18,4,60,64,0.315,0.371,0.546,0.917,127,321,28,2,0,15,3,*9
35,JeffÂ Kent,kentje01,,,,32,SFG,NL,159,695,587,114,196,41,7,33,125,12,9,90,107,0.334,0.424,0.596,1.021,162,350,17,9,0,9,6,*43
36,EricÂ Karros,karroer01,,,,32,LAD,NL,155,663,584,84,146,29,0,31,106,4,3,63,122,0.25,0.321,0.459,0.78,99,268,18,4,0,12,2,*3/D
37,TerrenceÂ Long*,longte01,,,,24,OAK,AL,138,631,584,104,168,34,4,18,80,5,0,43,77,0.288,0.336,0.452,0.788,101,264,18,1,0,3,1,*8
38,MikeÂ Bordick,bordimi01,,,,34,TOT,MLB,156,644,583,88,166,30,1,20,80,9,6,49,99,0.285,0.341,0.443,0.783,101,258,16,3,4,5,0,*6
39,DeiviÂ Cruz,cruzde01,,,,27,DET,AL,156,615,583,68,176,46,5,10,82,1,4,13,43,0.302,0.318,0.449,0.767,97,262,25,4,8,7,2,*6
40,EricÂ Owens,owenser01,,,,29,SDP,NL,145,636,583,87,171,19,7,6,51,29,14,45,63,0.293,0.346,0.381,0.727,90,222,16,4,0,4,4,*978/4
41,ShannonÂ Stewart,stewash01,,,,26,TOR,AL,136,631,583,107,186,43,5,21,69,20,5,37,79,0.319,0.363,0.518,0.882,118,302,12,6,1,4,1,*7/8
42,FrankÂ Thomas,thomafr04,,,,32,CHW,AL,159,707,582,115,191,44,0,43,143,1,3,112,94,0.328,0.436,0.625,1.061,163,364,13,5,0,8,18,*D3
43,ToddÂ Helton*,heltoto01,,,,26,COL,NL,160,697,580,138,216,59,2,42,147,5,3,103,61,0.372,0.463,0.698,1.162,163,405,12,4,0,10,22,*3
44,ChipperÂ Jones#,jonesch06,,,,28,ATL,NL,156,686,579,118,180,38,1,36,111,14,7,95,64,0.311,0.404,0.566,0.97,142,328,14,2,0,10,10,*5/6
45,JasonÂ Kendall,kendaja01,,,,26,PIT,NL,152,678,579,112,185,33,6,14,58,22,12,79,79,0.32,0.412,0.47,0.882,124,272,13,15,1,4,3,*2
46,BobbyÂ Abreu*,abreubo01,,,,26,PHI,NL,154,680,576,103,182,42,10,25,79,28,8,100,116,0.316,0.416,0.554,0.97,143,319,12,1,0,3,9,*9
47,DanteÂ Bichette,bicheda01,,,,36,TOT,MLB,155,636,575,80,169,32,2,23,90,5,2,49,91,0.294,0.35,0.477,0.826,105,274,21,4,1,7,3,*9D
48,TravisÂ Fryman,frymatr01,,,,31,CLE,AL,155,658,574,93,184,38,4,22,106,1,1,73,111,0.321,0.392,0.516,0.908,127,296,15,1,0,10,2,*5/3D
49,DavidÂ Segui#,seguida01,,,,33,TOT,AL,150,634,574,93,192,42,1,19,103,0,1,53,84,0.334,0.388,0.51,0.898,125,293,20,1,0,6,2,3D/9
50,CarlosÂ Lee,leeca01,,,,24,CHW,AL,152,619,572,107,172,29,2,24,92,13,4,38,94,0.301,0.345,0.484,0.829,106,277,17,3,1,5,1,*7/D
51,RonnieÂ Belliard,belliro01,,,,25,MIL,NL,152,667,571,83,150,30,9,8,54,7,5,82,84,0.263,0.354,0.389,0.743,91,222,12,3,4,7,4,*4
52,VladimirÂ Guerrero,guerrvl01,,,,25,MON,NL,154,641,571,101,197,28,11,44,123,9,10,58,74,0.345,0.41,0.664,1.074,162,379,15,8,0,4,23,*9/D
53,CarlosÂ Delgado*,delgaca01,,,,28,TOR,AL,162,711,569,115,196,57,1,41,137,0,1,123,104,0.344,0.47,0.664,1.134,181,378,12,15,0,4,18,*3
54,TinoÂ Martinez*,martiti02,,,,32,NYY,AL,155,632,569,69,147,37,4,16,91,4,1,52,74,0.258,0.328,0.422,0.749,89,240,16,8,0,3,9,*3
55,TimÂ Salmon,salmoti01,,,,31,ANA,AL,158,680,568,108,165,36,2,34,97,0,2,104,139,0.29,0.404,0.54,0.945,135,307,14,6,0,2,5,*9D
56,JoseÂ Valentin#,valenjo03,,,,30,CHW,AL,144,648,568,107,155,37,6,25,92,19,2,59,106,0.273,0.343,0.491,0.835,107,279,11,4,13,4,1,*6/9
57,FredÂ McGriff*,mcgrifr01,,,,36,TBD,AL,158,664,566,82,157,18,0,27,106,2,0,91,120,0.277,0.373,0.452,0.826,110,256,16,0,0,7,10,*3D
58,PaulÂ O'Neill*,o'neipa01,,,,37,NYY,AL,142,628,566,79,160,26,0,18,100,14,9,51,90,0.283,0.336,0.424,0.76,92,240,17,0,0,11,2,*9/D
59,JayÂ Bell,bellja01,,,,34,ARI,NL,149,649,565,87,151,30,6,18,68,7,3,70,88,0.267,0.348,0.437,0.786,94,247,7,3,6,5,0,*4/D
60,JohnÂ Olerud*,olerujo01,,,,31,SEA,AL,159,683,565,84,161,45,0,14,103,0,2,102,96,0.285,0.392,0.439,0.831,117,248,17,4,2,10,11,*3
61,RafaelÂ Palmeiro*,palmera01,,,,35,TEX,AL,158,678,565,102,163,29,3,39,120,2,1,103,77,0.288,0.397,0.558,0.954,138,315,14,3,0,7,17,3D
62,JeromyÂ Burnitz*,burnije01,,,,31,MIL,NL,161,686,564,91,131,29,2,31,98,6,4,99,121,0.232,0.356,0.456,0.811,106,257,12,14,0,9,10,*9/D
63,TroyÂ Glaus,glaustr01,,,,23,ANA,AL,159,678,563,120,160,37,1,47,102,14,11,112,163,0.284,0.404,0.604,1.008,150,340,14,2,0,1,6,*5/6D
64,EdgarÂ Renteria,renteed01,,,,23,STL,NL,150,643,562,94,156,32,1,16,76,21,13,63,77,0.278,0.346,0.423,0.77,93,238,19,1,8,9,3,*6
65,DelinoÂ DeShields*,deshide01,,,,31,BAL,AL,151,643,561,84,166,43,5,10,86,37,10,69,82,0.296,0.369,0.444,0.813,110,249,16,1,3,9,2,47D/8
66,MattÂ Lawton*,lawtoma02,,,,28,MIN,AL,156,664,561,84,171,44,2,13,88,23,7,91,63,0.305,0.405,0.46,0.865,116,258,10,7,0,5,8,*97/D8
67,MarvinÂ Benard*,benarma01,,,,29,SFG,NL,149,633,560,102,147,27,6,12,55,22,7,63,97,0.263,0.342,0.396,0.739,92,222,4,6,2,2,0,*897
68,BillÂ Mueller#,muellbi02,,,,29,SFG,NL,153,631,560,97,150,29,4,10,55,4,2,52,62,0.268,0.333,0.388,0.721,87,217,16,6,7,6,0,*5/4
69,AlbertÂ Belle,belleal01,,,,33,BAL,AL,141,622,559,71,157,37,1,23,103,0,5,52,68,0.281,0.342,0.474,0.817,109,265,17,4,0,7,11,*9D
70,BrianÂ Giles*,gilesbr02,,,,29,PIT,NL,156,688,559,111,176,37,7,35,123,6,0,114,69,0.315,0.432,0.594,1.026,157,332,15,7,0,8,13,*879
71,RichardÂ Hidalgo,hidalri01,,,,25,HOU,NL,153,644,558,118,175,42,3,44,122,13,6,56,110,0.314,0.391,0.636,1.028,147,355,13,21,0,9,3,*897
72,JimÂ Thome*,thomeji01,,,,29,CLE,AL,158,684,557,106,150,33,1,37,106,1,0,118,171,0.269,0.398,0.531,0.929,132,296,8,4,0,5,4,3D
73,EdgarÂ Martinez,martied01,,,,37,SEA,AL,153,665,556,100,180,31,0,37,145,3,0,96,95,0.324,0.423,0.579,1.002,158,322,13,5,0,8,8,*D/3
74,AlexÂ Rodriguez,rodrial01,,,,24,SEA,AL,148,672,554,134,175,34,2,41,132,15,4,100,121,0.316,0.42,0.606,1.026,163,336,10,7,0,11,5,*6
75,DmitriÂ Young#,youngdm01,,,,26,CIN,NL,152,593,548,68,166,37,6,18,88,0,3,36,80,0.303,0.346,0.491,0.837,107,269,16,3,1,5,6,*73/D9
76,JuanÂ Encarnacion,encarju01,,,,24,DET,AL,141,590,547,75,158,25,6,14,72,16,4,29,90,0.289,0.33,0.433,0.764,97,237,15,7,3,4,1,*8
