,playerID,salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
58,belleal01,12868670.00,1999,1,BAL,AL,161,610,108,181,36,1,37,117,17,3,101,82,15,7,0,4,19
822,willibe02,12357143.00,1999,1,NYA,AL,158,591,116,202,28,6,25,115,9,10,100,95,17,1,0,5,11
794,walkela01,12142857.00,1999,1,COL,NL,127,438,108,166,26,4,37,115,11,4,57,52,8,12,0,6,12
603,piazzmi01,12071429.00,1999,1,NYN,NL,141,534,100,162,25,0,40,124,2,2,51,70,11,1,0,7,27
775,vaughmo01,11166667.00,1999,1,ANA,AL,139,524,63,147,20,0,33,108,0,0,54,127,7,11,0,3,11
716,sosasa01,11000000.00,1999,1,CHN,NL,162,625,114,180,24,2,63,141,7,8,78,171,8,3,0,6,17
84,bondsba01,10658826.00,1999,1,SFN,NL,102,355,91,93,20,2,34,83,15,2,73,62,9,3,0,3,6
369,jeterde01,10000000.00,1999,1,NYA,AL,158,627,134,219,37,9,24,102,19,8,91,116,5,12,3,6,12
516,mondera01,10000000.00,1999,1,LAN,NL,159,601,98,152,29,5,33,99,36,9,71,134,6,3,0,5,3
700,sheffga01,9916667.00,1999,1,LAN,NL,152,549,103,165,20,0,34,101,11,5,101,64,4,4,0,9,10
274,greensh01,9416667.00,1999,1,TOR,AL,153,614,134,190,45,0,42,123,20,7,66,117,4,11,0,5,13
485,mcgwima01,9333333.00,1999,1,SLN,NL,153,521,118,145,21,1,65,147,0,0,133,141,21,2,0,5,12
278,griffke02,9329700.00,1999,1,SEA,AL,160,606,123,173,26,3,48,134,24,7,91,108,17,7,0,2,8
579,palmera01,8620921.00,1999,1,TEX,AL,158,565,96,183,30,1,47,148,2,4,97,69,14,3,0,9,13
661,rodriiv01,8600000.00,1999,1,TEX,AL,144,600,116,199,29,1,35,113,25,12,24,64,2,1,0,5,31
825,willima04,8500000.00,1999,1,ARI,NL,154,627,98,190,37,2,35,142,2,0,41,93,9,2,0,8,17
758,thomeji01,8175000.00,1999,1,CLE,AL,146,494,101,137,27,2,33,108,0,0,127,171,13,4,0,4,6
781,venturo01,8000000.00,1999,1,NYN,NL,161,588,88,177,38,0,32,120,1,1,74,109,10,3,1,5,14
386,jordabr01,7600000.00,1999,1,ATL,NL,153,576,100,163,28,4,23,115,13,8,51,81,2,9,0,9,9
413,lankfra01,7600000.00,1999,1,SLN,NL,122,422,77,129,32,1,15,63,14,4,49,110,3,3,0,2,6
264,gonzaju03,7500000.00,1999,1,TEX,AL,144,562,114,183,36,1,39,128,3,3,51,105,7,4,0,12,10
440,loftoke01,7500000.00,1999,1,CLE,AL,120,465,110,140,28,6,7,39,25,6,79,84,2,6,5,5,6
17,alomaro01,7196656.00,1999,1,CLE,AL,159,563,138,182,40,3,24,120,37,6,99,96,3,7,12,13,13
21,anderbr01,7127199.00,1999,1,BAL,AL,150,564,109,159,28,5,24,81,36,7,96,105,7,24,1,7,6
757,thomafr04,7100000.00,1999,1,CHA,AL,135,486,74,148,36,0,15,77,3,3,87,66,13,9,0,8,15
774,vaughgr01,7097962.00,1999,1,CIN,NL,153,550,104,135,20,2,45,118,15,2,85,137,3,3,0,5,9
