,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
193,durhara01,4900000,2B,1999,1,CHA,AL,153,612,109,181,30,8,13,60,34,11,73,105,1,4,3,2,9
116,caminke01,4500000,3B,1999,1,HOU,NL,78,273,45,78,11,1,13,56,6,2,46,58,4,3,0,7,7
205,erstada01,2500000,OF,1999,1,ANA,AL,142,585,84,148,22,5,13,53,13,7,47,101,3,1,2,3,16
146,coninje01,2500000,OF,1999,1,BAL,AL,139,444,54,129,31,1,13,75,0,3,30,40,0,3,1,7,12
160,cruzde01,1975000,SS,1999,1,DET,AL,155,518,64,147,35,0,13,58,1,4,12,57,0,4,14,5,10
186,drewjd01,1750000,OF,1999,1,SLN,NL,104,368,72,89,16,6,13,39,19,3,50,77,0,6,3,3,4
127,chaveer01,240000,SS,1999,1,OAK,AL,115,356,47,88,21,2,13,50,1,1,46,56,4,0,0,0,7
770,valenjo02,6350000,3B,1999,1,BOS,AL,113,450,58,114,27,1,12,70,0,1,40,68,2,4,1,8,11
415,larkiba01,5300000,SS,1999,1,CIN,NL,161,583,108,171,30,4,12,75,30,8,93,57,5,2,5,4,12
57,bellde01,5000000,OF,1999,1,HOU,NL,128,509,61,120,22,0,12,66,18,6,50,129,1,4,0,5,20
334,higgibo02,4425000,OF,1999,1,DET,AL,107,377,51,90,18,0,12,46,4,6,64,66,2,2,0,2,2
593,perezne01,2212500,SS,1999,1,COL,NL,157,690,108,193,27,11,12,70,13,5,28,54,0,1,9,4,4
317,henderi01,2000000,OF,1999,1,NYN,NL,121,438,89,138,30,0,12,42,37,14,82,82,1,2,1,3,4
611,posadjo01,1250000,C,1999,1,NYA,AL,112,379,50,93,19,2,12,57,1,0,53,91,2,3,0,2,9
275,greenwi01,395000,OF,1999,1,TOR,AL,81,226,22,46,7,0,12,41,0,0,20,56,0,0,0,2,4
784,vidrojo01,340000,OF,1999,1,MON,NL,140,494,67,150,45,2,12,59,0,4,29,51,2,4,2,2,12
38,avenbr01,320000,OF,1999,1,FLO,NL,137,381,57,110,19,2,12,70,3,0,44,82,1,9,0,6,6
449,lowelmi01,255000,3B,1999,1,FLO,NL,97,308,32,78,15,0,12,47,0,0,26,69,1,5,0,5,8
444,lopezja01,6250000,C,1999,1,ATL,NL,65,246,34,78,18,1,11,45,0,3,20,41,2,3,0,0,6
227,floydcl01,4500000,OF,1999,1,FLO,NL,69,251,37,76,19,1,11,49,5,6,30,47,5,2,0,2,8
639,renteed01,2250000,SS,1999,1,SLN,NL,154,585,92,161,36,2,11,63,37,8,53,82,0,2,6,7,16
257,glanvdo01,2016667,OF,1999,1,PHI,NL,150,628,101,204,38,6,11,73,34,2,48,82,1,6,5,5,9
767,tuckemi01,1700000,OF,1999,1,CIN,NL,133,296,55,75,8,5,11,44,11,4,37,81,3,3,0,4,5
26,andresh01,1000000,3B,1999,1,MON,NL,98,281,28,51,8,0,11,37,1,0,43,88,2,0,0,4,10
731,stewash01,683333,OF,1999,1,TOR,AL,145,608,102,185,28,2,11,67,37,14,59,83,0,8,3,4,12
125,catalfr01,305000,3B,1999,1,DET,AL,100,286,41,79,19,0,11,35,3,4,15,49,1,9,0,5,5
503,milleda02,300000,C,1999,1,ARI,NL,86,296,35,80,19,0,11,47,0,0,19,78,3,2,0,3,6
675,saenzol01,260000,3B,1999,1,OAK,AL,97,255,41,70,18,0,11,41,1,1,22,47,1,15,0,3,6
191,durazer01,260000,1B,1999,1,ARI,NL,52,155,31,51,4,2,11,30,1,1,26,43,1,1,0,3,1
409,koskico01,245000,OF,1999,1,MIN,AL,117,342,42,106,21,0,11,58,4,4,40,72,4,5,2,3,6
295,gwynnto01,6300000,OF,1999,1,SDN,NL,111,411,59,139,27,0,10,62,7,2,29,14,5,2,0,4,15
137,clarkwi02,6000000,1B,1999,1,BAL,AL,77,251,40,76,15,0,10,29,2,2,38,42,2,2,0,3,5
238,frymatr01,5550000,3B,1999,1,CLE,AL,85,322,45,82,16,2,10,48,2,1,25,57,1,1,0,2,13
89,bordimi01,3000000,SS,1999,1,BAL,AL,160,631,93,175,35,7,10,77,14,4,54,102,1,5,8,10,25
