,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
485,mcgwima01,9333333,1B,1999,1,SLN,NL,153,521,118,145,21,1,65,147,0,0,133,141,21,2,0,5,12
716,sosasa01,11000000,OF,1999,1,CHN,NL,162,625,114,180,24,2,63,141,7,8,78,171,8,3,0,6,17
278,griffke02,9329700,OF,1999,1,SEA,AL,160,606,123,173,26,3,48,134,24,7,91,108,17,7,0,2,8
579,palmera01,8620921,1B,1999,1,TEX,AL,158,565,96,183,30,1,47,148,2,4,97,69,14,3,0,9,13
774,vaughgr01,7097962,OF,1999,1,CIN,NL,153,550,104,135,20,2,45,118,15,2,85,137,3,3,0,5,9
381,jonesch06,4750000,SS,1999,1,ATL,NL,157,567,116,181,41,1,45,110,25,3,126,94,18,2,0,6,20
174,delgaca01,6600000,1B,1999,1,TOR,AL,152,573,113,156,39,0,44,134,1,1,86,141,7,15,0,7,11
624,ramirma02,4250000,OF,1999,1,CLE,AL,147,522,131,174,34,3,44,165,2,4,96,131,9,13,0,9,12
274,greensh01,9416667,OF,1999,1,TOR,AL,153,614,134,190,45,0,42,123,20,7,66,117,4,11,0,5,13
40,bagweje01,6500000,1B,1999,1,HOU,NL,162,562,143,171,35,0,42,126,30,11,149,127,16,11,0,7,18
657,rodrial01,4362500,SS,1999,1,SEA,AL,129,502,110,143,25,0,42,111,21,7,56,109,2,5,1,8,12
284,guerrvl01,3500000,OF,1999,1,MON,NL,160,610,102,193,37,5,42,131,14,7,55,62,14,7,0,2,18
603,piazzmi01,12071429,C,1999,1,NYN,NL,141,534,100,162,25,0,40,124,2,2,51,70,11,1,0,7,27
264,gonzaju03,7500000,OF,1999,1,TEX,AL,144,562,114,183,36,1,39,128,3,3,51,105,7,4,0,12,10
253,gilesbr02,1816667,OF,1999,1,PIT,NL,141,521,109,164,33,3,39,115,6,2,95,80,7,3,0,8,14
61,bellja01,7000000,SS,1999,1,ARI,NL,151,589,132,170,32,6,38,112,7,4,82,132,2,4,4,9,9
577,palmede01,7000000,3B,1999,1,DET,AL,150,560,92,147,25,2,38,100,3,3,57,153,3,10,0,4,12
724,stairma01,3050000,OF,1999,1,OAK,AL,146,531,94,137,26,3,38,102,2,7,89,124,6,2,0,1,8
58,belleal01,12868670,OF,1999,1,BAL,AL,161,610,108,181,36,1,37,117,17,3,101,82,15,7,0,4,19
794,walkela01,12142857,OF,1999,1,COL,NL,127,438,108,166,26,4,37,115,11,4,57,52,8,12,0,6,12
661,rodriiv01,8600000,C,1999,1,TEX,AL,144,600,116,199,29,1,35,113,25,12,24,64,2,1,0,5,31
825,willima04,8500000,3B,1999,1,ARI,NL,154,627,98,190,37,2,35,142,2,0,41,93,9,2,0,8,17
363,jahajo01,2750000,1B,1999,1,OAK,AL,142,457,93,126,23,0,35,111,2,0,101,129,2,9,0,3,14
316,heltoto01,1300000,1B,1999,1,COL,NL,159,578,114,185,39,5,35,113,7,6,68,77,6,6,0,4,14
84,bondsba01,10658826,OF,1999,1,SFN,NL,102,355,91,93,20,2,34,83,15,2,73,62,9,3,0,3,6
700,sheffga01,9916667,OF,1999,1,LAN,NL,152,549,103,165,20,0,34,101,11,5,101,64,4,4,0,9,10
76,bicheda01,7000000,OF,1999,1,COL,NL,151,593,104,177,38,2,34,133,6,6,54,84,3,2,0,10,15
222,finlest01,5375000,OF,1999,1,ARI,NL,156,590,100,156,32,10,34,103,8,4,63,94,7,3,2,5,4
394,karroer01,5375000,1B,1999,1,LAN,NL,153,578,74,176,40,0,34,112,8,5,53,119,0,2,0,6,18
118,cansejo01,3000000,OF,1999,1,TBA,AL,113,430,75,120,18,1,34,95,3,0,58,135,3,7,0,7,14
749,tatisfe01,750000,3B,1999,1,SLN,NL,149,537,104,160,31,2,34,107,21,9,82,128,4,16,0,4,11
775,vaughmo01,11166667,1B,1999,1,ANA,AL,139,524,63,147,20,0,33,108,0,0,54,127,7,11,0,3,11
516,mondera01,10000000,OF,1999,1,LAN,NL,159,601,98,152,29,5,33,99,36,9,71,134,6,3,0,5,3
758,thomeji01,8175000,1B,1999,1,CLE,AL,146,494,101,137,27,2,33,108,0,0,127,171,13,4,0,4,6
124,castivi02,6250000,3B,1999,1,COL,NL,158,615,83,169,24,1,33,102,2,3,53,75,7,1,0,5,15
109,burnije01,4462500,OF,1999,1,MIL,NL,130,467,87,126,33,2,33,103,7,3,91,124,7,16,0,6,11
250,giambja01,3103333,3B,1999,1,OAK,AL,158,575,115,181,36,1,33,123,1,1,105,106,6,7,0,8,11
781,venturo01,8000000,3B,1999,1,NYN,NL,161,588,88,177,38,0,32,120,1,1,74,109,10,3,1,5,14
484,mcgrifr01,5945818,1B,1999,1,TBA,AL,144,529,75,164,30,1,32,104,1,0,86,107,11,1,0,4,12
107,burksel01,5500000,OF,1999,1,SFN,NL,120,390,73,110,19,0,31,96,7,5,69,86,2,6,0,4,11
431,liebemi01,4833333,C,1999,1,PHI,NL,145,510,84,153,33,1,31,96,0,0,44,86,7,11,1,8,15
136,clarkto02,4062500,1B,1999,1,DET,AL,143,536,74,150,29,0,31,99,2,1,64,133,7,6,0,3,14
698,sexsori01,247000,OF,1999,1,CLE,AL,134,479,72,122,17,7,31,116,3,3,34,117,0,4,0,8,19
567,ordonma01,425000,OF,1999,1,CHA,AL,157,624,100,188,34,3,30,117,13,6,47,64,4,1,0,5,24
258,glaustr01,275000,3B,1999,1,ANA,AL,154,551,85,132,29,0,29,79,5,1,71,143,1,6,0,3,9
472,martiti02,4800000,1B,1999,1,NYA,AL,159,589,95,155,27,2,28,105,3,4,69,86,7,3,0,4,14
740,surhobj01,4146789,OF,1999,1,BAL,AL,162,673,104,207,38,1,28,107,5,1,43,78,1,2,1,8,15
558,oleartr01,4000000,OF,1999,1,BOS,AL,157,596,84,167,36,4,28,103,1,2,56,91,5,4,0,5,21
277,grievbe01,750000,OF,1999,1,OAK,AL,148,486,80,129,21,0,28,86,4,0,63,108,2,8,0,1,17
13,alfoned01,4225000,2B,1999,1,NYN,NL,158,628,123,191,41,1,27,108,9,2,85,85,2,3,1,9,14
248,garcino01,3700000,SS,1999,1,BOS,AL,135,532,103,190,42,4,27,104,14,3,51,39,7,8,0,4,11
194,dyeje01,2300000,OF,1999,1,KCA,AL,158,608,96,179,44,8,27,119,2,3,58,119,4,1,0,6,17
846,youngke01,5625000,1B,1999,1,PIT,NL,156,584,103,174,41,6,26,106,22,10,75,124,5,12,0,4,13
660,rodrihe02,4600000,OF,1999,1,CHN,NL,130,447,72,136,29,0,26,87,2,4,56,113,6,0,0,1,9
379,jonesan01,3700000,OF,1999,1,ATL,NL,162,592,97,163,35,5,26,84,24,12,76,103,11,9,0,2,12
679,sandere02,3700000,OF,1999,1,SDN,NL,133,478,92,136,24,7,26,72,36,13,65,108,1,6,0,1,10
265,gonzalu01,3333333,OF,1999,1,ARI,NL,153,614,112,206,45,4,26,111,9,5,66,63,6,7,1,5,13
665,rolensc01,2750000,3B,1999,1,PHI,NL,112,421,74,113,28,1,26,77,12,2,67,114,2,3,0,6,8
832,wilsopr01,287000,OF,1999,1,FLO,NL,149,482,67,135,21,4,26,71,11,4,46,156,3,9,0,6,15
