,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
631,reedje02,1000000,C,1999,2,CHN,NL,57,150,18,39,11,2,1,17,1,1,28,34,0,2,0,1,4
563,olivejo01,500000,C,1999,1,PIT,NL,45,134,10,27,8,0,1,13,2,0,10,33,0,0,0,2,4
629,redmomi01,245000,C,1999,1,FLO,NL,84,242,22,73,9,0,1,27,0,0,26,34,2,5,5,0,8
256,girarjo01,2000000,C,1999,1,NYA,AL,65,209,23,50,16,1,2,27,3,1,10,26,0,0,8,2,16
478,maynebr01,1750000,C,1999,1,SFN,NL,117,322,39,97,32,0,2,39,2,2,43,65,5,5,1,3,16
43,bakopa01,275000,C,1999,1,HOU,NL,73,215,16,55,14,1,2,17,1,1,26,57,3,0,3,3,4
793,walbema01,925000,C,1999,1,ANA,AL,107,288,26,69,8,1,3,22,2,3,26,46,1,3,3,1,12
476,mathemi01,750000,C,1999,1,TOR,AL,57,163,16,35,6,0,3,17,0,0,12,37,0,1,2,1,3
180,diazei01,237500,C,1999,1,CLE,AL,119,392,43,110,21,1,3,32,11,4,23,41,0,5,6,1,10
330,hernara02,211000,C,1999,1,OAK,AL,40,136,13,38,7,0,3,21,1,0,18,11,0,1,1,2,5
209,eusebto01,1100000,C,1999,1,HOU,NL,103,323,31,88,15,0,4,33,0,0,40,67,4,0,0,0,9
310,haselbi01,1100000,C,1999,1,DET,AL,48,143,13,39,8,0,4,14,2,0,10,26,1,0,0,0,4
122,castial01,425000,C,1999,1,SLN,NL,93,255,21,67,8,0,4,31,0,0,24,48,1,2,5,4,6
376,johnsma02,250000,C,1999,1,CHA,AL,73,207,27,47,11,0,4,16,3,1,36,58,0,2,1,2,2
696,servasc01,625000,C,1999,1,SFN,NL,69,198,21,54,10,0,5,21,0,0,13,31,2,3,3,0,7
411,kreutch01,500000,C,1999,1,KCA,AL,107,324,31,73,15,0,5,35,0,0,34,65,1,6,2,2,16
18,alomasa02,2700000,C,1999,1,CLE,AL,37,137,19,42,13,0,6,25,0,1,4,23,0,0,1,2,1
181,difelmi01,525000,C,1999,1,TBA,AL,51,179,21,55,11,0,6,27,0,0,8,23,0,3,0,1,1
464,marreel01,240000,C,1999,1,SLN,NL,114,317,32,61,13,1,6,34,11,2,18,56,4,1,4,3,14
830,wilsoda01,4000000,C,1999,1,SEA,AL,123,414,46,110,23,2,7,38,5,0,29,83,4,2,10,2,10
681,santibe01,650000,C,1999,1,CHN,NL,109,350,28,87,18,3,7,36,1,1,32,71,6,2,0,2,12
592,perezed02,650000,C,1999,1,ATL,NL,104,309,30,77,17,0,7,30,0,1,17,40,4,6,4,3,9
397,kendaja01,2250000,C,1999,1,PIT,NL,78,280,61,93,20,3,8,41,22,3,38,32,3,12,0,4,8
428,leyriji01,1000000,C,1999,1,SDN,NL,50,134,17,32,5,0,8,21,0,0,15,37,1,4,0,1,4
37,ausmubr01,4000000,C,1999,1,DET,AL,127,458,62,126,25,6,9,54,12,9,51,71,0,14,3,1,11
344,houstty01,835000,C,1999,1,CHN,NL,100,249,26,58,9,1,9,27,1,1,28,67,4,0,1,1,7
228,fordybr01,675000,C,1999,1,CHA,AL,105,333,36,99,25,1,9,49,2,0,21,48,0,3,3,2,5
444,lopezja01,6250000,C,1999,1,ATL,NL,65,246,34,78,18,1,11,45,0,3,20,41,2,3,0,0,6
503,milleda02,300000,C,1999,1,ARI,NL,86,296,35,80,19,0,11,47,0,0,19,78,3,2,0,3,6
611,posadjo01,1250000,C,1999,1,NYA,AL,112,379,50,93,19,2,12,57,1,0,53,91,2,3,0,2,9
223,flahejo01,2947410,C,1999,1,TBA,AL,117,446,53,124,19,0,14,71,0,2,19,64,0,6,1,10,14
820,widgech01,1350000,C,1999,1,MON,NL,124,383,42,101,24,1,14,56,1,4,28,86,0,7,0,1,5
732,stinnke01,1000000,C,1999,1,ARI,NL,88,284,36,66,13,0,14,38,2,1,24,83,2,5,2,2,4
373,johnsch04,4600000,C,1999,1,BAL,AL,135,426,58,107,19,1,16,54,0,0,55,107,2,4,4,3,13
224,fletcda01,2500000,C,1999,1,TOR,AL,115,412,48,120,26,0,18,80,0,0,26,47,0,6,0,4,16
773,varitja01,375000,C,1999,1,BOS,AL,144,483,70,130,39,2,20,76,1,2,46,85,2,2,5,8,13
750,taubeed01,1400000,C,1999,1,CIN,NL,126,424,58,132,22,2,21,87,0,2,30,67,1,1,1,5,12
744,sweenmi01,2250000,C,1999,1,KCA,AL,150,575,101,185,44,2,22,102,6,1,54,48,0,10,0,4,21
350,hundlto01,6125000,C,1999,1,LAN,NL,114,376,49,78,14,0,24,55,3,0,44,113,3,4,1,3,5
431,liebemi01,4833333,C,1999,1,PHI,NL,145,510,84,153,33,1,31,96,0,0,44,86,7,11,1,8,15
661,rodriiv01,8600000,C,1999,1,TEX,AL,144,600,116,199,29,1,35,113,25,12,24,64,2,1,0,5,31
603,piazzmi01,12071429,C,1999,1,NYN,NL,141,534,100,162,25,0,40,124,2,2,51,70,11,1,0,7,27
