YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Arbitration,Free Agency,
2000,ANA,AL,husonje01,SS,300000,1999,ANA,AL,97,225,21,59,7,1,0,18,10,1,16,27,0,0,1,3,9,0.306,0.302,0,1,245,0,1,
2000,ANA,AL,anderga01,OF,3250000,1999,ANA,AL,157,620,88,188,36,2,21,80,3,4,34,81,8,0,0,6,15,0.336,0.469,0,0,668,0,0,
2000,ANA,AL,vaughmo01,1B,11166667,1999,ANA,AL,139,524,63,147,20,0,33,108,0,0,54,127,7,11,0,3,11,0.358,0.508,0,0,599,0,0,
2000,ANA,AL,velarra01,2B,3050000,1999,ANA,AL,95,376,57,115,15,4,9,48,13,4,43,56,1,4,2,0,8,0.381,0.439,0,1,426,0,0,
2000,ANA,AL,glaustr01,3B,275000,1999,ANA,AL,154,551,85,132,29,0,29,79,5,1,71,143,1,6,0,3,9,0.331,0.450,0,1,632,0,0,
2000,ANA,AL,walbema01,C,925000,1999,ANA,AL,107,288,26,69,8,1,3,22,2,3,26,46,1,3,3,1,12,0.305,0.306,1,0,322,0,0,
2000,ANA,AL,palmeor01,OF,550000,1999,ANA,AL,109,317,46,88,12,1,1,23,5,5,39,30,1,6,6,3,4,0.358,0.331,0,0,372,0,0,
2000,ANA,AL,edmonji01,OF,4500000,1999,ANA,AL,55,204,34,51,17,2,5,23,5,4,28,45,0,0,0,1,3,0.339,0.426,0,0,233,0,0,
2000,ANA,AL,erstada01,OF,2500000,1999,ANA,AL,142,585,84,148,22,5,13,53,13,7,47,101,3,1,2,3,16,0.307,0.374,0,0,641,0,0,
2000,ANA,AL,salmoti01,OF,6000000,1999,ANA,AL,98,353,60,94,24,2,17,69,4,1,63,82,2,0,0,6,7,0.372,0.490,0,0,424,0,0,
2000,ANA,AL,disarga01,SS,3225000,1999,ANA,AL,81,271,32,62,7,1,1,29,2,2,15,32,0,2,9,1,8,0.265,0.273,0,1,298,0,0,
2000,ARI,NL,durazer01,1B,260000,1999,ARI,NL,52,155,31,51,4,2,11,30,1,1,26,43,1,1,0,3,1,0.422,0.594,0,0,186,0,0,
2000,ARI,NL,colbrgr01,3B,1005000,1999,ARI,NL,67,135,20,44,5,3,5,24,1,1,12,23,0,4,0,2,3,0.392,0.519,0,1,153,0,0,
2000,ARI,NL,willima04,3B,8500000,1999,ARI,NL,154,627,98,190,37,2,35,142,2,0,41,93,9,2,0,8,17,0.344,0.536,0,1,687,0,0,
2000,ARI,NL,milleda02,C,300000,1999,ARI,NL,86,296,35,80,19,0,11,47,0,0,19,78,3,2,0,3,6,0.316,0.446,1,0,323,0,0,
2000,ARI,NL,stinnke01,C,1000000,1999,ARI,NL,88,284,36,66,13,0,14,38,2,1,24,83,2,5,2,2,4,0.300,0.426,1,0,319,0,0,
2000,ARI,NL,gilkebe01,OF,5250000,1999,ARI,NL,94,204,28,60,16,1,8,39,2,2,29,42,2,2,1,5,7,0.378,0.500,0,0,243,0,0,
2000,ARI,NL,leetr01,OF,500000,1999,ARI,NL,120,375,57,89,16,2,9,50,17,3,58,50,4,0,0,3,10,0.337,0.363,0,0,440,0,0,
2000,ARI,NL,gonzalu01,OF,3333333,1999,ARI,NL,153,614,112,206,45,4,26,111,9,5,66,63,6,7,1,5,13,0.403,0.549,0,0,699,0,0,
2000,ARI,NL,finlest01,OF,5375000,1999,ARI,NL,156,590,100,156,32,10,34,103,8,4,63,94,7,3,2,5,4,0.335,0.525,0,0,670,0,0,
2000,ARI,NL,friasha01,SS,243500,1999,ARI,NL,69,150,27,41,3,2,1,16,4,3,29,18,2,0,1,0,2,0.389,0.340,0,1,182,0,0,
2000,ARI,NL,womacto01,SS,2500000,1999,ARI,NL,144,614,111,170,25,10,4,41,72,13,52,68,0,2,9,7,4,0.327,0.370,0,1,684,0,0,
2000,ARI,NL,foxan01,SS,750000,1999,ARI,NL,99,274,34,70,12,2,6,33,4,1,33,61,10,9,1,3,4,0.350,0.380,0,1,330,0,0,
2000,ARI,NL,bellja01,SS,7000000,1999,ARI,NL,151,589,132,170,32,6,38,112,7,4,82,132,2,4,4,9,9,0.372,0.557,0,1,690,0,0,
2000,ATL,NL,boonebr01,2B,3750000,1999,ATL,NL,152,608,102,153,38,1,20,63,14,9,47,112,0,5,9,2,11,0.306,0.416,0,1,671,0,0,
2000,ATL,NL,lockhke01,3B,1000000,1999,ATL,NL,108,161,20,42,3,1,1,21,3,1,19,21,0,1,0,3,2,0.337,0.311,0,1,184,0,0,
2000,ATL,NL,perezed02,C,650000,1999,ATL,NL,104,309,30,77,17,0,7,30,0,1,17,40,4,6,4,3,9,0.295,0.372,1,0,343,0,0,
2000,ATL,NL,lopezja01,C,6250000,1999,ATL,NL,65,246,34,78,18,1,11,45,0,3,20,41,2,3,0,0,6,0.375,0.533,1,0,271,0,0,
2000,ATL,NL,willige02,OF,2373439,1999,ATL,NL,143,422,76,116,24,1,17,68,19,11,33,67,1,6,4,2,8,0.332,0.457,0,0,468,0,0,
2000,ATL,NL,kleskry01,OF,5750000,1999,ATL,NL,133,404,55,120,28,2,21,80,5,2,53,69,8,2,0,7,6,0.376,0.532,0,0,474,0,0,
2000,ATL,NL,jordabr01,OF,7600000,1999,ATL,NL,153,576,100,163,28,4,23,115,13,8,51,81,2,9,0,9,9,0.346,0.465,0,0,647,0,0,
2000,ATL,NL,jonesan01,OF,3700000,1999,ATL,NL,162,592,97,163,35,5,26,84,24,12,76,103,11,9,0,2,12,0.365,0.483,0,0,690,0,0,
2000,ATL,NL,weisswa01,SS,3000000,1999,ATL,NL,110,279,38,63,13,4,2,29,7,3,35,48,1,3,6,4,1,0.309,0.323,0,1,328,0,0,
2000,ATL,NL,jonesch06,SS,4750000,1999,ATL,NL,157,567,116,181,41,1,45,110,25,3,126,94,18,2,0,6,20,0.441,0.633,0,1,719,0,0,
2000,BAL,AL,baineha01,1B,2000000,1999,BAL,AL,107,345,57,111,16,1,24,81,1,2,43,38,3,0,0,2,14,0.395,0.583,0,0,393,0,1,
2000,BAL,AL,coninje01,OF,2500000,1999,BAL,AL,139,444,54,129,31,1,13,75,0,3,30,40,0,3,1,7,12,0.334,0.453,0,0,485,0,1,
2000,BAL,AL,amarari01,OF,500000,1999,BAL,AL,91,137,21,38,8,1,0,11,9,6,15,20,0,1,1,2,1,0.346,0.350,0,0,156,0,0,
2000,BAL,AL,anderbr01,OF,7127199,1999,BAL,AL,150,564,109,159,28,5,24,81,36,7,96,105,7,24,1,7,6,0.403,0.477,0,0,699,0,0,
2000,BAL,AL,johnsch04,C,4600000,1999,BAL,AL,135,426,58,107,19,1,16,54,0,0,55,107,2,4,4,3,13,0.337,0.413,1,0,494,1,0,
2000,BAL,AL,clarkwi02,1B,6000000,1999,BAL,AL,77,251,40,76,15,0,10,29,2,2,38,42,2,2,0,3,5,0.395,0.482,0,0,296,0,0,
2000,BAL,AL,hairsje02,2B,205000,1999,BAL,AL,50,175,26,47,12,1,4,17,9,4,11,24,0,3,4,0,2,0.316,0.417,0,1,193,0,0,
2000,BAL,AL,deshide01,2B,4209324,1999,BAL,AL,96,330,46,87,11,2,6,34,11,8,37,52,0,1,5,1,5,0.334,0.364,0,1,374,0,0,
2000,BAL,AL,ripkeca01,3B,6300000,1999,BAL,AL,86,332,51,113,27,0,18,57,0,1,13,31,3,3,3,3,14,0.364,0.584,0,1,357,0,0,
