,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
75,berryse01,2350000,1B,1999,1,MIL,NL,106,259,26,59,11,1,2,23,0,0,17,50,0,3,0,2,4
388,joynewa01,3365099,1B,1999,1,SDN,NL,110,323,34,80,14,2,5,43,0,1,58,54,6,2,0,3,8
421,leede02,225000,1B,1999,1,FLO,NL,70,218,21,45,9,1,5,20,2,1,17,70,1,0,0,1,3
692,seguida01,4325000,1B,1999,1,SEA,AL,90,345,43,101,22,3,9,39,1,2,32,43,4,1,1,3,9
239,fullmbr01,310000,1B,1999,1,MON,NL,100,347,38,96,34,2,9,47,2,3,22,35,6,2,0,3,14
137,clarkwi02,6000000,1B,1999,1,BAL,AL,77,251,40,76,15,0,10,29,2,2,38,42,2,2,0,3,5
191,durazer01,260000,1B,1999,1,ARI,NL,52,155,31,51,4,2,11,30,1,1,26,43,1,1,0,3,1
757,thomafr04,7100000,1B,1999,1,CHA,AL,135,486,74,148,36,0,15,77,3,3,87,66,13,9,0,8,15
270,gracema01,5300000,1B,1999,1,CHN,NL,161,593,107,183,44,5,16,91,3,4,83,44,4,2,0,10,14
559,olerujo01,6350000,1B,1999,1,NYN,NL,162,581,107,173,39,0,19,96,3,0,125,66,5,11,0,6,22
725,stanlmi02,3500000,1B,1999,1,BOS,AL,136,427,59,120,22,0,19,72,0,0,70,94,3,11,0,4,8
467,martied01,5400000,1B,1999,1,SEA,AL,142,502,86,169,35,1,24,86,7,2,97,99,6,6,0,3,12
713,snowjt01,4750000,1B,1999,1,SFN,NL,161,570,93,156,25,2,24,98,0,4,86,121,7,5,1,6,16
97,brognri01,4200000,1B,1999,1,PHI,NL,157,619,90,172,29,4,24,102,8,5,54,132,7,2,0,4,19
730,stevele01,3500000,1B,1999,1,TEX,AL,146,517,76,146,31,1,24,81,2,3,52,132,10,0,0,7,19
41,baineha01,2000000,1B,1999,1,BAL,AL,107,345,57,111,16,1,24,81,1,2,43,38,3,0,0,2,14
121,caseyse01,400000,1B,1999,1,CIN,NL,151,594,103,197,42,3,25,99,0,2,61,88,13,9,0,5,15
846,youngke01,5625000,1B,1999,1,PIT,NL,156,584,103,174,41,6,26,106,22,10,75,124,5,12,0,4,13
472,martiti02,4800000,1B,1999,1,NYA,AL,159,589,95,155,27,2,28,105,3,4,69,86,7,3,0,4,14
136,clarkto02,4062500,1B,1999,1,DET,AL,143,536,74,150,29,0,31,99,2,1,64,133,7,6,0,3,14
484,mcgrifr01,5945818,1B,1999,1,TBA,AL,144,529,75,164,30,1,32,104,1,0,86,107,11,1,0,4,12
775,vaughmo01,11166667,1B,1999,1,ANA,AL,139,524,63,147,20,0,33,108,0,0,54,127,7,11,0,3,11
758,thomeji01,8175000,1B,1999,1,CLE,AL,146,494,101,137,27,2,33,108,0,0,127,171,13,4,0,4,6
394,karroer01,5375000,1B,1999,1,LAN,NL,153,578,74,176,40,0,34,112,8,5,53,119,0,2,0,6,18
363,jahajo01,2750000,1B,1999,1,OAK,AL,142,457,93,126,23,0,35,111,2,0,101,129,2,9,0,3,14
316,heltoto01,1300000,1B,1999,1,COL,NL,159,578,114,185,39,5,35,113,7,6,68,77,6,6,0,4,14
40,bagweje01,6500000,1B,1999,1,HOU,NL,162,562,143,171,35,0,42,126,30,11,149,127,16,11,0,7,18
174,delgaca01,6600000,1B,1999,1,TOR,AL,152,573,113,156,39,0,44,134,1,1,86,141,7,15,0,7,11
579,palmera01,8620921,1B,1999,1,TEX,AL,158,565,96,183,30,1,47,148,2,4,97,69,14,3,0,9,13
485,mcgwima01,9333333,1B,1999,1,SLN,NL,153,521,118,145,21,1,65,147,0,0,133,141,21,2,0,5,12
