,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
123,castilu01,390000,2B,1999,1,FLO,NL,128,487,76,147,23,4,0,28,50,17,67,85,0,0,6,3,3
786,vinafe01,2300000,2B,1999,1,MIL,NL,37,154,17,41,7,0,1,16,5,2,14,6,0,4,3,2,1
845,younger01,4500000,2B,1999,1,LAN,NL,119,456,73,128,24,2,2,41,51,22,63,26,0,5,6,4,12
114,cairomi01,295000,2B,1999,1,TBA,AL,120,465,61,137,15,5,3,36,22,7,24,46,0,7,7,5,13
414,lansimi01,6250000,2B,1999,1,COL,NL,35,145,24,45,9,0,4,15,2,0,7,22,0,1,1,1,3
519,moranmi01,750000,2B,1999,1,CHN,NL,144,456,60,110,18,5,4,37,6,6,48,61,2,6,7,4,10
296,hairsje02,205000,2B,1999,1,BAL,AL,50,175,26,47,12,1,4,17,9,4,11,24,0,3,4,0,2
179,deshide01,4209324,2B,1999,1,BAL,AL,96,330,46,87,11,2,6,34,11,8,37,52,0,1,5,1,5
782,verasqu01,3000000,2B,1999,1,SDN,NL,132,475,95,133,25,2,6,41,30,17,65,88,0,2,1,2,7
795,walketo04,322500,2B,1999,1,MIN,AL,143,531,62,148,37,4,6,46,18,10,52,83,5,1,0,2,15
557,offerjo01,5750000,2B,1999,1,BOS,AL,149,586,107,172,37,11,8,69,18,12,96,79,5,2,2,7,11
778,velarra01,3050000,2B,1999,1,ANA,AL,95,376,57,115,15,4,9,48,13,4,43,56,1,4,2,0,8
217,febleca01,250000,2B,1999,1,KCA,AL,123,453,71,116,22,9,10,53,20,4,47,91,0,9,12,3,16
193,durhara01,4900000,2B,1999,1,CHA,AL,153,612,109,181,30,8,13,60,34,11,73,105,1,4,3,2,9
524,morriwa02,300000,2B,1999,1,PIT,NL,147,511,65,147,20,3,15,73,3,7,59,88,3,2,4,5,12
406,knoblch01,6000000,2B,1999,1,NYA,AL,150,603,120,176,36,4,18,68,28,9,83,57,0,21,3,5,7
87,boonebr01,3750000,2B,1999,1,ATL,NL,152,608,102,153,38,1,20,63,14,9,47,112,0,5,9,2,11
399,kentje01,6000000,2B,1999,1,SFN,NL,138,511,86,148,40,2,23,101,13,6,61,112,3,5,0,8,12
17,alomaro01,7196656,2B,1999,1,CLE,AL,159,563,138,182,40,3,24,120,37,6,99,96,3,7,12,13,13
13,alfoned01,4225000,2B,1999,1,NYN,NL,158,628,123,191,41,1,27,108,9,2,85,85,2,3,1,9,14
438,lockhke01,1000000,3B,1999,1,ATL,NL,108,161,20,42,3,1,1,21,3,1,19,21,0,1,0,3,2
