,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
307,harrile01,1100000,OF,1999,1,COL,NL,91,158,15,47,12,0,0,13,1,1,6,6,0,0,0,0,7
20,amarari01,500000,OF,1999,1,BAL,AL,91,137,21,38,8,1,0,11,9,6,15,20,0,1,1,2,1
612,posesc01,232500,OF,1999,1,KCA,AL,86,137,27,39,3,0,0,12,6,2,21,22,1,0,1,1,3
480,mccraqu01,1850000,OF,1999,1,TBA,AL,40,148,20,37,6,1,1,18,6,5,14,23,0,1,1,1,7
578,palmeor01,550000,OF,1999,1,ANA,AL,109,317,46,88,12,1,1,23,5,5,39,30,1,6,6,3,4
691,sefcike01,475000,OF,1999,1,PHI,NL,111,209,28,58,15,3,1,11,9,4,29,24,0,1,3,0,4
375,johnsla03,350000,OF,1999,1,CHN,NL,95,335,46,87,11,6,1,21,13,3,37,20,0,0,4,1,6
426,lewisda01,2400000,OF,1999,1,BOS,AL,135,470,63,113,14,6,2,40,16,10,45,52,0,5,14,4,5
285,guerrwi01,825000,OF,1999,1,MON,NL,132,315,42,92,15,7,2,31,7,6,13,38,0,2,10,0,4
288,guilljo01,375000,OF,1999,2,TBA,AL,47,168,24,41,10,0,2,13,0,0,10,36,1,7,0,1,9
190,dunwoto01,232500,OF,1999,1,FLO,NL,64,186,20,41,6,3,2,20,3,4,12,41,0,1,0,1,1
268,goodwto01,3416667,OF,1999,1,TEX,AL,109,405,63,105,12,6,3,33,39,11,40,61,0,0,7,3,7
364,javiest01,1500000,OF,1999,1,SFN,NL,112,333,49,92,15,1,3,30,13,6,29,55,4,1,7,1,4
14,alicelu01,750000,OF,1999,1,TEX,AL,68,164,33,33,10,0,3,17,2,1,28,32,0,0,3,1,4
616,prattto02,500000,OF,1999,1,NYN,NL,71,140,18,41,4,0,3,21,2,0,15,32,0,3,0,2,0
251,giambje01,228000,OF,1999,1,KCA,AL,90,288,34,82,13,1,3,34,0,0,40,67,5,3,1,4,7
300,hamilda02,3633333,OF,1999,1,COL,NL,91,337,63,102,11,3,4,24,4,5,38,21,0,1,2,1,7
126,cedenro01,2400000,OF,1999,1,NYN,NL,155,453,90,142,23,4,4,36,66,17,60,100,3,3,7,2,5
352,huntebr02,300000,OF,1999,2,SEA,AL,121,484,71,112,11,5,4,34,44,5,32,80,0,1,3,7,8
99,brownad01,285000,OF,1999,1,PIT,NL,116,226,34,61,5,2,4,17,5,3,33,39,2,1,6,1,5
132,chrisry01,221000,OF,1999,1,OAK,AL,106,268,41,56,12,1,4,24,7,5,38,58,0,1,8,4,6
197,edmonji01,4500000,OF,1999,1,ANA,AL,55,204,34,51,17,2,5,23,5,4,28,45,0,0,0,1,3
171,daviser01,4420840,OF,1999,1,SLN,NL,58,191,27,49,9,2,5,30,5,4,30,49,1,1,0,1,1
165,curtich01,2000000,OF,1999,1,NYA,AL,96,195,37,51,6,0,5,24,8,4,43,35,0,3,1,3,6
188,dunstsh01,600000,OF,1999,1,SLN,NL,62,150,23,46,5,2,5,25,6,3,2,23,0,3,2,1,4
