,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
65,2001,ATL,NL,bakopa01,C,450000,2000,2,FLO,NL,56,161,10,39,6,1,0,14,0,0,22,48,7,1,1,1,4
523,2001,MON,NL,joneste02,OF,225000,2000,1,MON,NL,108,168,30,42,8,2,0,13,7,2,10,32,1,0,3,0,3
585,2001,NYN,NL,ordonre01,SS,4000000,2000,1,NYN,NL,45,133,10,25,5,0,0,9,0,0,17,16,2,0,4,1,4
17,2001,ANA,AL,palmeor01,OF,900000,2000,1,ANA,AL,108,243,38,73,20,2,0,25,4,1,38,20,0,2,10,3,4
303,2001,COL,NL,pierrju01,OF,215000,2000,1,COL,NL,51,200,26,62,2,0,0,20,7,6,13,15,0,1,4,1,2
453,2001,LAN,NL,rebouje01,SS,450000,2000,1,KCA,AL,66,182,29,44,7,0,0,14,3,1,23,32,0,0,6,1,8
366,2001,FLO,NL,redmomi01,C,300000,2000,1,FLO,NL,87,210,17,53,8,1,0,15,0,0,13,19,3,8,1,3,5
396,2001,HOU,NL,vizcajo01,SS,1500000,2000,2,NYA,AL,73,174,23,48,8,1,0,10,5,7,12,28,0,0,3,2,3
633,2001,PHI,NL,anderma02,2B,280000,2000,1,PHI,NL,41,162,10,37,8,1,1,15,2,2,12,22,0,0,0,0,5
513,2001,MON,NL,barremi01,C,285000,2000,1,MON,NL,89,271,28,58,15,1,1,22,0,1,23,35,5,1,1,1,7
340,2001,FLO,NL,bergda01,SS,587500,2000,1,FLO,NL,82,210,23,53,14,1,1,21,3,0,25,46,0,5,1,4,5
873,2001,TOR,AL,bushho01,2B,2550000,2000,1,TOR,AL,76,297,38,64,8,0,1,18,9,4,18,60,0,5,4,1,10
875,2001,TOR,AL,castial01,C,725000,2000,1,TOR,AL,66,185,14,39,7,0,1,16,0,0,21,36,0,0,2,3,3
695,2001,SDN,NL,darrmi02,OF,215000,2000,1,SDN,NL,58,205,21,55,14,4,1,30,9,1,23,45,1,0,0,0,9
880,2001,TOR,AL,fryeje01,3B,1000000,2000,1,BOS,AL,69,239,35,69,13,0,1,13,1,3,28,38,0,1,4,1,5
648,2001,PHI,NL,huntebr02,OF,900000,2000,1,COL,NL,72,200,36,55,4,1,1,13,15,3,21,31,0,1,4,0,2
115,2001,BAL,AL,matoslu01,OF,226000,2000,1,BAL,AL,72,182,21,41,6,3,1,17,13,4,12,30,0,3,2,2,7
657,2001,PHI,NL,perezto03,SS,280000,2000,1,PHI,NL,45,140,17,31,7,1,1,13,1,1,11,30,2,0,1,0,3
419,2001,KCA,AL,sanchre01,SS,2300000,2000,1,KCA,AL,143,509,68,139,18,2,1,38,7,3,28,55,0,4,11,3,17
836,2001,TBA,AL,winnra01,OF,270000,2000,1,TBA,AL,51,159,28,40,5,0,1,16,6,7,26,25,0,2,2,1,2
694,2001,SDN,NL,ariasal01,SS,550000,2000,1,PHI,NL,70,155,17,29,9,0,2,15,1,0,16,28,2,3,3,3,1
667,2001,PIT,NL,benjami01,SS,925000,2000,1,PIT,NL,93,233,28,63,18,2,2,19,5,4,12,45,0,3,6,1,4
516,2001,MON,NL,bradlmi01,OF,207000,2000,1,MON,NL,42,154,20,34,8,1,2,15,2,1,14,32,0,1,1,1,3
252,2001,CLE,AL,cabrejo02,SS,237000,2000,1,CLE,AL,100,175,27,44,3,1,2,15,6,4,8,15,0,2,1,1,1
343,2001,FLO,NL,castilu01,2B,2200000,2000,1,FLO,NL,136,539,101,180,17,3,2,17,62,22,78,86,0,0,9,0,11
344,2001,FLO,NL,castrra01,C,214000,2000,1,FLO,NL,50,138,10,33,4,0,2,14,0,0,16,36,7,1,0,2,1
403,2001,KCA,AL,febleca01,2B,310000,2000,1,KCA,AL,100,339,59,87,12,1,2,29,17,6,36,48,1,10,13,1,10
176,2001,CHA,AL,graffto01,SS,375000,2000,2,CHA,AL,57,148,25,40,5,1,2,16,7,4,21,25,0,1,1,1,1
231,2001,CIN,NL,guerrwi01,OF,400000,2000,1,MON,NL,127,288,30,77,7,2,2,23,8,1,19,41,0,0,6,1,6
788,2001,SLN,NL,hernaca01,C,3500000,2000,1,SDN,NL,58,191,16,48,11,0,2,25,1,3,16,26,1,3,0,2,4
821,2001,TBA,AL,johnsru01,SS,270000,2000,2,TBA,AL,74,185,28,47,8,0,2,17,4,1,25,30,0,1,3,1,4
150,2001,BOS,AL,lewisda01,OF,2500000,2000,1,BOS,AL,97,270,44,65,12,0,2,17,10,5,22,34,0,3,8,0,2
77,2001,ATL,NL,lockhke01,3B,800000,2000,1,ATL,NL,113,275,32,73,12,3,2,32,4,1,29,31,7,0,5,4,10
325,2001,DET,AL,maciajo01,SS,240000,2000,1,DET,AL,73,173,25,44,3,5,2,24,2,0,18,24,0,1,4,0,3
711,2001,SDN,NL,magadda01,SS,575000,2000,1,SDN,NL,95,132,13,36,7,0,2,21,0,0,32,23,1,0,0,2,4
85,2001,ATL,NL,martida01,OF,1500000,2000,4,TOR,AL,47,180,29,56,10,1,2,22,4,2,24,28,0,1,0,1,3
824,2001,TBA,AL,martife01,SS,255000,2000,1,TBA,AL,106,299,42,64,11,4,2,17,9,3,32,68,0,8,12,2,4
584,2001,NYN,NL,mcewijo01,SS,252500,2000,1,NYN,NL,87,153,20,34,14,1,2,19,3,1,5,29,0,1,8,2,2
475,2001,MIL,NL,moutoja01,OF,300000,2000,1,MIL,NL,87,159,28,37,7,1,2,17,13,4,30,43,0,3,4,1,5
769,2001,SFN,NL,murraca01,OF,222500,2000,1,SFN,NL,108,194,35,47,12,1,2,22,9,3,29,33,0,3,2,1,0
337,2001,FLO,NL,abbotje01,OF,300000,2000,1,CHA,AL,80,215,31,59,15,1,3,29,2,1,21,38,1,2,2,1,2
697,2001,SDN,NL,davisbe01,C,235000,2000,1,SDN,NL,43,130,12,29,6,0,3,14,1,1,14,35,1,0,3,1,2
4,2001,ANA,AL,fabrejo01,C,500000,2000,1,KCA,AL,43,142,13,40,4,0,3,17,1,0,8,11,1,0,2,0,1
320,2001,DET,AL,fickro01,C,255000,2000,1,DET,AL,66,163,18,41,7,2,3,22,2,1,22,39,2,1,0,2,4
351,2001,FLO,NL,foxan01,SS,775000,2000,2,FLO,NL,69,164,19,40,4,2,3,10,8,3,18,37,3,3,0,0,1
146,2001,BOS,AL,grebecr01,SS,700000,2000,1,TOR,AL,66,241,38,71,19,0,3,23,0,0,25,33,0,2,1,1,7
321,2001,DET,AL,haltesh01,SS,420000,2000,1,DET,AL,105,238,26,62,12,2,3,27,5,2,14,49,0,1,10,2,5
581,2001,NYN,NL,harrile01,OF,1100000,2000,2,NYN,NL,76,138,22,42,6,3,3,13,8,1,17,17,1,0,2,0,4
737,2001,SEA,AL,mclemma01,OF,2000000,2000,1,SEA,AL,138,481,72,118,23,1,3,46,30,14,81,78,2,1,11,4,12
302,2001,COL,NL,petribe01,C,232000,2000,1,COL,NL,52,146,32,47,10,1,3,20,1,2,20,33,2,2,1,4,1
591,2001,NYN,NL,relafde01,SS,475000,2000,1,PHI,NL,83,253,29,56,12,3,3,30,5,0,48,45,7,9,2,1,7
393,2001,HOU,NL,spierbi01,SS,1700000,2000,1,HOU,NL,124,355,41,107,17,3,3,43,7,4,49,38,3,1,2,2,8
669,2001,PIT,NL,brownad01,OF,380000,2000,1,PIT,NL,104,308,64,97,18,3,4,28,13,1,29,34,1,0,2,1,1
225,2001,CIN,NL,castrju01,SS,400000,2000,1,CIN,NL,82,224,20,54,12,2,4,23,0,2,14,33,1,0,4,2,9
434,2001,LAN,NL,coraal01,SS,240000,2000,1,LAN,NL,109,353,39,84,18,6,4,32,4,1,26,53,4,7,6,2,6
256,2001,CLE,AL,cordoma01,OF,500000,2000,1,TOR,AL,62,200,23,49,7,0,4,18,3,2,18,35,0,3,0,0,6
754,2001,SFN,NL,crespfe01,OF,425000,2000,1,SFN,NL,89,131,17,38,6,1,4,29,3,2,10,23,2,4,2,3,3
40,2001,ARI,NL,cummimi01,OF,425000,2000,1,MIN,AL,77,181,28,50,10,0,4,22,0,0,11,25,1,3,1,0,4
258,2001,CLE,AL,diazei01,C,387500,2000,1,CLE,AL,75,250,29,68,14,2,4,25,4,2,11,29,0,8,6,0,7
70,2001,ATL,NL,furcara01,SS,355000,2000,1,ATL,NL,131,455,87,134,20,4,4,37,40,14,73,80,0,3,9,2,2
703,2001,SDN,NL,henderi01,OF,300000,2000,2,SEA,AL,92,324,58,77,13,2,4,30,31,9,63,55,0,2,3,3,9
493,2001,MIN,AL,hockide01,SS,900000,2000,1,MIN,AL,134,373,52,111,24,4,4,47,7,5,48,77,1,0,7,5,2
855,2001,TEX,AL,ledeeri01,OF,406500,2000,3,TEX,AL,58,213,23,50,6,3,4,38,6,3,25,50,2,1,0,1,7
209,2001,CHN,NL,matthga02,OF,225000,2000,1,CHN,NL,80,158,24,30,1,2,4,14,3,0,15,28,1,1,1,0,2
526,2001,MON,NL,mordemi01,SS,375000,2000,1,MON,NL,86,169,20,48,16,0,4,16,2,2,12,34,0,1,1,0,1
808,2001,SLN,NL,vinafe01,2B,4333333,2000,1,SLN,NL,123,487,81,146,24,6,4,31,10,8,36,36,0,28,2,1,5
482,2001,MIL,NL,whitede03,OF,5000000,2000,1,LAN,NL,47,158,26,42,5,1,4,13,3,6,9,30,0,1,0,0,3
514,2001,MON,NL,bergepe01,OF,242500,2000,1,MON,NL,148,518,80,127,25,7,5,31,11,13,58,100,0,0,14,2,4
781,2001,SLN,NL,bonilbo01,OF,900000,2000,1,ATL,NL,114,239,23,61,13,3,5,28,0,0,37,51,2,1,0,1,3
700,2001,SDN,NL,gonzawi01,C,240000,2000,1,SDN,NL,95,284,25,66,15,1,5,30,1,2,30,31,4,3,1,1,5
439,2001,LAN,NL,goodwto01,OF,3416667,2000,1,COL,NL,91,317,65,86,8,8,5,47,39,7,50,76,2,1,5,4,3
