,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
212,2001,CHN,NL,sosasa01,OF,12500000,2000,1,CHN,NL,156,604,106,193,38,1,50,138,7,4,91,168,19,2,0,8,12
753,2001,SFN,NL,bondsba01,OF,10300000,2000,1,SFN,NL,143,480,129,147,28,4,49,106,11,3,117,77,22,3,0,7,6
372,2001,HOU,NL,bagweje01,1B,6500000,2000,1,HOU,NL,159,590,152,183,37,1,47,132,9,6,107,116,11,15,0,7,19
6,2001,ANA,AL,glaustr01,SS,1250000,2000,1,ANA,AL,159,563,120,160,37,1,47,102,14,11,112,163,6,2,0,1,14
520,2001,MON,NL,guerrvl01,OF,6000000,2000,1,MON,NL,154,571,101,197,28,11,44,123,9,10,58,74,23,8,0,4,15
385,2001,HOU,NL,hidalri01,OF,3500000,2000,1,HOU,NL,153,558,118,175,42,3,44,122,13,6,56,110,3,21,0,9,13
608,2001,OAK,AL,giambja01,1B,4103333,2000,1,OAK,AL,152,510,108,170,29,1,43,137,2,0,137,96,6,9,0,8,9
455,2001,LAN,NL,sheffga01,OF,9916667,2000,1,LAN,NL,141,501,105,163,24,3,43,109,4,6,101,71,7,4,0,6,13
189,2001,CHA,AL,thomafr04,1B,9927000,2000,1,CHA,AL,159,582,115,191,44,0,43,143,1,3,112,94,18,5,0,8,13
785,2001,SLN,NL,edmonji01,OF,6333333,2000,1,SLN,NL,152,525,129,155,25,0,42,108,10,3,103,167,3,6,1,8,5
290,2001,COL,NL,heltoto01,1B,4950000,2000,1,COL,NL,160,580,138,216,59,2,42,147,5,3,103,61,22,4,0,10,12
870,2001,TOR,AL,batisto01,3B,3300000,2000,1,TOR,AL,154,620,96,163,32,2,41,114,5,4,35,121,1,6,0,3,15
877,2001,TOR,AL,delgaca01,1B,13650000,2000,1,TOR,AL,162,569,115,196,57,1,41,137,0,1,123,104,18,15,0,4,12
863,2001,TEX,AL,rodrial01,SS,22000000,2000,1,SEA,AL,148,554,134,175,34,2,41,132,15,4,100,121,5,7,0,11,10
230,2001,CIN,NL,griffke02,OF,12500000,2000,1,CIN,NL,145,520,100,141,22,3,40,118,6,4,94,117,17,9,0,8,7
