,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
65,2001,ATL,NL,bakopa01,C,450000,2000,2,FLO,NL,56,161,10,39,6,1,0,14,0,0,22,48,7,1,1,1,4
366,2001,FLO,NL,redmomi01,C,300000,2000,1,FLO,NL,87,210,17,53,8,1,0,15,0,0,13,19,3,8,1,3,5
513,2001,MON,NL,barremi01,C,285000,2000,1,MON,NL,89,271,28,58,15,1,1,22,0,1,23,35,5,1,1,1,7
875,2001,TOR,AL,castial01,C,725000,2000,1,TOR,AL,66,185,14,39,7,0,1,16,0,0,21,36,0,0,2,3,3
344,2001,FLO,NL,castrra01,C,214000,2000,1,FLO,NL,50,138,10,33,4,0,2,14,0,0,16,36,7,1,0,2,1
788,2001,SLN,NL,hernaca01,C,3500000,2000,1,SDN,NL,58,191,16,48,11,0,2,25,1,3,16,26,1,3,0,2,4
697,2001,SDN,NL,davisbe01,C,235000,2000,1,SDN,NL,43,130,12,29,6,0,3,14,1,1,14,35,1,0,3,1,2
4,2001,ANA,AL,fabrejo01,C,500000,2000,1,KCA,AL,43,142,13,40,4,0,3,17,1,0,8,11,1,0,2,0,1
320,2001,DET,AL,fickro01,C,255000,2000,1,DET,AL,66,163,18,41,7,2,3,22,2,1,22,39,2,1,0,2,4
302,2001,COL,NL,petribe01,C,232000,2000,1,COL,NL,52,146,32,47,10,1,3,20,1,2,20,33,2,2,1,4,1
258,2001,CLE,AL,diazei01,C,387500,2000,1,CLE,AL,75,250,29,68,14,2,4,25,4,2,11,29,0,8,6,0,7
700,2001,SDN,NL,gonzawi01,C,240000,2000,1,SDN,NL,95,284,25,66,15,1,5,30,1,2,30,31,4,3,1,1,5
750,2001,SEA,AL,wilsoda01,C,4400000,2000,1,SEA,AL,90,268,31,63,12,0,5,27,1,2,22,51,0,0,11,2,8
459,2001,MIL,NL,casanra01,C,400000,2000,1,MIL,NL,86,231,20,57,13,3,6,36,1,2,26,48,1,4,2,2,5
812,2001,TBA,AL,difelmi01,C,775000,2000,1,TBA,AL,60,204,23,49,13,1,6,19,0,0,12,40,0,0,5,2,8
204,2001,CHN,NL,girarjo01,C,2000000,2000,1,CHN,NL,106,363,47,101,15,1,6,40,1,0,32,61,3,3,6,3,12
848,2001,TEX,AL,haselbi01,C,800000,2000,1,TEX,AL,62,193,23,53,18,0,6,26,0,1,15,36,0,1,0,1,1
447,2001,LAN,NL,kreutch01,C,900000,2000,1,LAN,NL,80,212,32,56,13,0,6,28,1,0,54,48,0,2,2,1,6
795,2001,SLN,NL,mathemi01,C,900000,2000,1,SLN,NL,128,417,43,109,22,1,6,47,0,0,32,96,8,4,7,4,11
858,2001,TEX,AL,mirabdo01,C,295000,2000,1,SFN,NL,82,230,23,53,10,2,6,28,1,0,36,57,2,2,3,2,6
274,2001,CLE,AL,taubeed01,C,1800000,2000,1,CIN,NL,81,266,29,71,12,0,6,24,0,0,21,44,1,2,1,1,7
165,2001,CHA,AL,alomasa02,C,2900000,2000,1,CLE,AL,97,356,44,103,16,2,7,42,2,2,16,41,1,4,4,4,9
371,2001,HOU,NL,ausmubr01,C,4250000,2000,1,DET,AL,150,523,75,139,25,3,7,51,11,5,69,79,0,6,4,2,19
457,2001,MIL,NL,blanche01,C,712500,2000,1,MIL,NL,93,284,29,67,24,0,7,31,0,3,36,60,6,0,0,4,9
382,2001,HOU,NL,eusebto01,C,1300000,2000,1,HOU,NL,74,218,24,61,18,0,7,33,0,0,25,45,2,4,0,2,8
426,2001,KCA,AL,zaungr01,C,1150000,2000,1,KCA,AL,83,234,36,64,11,0,7,33,7,3,43,34,3,3,0,2,4
147,2001,BOS,AL,hattesc01,C,1050000,2000,1,BOS,AL,92,230,21,61,15,0,8,36,0,1,38,39,3,0,1,2,8
589,2001,NYN,NL,prattto02,C,600000,2000,1,NYN,NL,80,160,33,44,6,0,8,25,0,0,22,31,1,5,2,1,5
775,2001,SFN,NL,santibe01,C,500000,2000,1,CIN,NL,89,252,22,66,11,1,8,45,2,2,19,45,8,1,0,5,7
241,2001,CIN,NL,stinnke01,C,500000,2000,1,ARI,NL,76,240,22,52,7,0,8,33,0,1,19,56,4,6,0,0,5
104,2001,BAL,AL,fordybr01,C,825000,2000,2,BAL,AL,53,177,23,57,11,0,9,28,0,0,11,27,0,2,0,4,3
813,2001,TBA,AL,flahejo01,C,3000000,2000,1,TBA,AL,109,394,36,103,15,0,10,39,0,0,20,57,2,0,2,2,11
51,2001,ARI,NL,milleda02,C,1250000,2000,1,ARI,NL,100,324,43,89,24,0,10,44,2,2,36,74,4,1,1,2,6
556,2001,NYA,AL,olivejo01,C,1100000,2000,1,SEA,AL,69,200,33,53,13,1,10,35,2,1,14,38,1,0,5,0,6
163,2001,BOS,AL,varitja01,C,1800000,2000,1,BOS,AL,139,448,55,111,31,1,10,65,1,1,60,84,3,6,1,4,16
759,2001,SFN,NL,estalbo02,C,310000,2000,1,SFN,NL,106,299,45,70,22,3,14,53,3,0,57,92,9,2,0,3,4
614,2001,OAK,AL,hernara02,C,245000,2000,1,OAK,AL,143,419,52,101,19,0,14,62,1,0,38,64,1,7,10,5,14
674,2001,PIT,NL,kendaja01,C,5100000,2000,1,PIT,NL,152,579,112,185,33,6,14,58,22,12,79,79,3,15,1,4,13
328,2001,DET,AL,melusmi01,C,345000,2000,1,HOU,NL,117,337,47,101,21,0,14,69,1,0,55,74,10,4,1,3,7
14,2001,ANA,AL,molinbe01,C,350000,2000,1,ANA,AL,130,473,59,133,20,2,14,71,1,0,23,33,0,6,4,7,17
653,2001,PHI,NL,liebemi01,C,6333333,2000,1,PHI,NL,108,389,55,108,30,0,15,71,2,0,40,53,3,6,0,3,12
469,2001,MIL,NL,houstty01,C,1375000,2000,1,MIL,NL,101,284,30,71,15,0,18,43,2,1,17,72,3,0,4,0,13
879,2001,TOR,AL,fletcda01,C,3525000,2000,1,TOR,AL,122,416,43,133,19,1,20,58,1,0,20,45,3,5,0,4,8
354,2001,FLO,NL,johnsch04,C,5000000,2000,1,BAL,AL,84,286,52,84,16,0,21,55,2,0,32,69,0,0,1,1,8
207,2001,CHN,NL,hundlto01,C,3500000,2000,1,LAN,NL,90,299,49,85,16,0,24,70,0,1,45,69,6,2,1,6,5
79,2001,ATL,NL,lopezja01,C,7750000,2000,1,ATL,NL,134,481,60,138,21,1,24,89,0,0,35,80,3,4,0,5,20
864,2001,TEX,AL,rodriiv01,C,8200000,2000,1,TEX,AL,91,363,66,126,27,4,27,83,5,5,19,48,5,1,0,6,17
559,2001,NYA,AL,posadjo01,C,4050000,2000,1,NYA,AL,151,505,92,145,35,1,28,86,2,2,107,151,10,8,0,4,11
588,2001,NYN,NL,piazzmi01,C,13571429,2000,1,NYN,NL,136,482,90,156,26,0,38,113,4,2,58,69,10,3,0,2,15
