YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,Birth year,Age,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Age_Dummy
2001,ANA,AL,joynewa01,1B,200000,2000,1962,38,ATL,NL,119,224,24,63,12,0,5,32,0,0,31,31,3,1,0,4,2,0.365,0.402,0,0,263,0
2001,ARI,NL,durazer01,1B,260000,2000,1974,26,ARI,NL,67,196,35,52,11,0,8,33,1,0,34,43,2,1,0,2,3,0.373,0.444,0,0,235,1
2001,CHA,AL,baineha01,1B,1000000,2000,1959,41,BAL,AL,72,222,24,59,8,0,10,30,0,0,29,39,6,0,0,1,6,0.349,0.437,0,0,258,0
2001,MIN,AL,ortizda01,1B,260000,2000,1975,25,MIN,AL,130,415,59,117,36,1,10,63,1,0,57,81,2,0,0,6,13,0.364,0.446,0,0,480,1
2001,ARI,NL,gracema01,1B,3000000,2000,1964,36,CHN,NL,143,510,75,143,41,1,11,82,1,2,95,28,11,6,2,8,7,0.393,0.429,0,0,632,0
2001,DET,AL,clarkto02,1B,4462500,2000,1972,28,DET,AL,60,208,32,57,14,0,13,37,0,0,24,51,2,0,0,0,10,0.349,0.529,0,0,234,0
2001,SEA,AL,olerujo01,1B,6700000,2000,1968,32,SEA,AL,159,565,84,161,45,0,14,103,0,2,102,96,11,4,2,10,17,0.391,0.439,0,0,694,0
2001,NYA,AL,martiti02,1B,6300000,2000,1967,33,NYA,AL,155,569,69,147,37,4,16,91,4,1,52,74,9,8,0,3,16,0.328,0.422,0,0,641,0
2001,MIL,NL,sexsori01,1B,1125000,2000,1974,26,CLE,AL,91,324,45,83,16,1,16,44,1,0,25,96,0,4,0,3,8,0.315,0.460,0,0,356,1
2001,SFN,NL,snowjt01,1B,5750000,2000,1968,32,SFN,NL,155,536,82,152,33,2,19,96,1,3,66,129,6,11,0,14,20,0.365,0.459,0,0,633,0
2001,CIN,NL,caseyse01,1B,3000000,2000,1974,26,CIN,NL,133,480,69,151,33,2,20,85,1,0,52,80,4,7,0,6,16,0.385,0.517,0,0,549,1
2001,PIT,NL,youngke01,1B,6125000,2000,1969,31,PIT,NL,132,496,77,128,27,0,20,88,8,3,32,96,1,8,0,5,15,0.311,0.433,0,0,542,0
2001,MON,NL,stevele01,1B,4000000,2000,1967,33,MON,NL,123,449,60,119,27,2,22,75,0,0,48,105,6,2,0,2,10,0.337,0.481,0,0,507,0
