,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
11,2001,ANA,AL,joynewa01,1B,200000,2000,1,ATL,NL,119,224,24,63,12,0,5,32,0,0,31,31,3,1,0,4,2
43,2001,ARI,NL,durazer01,1B,260000,2000,1,ARI,NL,67,196,35,52,11,0,8,33,1,0,34,43,2,1,0,2,3
166,2001,CHA,AL,baineha01,1B,1000000,2000,1,BAL,AL,72,222,24,59,8,0,10,30,0,0,29,39,6,0,0,1,6
503,2001,MIN,AL,ortizda01,1B,260000,2000,1,MIN,AL,130,415,59,117,36,1,10,63,1,0,57,81,2,0,0,6,13
46,2001,ARI,NL,gracema01,1B,3000000,2000,1,CHN,NL,143,510,75,143,41,1,11,82,1,2,95,28,11,6,2,8,7
316,2001,DET,AL,clarkto02,1B,4462500,2000,1,DET,AL,60,208,32,57,14,0,13,37,0,0,24,51,2,0,0,0,10
741,2001,SEA,AL,olerujo01,1B,6700000,2000,1,SEA,AL,159,565,84,161,45,0,14,103,0,2,102,96,11,4,2,10,17
553,2001,NYA,AL,martiti02,1B,6300000,2000,1,NYA,AL,155,569,69,147,37,4,16,91,4,1,52,74,9,8,0,3,16
478,2001,MIL,NL,sexsori01,1B,1125000,2000,1,CLE,AL,91,324,45,83,16,1,16,44,1,0,25,96,0,4,0,3,8
776,2001,SFN,NL,snowjt01,1B,5750000,2000,1,SFN,NL,155,536,82,152,33,2,19,96,1,3,66,129,6,11,0,14,20
224,2001,CIN,NL,caseyse01,1B,3000000,2000,1,CIN,NL,133,480,69,151,33,2,20,85,1,0,52,80,4,7,0,6,16
693,2001,PIT,NL,youngke01,1B,6125000,2000,1,PIT,NL,132,496,77,128,27,0,20,88,8,3,32,96,1,8,0,5,15
532,2001,MON,NL,stevele01,1B,4000000,2000,1,MON,NL,123,449,60,119,27,2,22,75,0,0,48,105,6,2,0,2,10
603,2001,NYN,NL,zeileto01,1B,6833333,2000,1,NYN,NL,153,544,67,146,36,3,22,79,3,4,74,85,4,2,0,3,15
825,2001,TBA,AL,mcgrifr01,1B,6500000,2000,1,TBA,AL,158,566,82,157,18,0,27,106,2,0,91,120,10,0,0,7,16
845,2001,TEX,AL,galaran01,1B,6000000,2000,1,ATL,NL,141,494,67,149,25,1,28,100,3,5,36,126,5,17,0,1,15
356,2001,FLO,NL,leede02,1B,375000,2000,1,FLO,NL,158,477,70,134,18,3,28,70,0,3,63,123,6,4,0,2,14
424,2001,KCA,AL,sweenmi01,1B,5000000,2000,1,KCA,AL,159,618,105,206,30,0,29,144,8,3,71,67,5,15,0,13,15
446,2001,LAN,NL,karroer01,1B,7500000,2000,1,LAN,NL,155,584,84,146,29,0,31,106,4,3,63,122,2,4,0,12,18
882,2001,TOR,AL,fullmbr01,1B,2500000,2000,1,TOR,AL,133,482,76,142,29,1,32,104,3,1,30,68,3,6,0,6,14
797,2001,SLN,NL,mcgwima01,1B,11000000,2000,1,SLN,NL,89,236,60,72,8,0,32,73,1,0,76,78,12,7,0,2,5
26,2001,ANA,AL,vaughmo01,1B,13166667,2000,1,ANA,AL,161,614,93,167,31,0,36,117,2,0,79,181,11,14,0,5,14
736,2001,SEA,AL,martied01,1B,5500000,2000,1,SEA,AL,153,556,100,180,31,0,37,145,3,0,96,95,8,5,0,8,13
275,2001,CLE,AL,thomeji01,1B,7875000,2000,1,CLE,AL,158,557,106,150,33,1,37,106,1,0,118,171,4,4,0,5,8
860,2001,TEX,AL,palmera01,1B,9000000,2000,1,TEX,AL,158,565,102,163,29,3,39,120,2,1,103,77,17,3,0,7,14
877,2001,TOR,AL,delgaca01,1B,13650000,2000,1,TOR,AL,162,569,115,196,57,1,41,137,0,1,123,104,18,15,0,4,12
290,2001,COL,NL,heltoto01,1B,4950000,2000,1,COL,NL,160,580,138,216,59,2,42,147,5,3,103,61,22,4,0,10,12
608,2001,OAK,AL,giambja01,1B,4103333,2000,1,OAK,AL,152,510,108,170,29,1,43,137,2,0,137,96,6,9,0,8,9
189,2001,CHA,AL,thomafr04,1B,9927000,2000,1,CHA,AL,159,582,115,191,44,0,43,143,1,3,112,94,18,5,0,8,13
372,2001,HOU,NL,bagweje01,1B,6500000,2000,1,HOU,NL,159,590,152,183,37,1,47,132,9,6,107,116,11,15,0,7,19
