,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
633,2001,PHI,NL,anderma02,2B,280000,2000,1,PHI,NL,41,162,10,37,8,1,1,15,2,2,12,22,0,0,0,0,5
873,2001,TOR,AL,bushho01,2B,2550000,2000,1,TOR,AL,76,297,38,64,8,0,1,18,9,4,18,60,0,5,4,1,10
343,2001,FLO,NL,castilu01,2B,2200000,2000,1,FLO,NL,136,539,101,180,17,3,2,17,62,22,78,86,0,0,9,0,11
403,2001,KCA,AL,febleca01,2B,310000,2000,1,KCA,AL,100,339,59,87,12,1,2,29,17,6,36,48,1,10,13,1,10
808,2001,SLN,NL,vinafe01,2B,4333333,2000,1,SLN,NL,123,487,81,146,24,6,4,31,10,8,36,36,0,28,2,1,5
106,2001,BAL,AL,hairsje02,2B,235000,2000,1,BAL,AL,49,180,27,46,5,0,5,19,8,5,21,22,0,6,5,0,8
552,2001,NYA,AL,knoblch01,2B,6000000,2000,1,NYA,AL,102,400,75,113,22,2,5,26,15,7,46,45,0,8,1,2,6
96,2001,ATL,NL,verasqu01,2B,3900000,2000,1,ATL,NL,84,298,56,92,15,0,5,37,25,12,51,50,0,5,6,4,8
220,2001,CHN,NL,younger01,2B,4500000,2000,1,CHN,NL,153,607,98,180,40,2,6,47,54,7,63,39,1,8,7,5,12
487,2001,MIN,AL,canizja01,2B,235000,2000,1,MIN,AL,102,346,43,93,21,1,7,40,4,2,24,57,0,1,0,0,8
308,2001,COL,NL,walketo04,2B,1050000,2000,2,COL,NL,57,171,28,54,10,4,7,36,4,1,20,19,0,1,1,3,2
456,2001,MIL,NL,belliro01,2B,310000,2000,1,MIL,NL,152,571,83,150,30,9,8,54,7,5,82,84,4,3,4,7,12
375,2001,HOU,NL,biggicr01,2B,7750000,2000,1,HOU,NL,101,377,67,101,13,5,8,35,12,2,61,73,3,16,7,5,10
12,2001,ANA,AL,kennead01,2B,280000,2000,1,ANA,AL,156,598,82,159,33,11,9,72,22,8,28,73,5,3,8,4,10
155,2001,BOS,AL,offerjo01,2B,6750000,2000,1,BOS,AL,116,451,73,115,14,3,9,41,0,8,70,70,0,1,2,3,9
236,2001,CIN,NL,reesepo01,2B,3200000,2000,1,CIN,NL,135,518,76,132,20,6,12,46,29,3,45,86,5,6,3,5,8
867,2001,TEX,AL,velarra01,2B,3150000,2000,1,OAK,AL,122,485,82,135,23,0,12,41,9,3,54,95,0,3,3,1,15
318,2001,DET,AL,easleda01,2B,5075000,2000,1,DET,AL,126,464,76,120,27,2,14,58,13,4,55,79,1,11,4,1,11
172,2001,CHA,AL,durhara01,2B,9000000,2000,1,CHA,AL,151,614,121,172,35,9,17,75,25,13,75,105,0,7,5,8,13
38,2001,ARI,NL,bellja01,2B,8050000,2000,1,ARI,NL,149,565,87,151,30,6,18,68,7,3,70,88,0,3,6,5,7
248,2001,CLE,AL,alomaro01,2B,7750000,2000,1,CLE,AL,155,610,111,189,40,2,19,89,39,4,64,82,4,6,11,6,19
725,2001,SEA,AL,boonebr01,2B,3250000,2000,1,SDN,NL,127,463,61,116,18,2,19,74,8,4,50,97,7,5,0,7,11
540,2001,MON,NL,vidrojo01,2B,2500000,2000,1,MON,NL,153,606,101,200,51,2,24,97,5,4,49,69,4,2,0,6,17
571,2001,NYN,NL,alfoned01,2B,5750000,2000,1,NYN,NL,150,544,109,176,40,2,25,94,3,2,95,70,1,5,0,6,12
766,2001,SFN,NL,kentje01,2B,6000000,2000,1,SFN,NL,159,587,114,196,41,7,33,125,12,9,90,107,6,9,0,9,17
880,2001,TOR,AL,fryeje01,3B,1000000,2000,1,BOS,AL,69,239,35,69,13,0,1,13,1,3,28,38,0,1,4,1,5
77,2001,ATL,NL,lockhke01,3B,800000,2000,1,ATL,NL,113,275,32,73,12,3,2,32,4,1,29,31,7,0,5,4,10
650,2001,PHI,NL,jordake01,3B,700000,2000,1,PHI,NL,109,337,30,74,16,2,5,36,0,1,17,41,0,1,0,3,11
809,2001,TBA,AL,castivi02,3B,7250000,2000,1,TBA,AL,85,331,22,73,9,1,6,42,1,2,14,41,3,3,0,6,9
