,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
523,2001,MON,NL,joneste02,OF,225000,2000,1,MON,NL,108,168,30,42,8,2,0,13,7,2,10,32,1,0,3,0,3
17,2001,ANA,AL,palmeor01,OF,900000,2000,1,ANA,AL,108,243,38,73,20,2,0,25,4,1,38,20,0,2,10,3,4
303,2001,COL,NL,pierrju01,OF,215000,2000,1,COL,NL,51,200,26,62,2,0,0,20,7,6,13,15,0,1,4,1,2
695,2001,SDN,NL,darrmi02,OF,215000,2000,1,SDN,NL,58,205,21,55,14,4,1,30,9,1,23,45,1,0,0,0,9
648,2001,PHI,NL,huntebr02,OF,900000,2000,1,COL,NL,72,200,36,55,4,1,1,13,15,3,21,31,0,1,4,0,2
115,2001,BAL,AL,matoslu01,OF,226000,2000,1,BAL,AL,72,182,21,41,6,3,1,17,13,4,12,30,0,3,2,2,7
836,2001,TBA,AL,winnra01,OF,270000,2000,1,TBA,AL,51,159,28,40,5,0,1,16,6,7,26,25,0,2,2,1,2
516,2001,MON,NL,bradlmi01,OF,207000,2000,1,MON,NL,42,154,20,34,8,1,2,15,2,1,14,32,0,1,1,1,3
231,2001,CIN,NL,guerrwi01,OF,400000,2000,1,MON,NL,127,288,30,77,7,2,2,23,8,1,19,41,0,0,6,1,6
150,2001,BOS,AL,lewisda01,OF,2500000,2000,1,BOS,AL,97,270,44,65,12,0,2,17,10,5,22,34,0,3,8,0,2
85,2001,ATL,NL,martida01,OF,1500000,2000,4,TOR,AL,47,180,29,56,10,1,2,22,4,2,24,28,0,1,0,1,3
475,2001,MIL,NL,moutoja01,OF,300000,2000,1,MIL,NL,87,159,28,37,7,1,2,17,13,4,30,43,0,3,4,1,5
769,2001,SFN,NL,murraca01,OF,222500,2000,1,SFN,NL,108,194,35,47,12,1,2,22,9,3,29,33,0,3,2,1,0
337,2001,FLO,NL,abbotje01,OF,300000,2000,1,CHA,AL,80,215,31,59,15,1,3,29,2,1,21,38,1,2,2,1,2
581,2001,NYN,NL,harrile01,OF,1100000,2000,2,NYN,NL,76,138,22,42,6,3,3,13,8,1,17,17,1,0,2,0,4
737,2001,SEA,AL,mclemma01,OF,2000000,2000,1,SEA,AL,138,481,72,118,23,1,3,46,30,14,81,78,2,1,11,4,12
669,2001,PIT,NL,brownad01,OF,380000,2000,1,PIT,NL,104,308,64,97,18,3,4,28,13,1,29,34,1,0,2,1,1
256,2001,CLE,AL,cordoma01,OF,500000,2000,1,TOR,AL,62,200,23,49,7,0,4,18,3,2,18,35,0,3,0,0,6
754,2001,SFN,NL,crespfe01,OF,425000,2000,1,SFN,NL,89,131,17,38,6,1,4,29,3,2,10,23,2,4,2,3,3
40,2001,ARI,NL,cummimi01,OF,425000,2000,1,MIN,AL,77,181,28,50,10,0,4,22,0,0,11,25,1,3,1,0,4
703,2001,SDN,NL,henderi01,OF,300000,2000,2,SEA,AL,92,324,58,77,13,2,4,30,31,9,63,55,0,2,3,3,9
855,2001,TEX,AL,ledeeri01,OF,406500,2000,3,TEX,AL,58,213,23,50,6,3,4,38,6,3,25,50,2,1,0,1,7
209,2001,CHN,NL,matthga02,OF,225000,2000,1,CHN,NL,80,158,24,30,1,2,4,14,3,0,15,28,1,1,1,0,2
