,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
325,2002,TBA,AL,abernbr01,215000,2001,1,TBA,AL,79,304,43,82,17,1,5,33,8,3,27,35,1,0,3,1,3
258,2002,PHI,NL,abreubo01,6333333,2001,1,PHI,NL,162,588,118,170,48,4,31,110,36,14,106,137,11,1,0,9,13
116,2002,COL,NL,agbaybe01,600000,2001,1,NYN,NL,91,296,28,82,14,2,6,27,4,5,36,73,0,5,1,1,11
236,2002,NYN,NL,alfoned01,6200000,2001,1,NYN,NL,124,457,64,111,22,0,17,49,5,0,51,62,0,5,1,5,7
158,2002,KCA,AL,alicelu01,800000,2001,1,KCA,AL,113,387,44,106,16,4,4,32,8,6,23,56,0,4,3,1,6
237,2002,NYN,NL,alomaro01,7939664,2001,1,CLE,AL,157,575,113,193,34,12,20,100,30,6,80,71,5,4,9,9,9
65,2002,CHA,AL,alomasa02,2500000,2001,1,CHA,AL,70,220,17,54,8,1,4,21,1,2,12,17,1,2,3,2,6
76,2002,CHN,NL,aloumo01,6000000,2001,1,HOU,NL,136,513,79,170,31,1,27,108,5,1,57,57,14,3,0,8,18
103,2002,CLE,AL,anderbr01,200000,2001,1,BAL,AL,131,430,50,87,12,3,8,45,12,4,60,77,4,8,2,1,3
0,2002,ANA,AL,anderga01,5000000,2001,1,ANA,AL,161,672,83,194,39,2,28,123,13,6,27,100,4,0,0,5,12
259,2002,PHI,NL,anderma02,400000,2001,1,PHI,NL,147,522,69,153,30,2,11,61,8,5,35,74,5,2,10,5,12
301,2002,SFN,NL,aurilri01,5250000,2001,1,SFN,NL,156,636,114,206,37,5,37,97,1,3,47,83,2,0,3,3,14
147,2002,HOU,NL,ausmubr01,5000000,2001,1,HOU,NL,128,422,45,98,23,4,5,34,4,1,30,64,6,1,6,2,13
148,2002,HOU,NL,bagweje01,11000000,2001,1,HOU,NL,161,600,126,173,43,4,39,130,11,3,106,135,5,6,0,5,20
186,2002,MIL,NL,bakopa01,750000,2001,1,ATL,NL,61,137,19,29,10,1,2,15,1,0,20,34,2,0,0,0,3
212,2002,MON,NL,barremi01,1150000,2001,1,MON,NL,132,472,42,118,33,2,6,38,2,1,25,54,2,2,4,3,14
39,2002,BAL,AL,batisto01,4900000,2001,2,BAL,AL,84,308,41,82,16,5,12,42,5,1,19,47,0,0,0,4,7
13,2002,ARI,NL,bautida01,2000000,2001,1,ARI,NL,100,222,26,67,11,2,5,26,3,2,14,31,1,1,2,0,7
302,2002,SFN,NL,bellda01,1750000,2001,1,SEA,AL,135,470,62,122,28,0,15,64,2,1,28,59,1,3,5,4,8
187,2002,MIL,NL,belliro01,1650000,2001,1,MIL,NL,101,364,69,96,30,3,11,36,5,2,35,65,2,5,4,2,5
14,2002,ARI,NL,bellja01,8000000,2001,1,ARI,NL,129,428,59,106,24,1,13,46,0,1,65,79,3,4,8,4,9
173,2002,LAN,NL,beltrad01,2800000,2001,1,LAN,NL,126,475,59,126,22,4,13,60,13,4,28,82,1,5,2,5,9
159,2002,KCA,AL,beltrca01,3500000,2001,1,KCA,AL,155,617,106,189,32,12,24,101,31,1,52,120,2,5,1,5,7
303,2002,SFN,NL,benarma01,4200000,2001,1,SFN,NL,129,392,70,104,19,2,15,44,10,5,29,66,2,4,1,3,3
346,2002,TOR,AL,bergda01,450000,2001,1,FLO,NL,82,215,26,52,12,1,4,16,0,1,14,39,0,2,2,2,3
213,2002,MON,NL,bergepe01,250000,2001,1,MON,NL,102,375,53,79,11,4,3,16,10,7,28,87,2,5,8,0,5
149,2002,HOU,NL,berkmla01,500000,2001,1,HOU,NL,156,577,110,191,55,5,34,126,7,9,92,121,5,13,0,6,8
150,2002,HOU,NL,biggicr01,8750000,2001,1,HOU,NL,155,617,118,180,35,3,20,70,7,4,66,100,4,28,0,6,11
26,2002,ATL,NL,blanche01,1512500,2001,1,MIL,NL,104,314,33,66,18,3,6,31,3,1,34,72,6,2,5,2,10
151,2002,HOU,NL,blumge01,315000,2001,1,MON,NL,148,453,57,107,25,0,9,50,9,5,43,94,8,10,3,5,12
174,2002,LAN,NL,bocachi01,225000,2001,1,LAN,NL,75,133,15,31,11,1,2,9,4,1,9,33,0,1,0,0,1
304,2002,SFN,NL,bondsba01,15000000,2001,1,SFN,NL,153,476,129,156,32,2,73,137,13,3,177,93,35,9,0,2,5
91,2002,CIN,NL,booneaa01,2100000,2001,1,CIN,NL,103,381,54,112,26,2,14,62,6,3,29,71,1,8,3,6,9
289,2002,SEA,AL,boonebr01,8000000,2001,1,SEA,AL,158,623,118,206,37,3,37,141,5,5,40,110,5,9,5,13,11
41,2002,BAL,AL,bordimi01,4873439,2001,1,BAL,AL,58,229,32,57,13,0,7,30,9,3,17,36,1,6,2,3,4
104,2002,CLE,AL,bradlmi01,221000,2001,1,MON,NL,67,220,19,49,16,3,1,19,7,4,19,62,0,1,2,0,6
105,2002,CLE,AL,branyru01,251000,2001,1,CLE,AL,113,315,48,73,16,2,20,54,1,1,38,132,1,3,0,5,2
201,2002,MIN,AL,buchabr01,225000,2001,1,MIN,AL,69,197,28,54,12,0,10,32,1,1,19,58,0,2,0,1,2
106,2002,CLE,AL,burksel01,6666667,2001,1,CLE,AL,124,439,83,123,29,1,28,74,5,1,62,85,2,5,0,9,16
238,2002,NYN,NL,burnije01,7166667,2001,1,MIL,NL,154,562,104,141,32,4,34,100,0,4,80,150,9,5,0,4,8
260,2002,PHI,NL,burrepa01,1905000,2001,1,PHI,NL,155,539,70,139,29,2,27,89,2,1,70,162,7,5,0,4,12
347,2002,TOR,AL,bushho01,3375000,2001,1,TOR,AL,78,271,32,83,11,1,3,27,13,4,8,50,1,6,2,4,2
107,2002,CLE,AL,cabrejo02,266000,2001,1,CLE,AL,141,287,50,75,16,3,1,38,10,4,16,41,0,6,1,2,4
214,2002,MON,NL,cabreor01,2400000,2001,1,MON,NL,162,626,64,173,41,6,14,96,19,7,43,54,5,4,4,7,15
290,2002,SEA,AL,camermi01,4666667,2001,1,SEA,AL,150,540,99,144,30,5,25,110,34,5,69,155,3,10,1,13,13
188,2002,MIL,NL,casanra01,850000,2001,1,MIL,NL,71,192,21,50,10,0,11,33,0,0,12,29,2,1,0,3,3
92,2002,CIN,NL,caseyse01,4000000,2001,1,CIN,NL,145,533,69,165,40,0,13,89,3,1,43,63,8,9,0,3,16
223,2002,NYA,AL,castial01,650000,2001,1,TOR,AL,66,131,9,26,4,0,1,4,1,1,7,30,0,3,5,0,2
137,2002,FLO,NL,castilu01,3325000,2001,1,FLO,NL,134,537,76,141,16,10,2,45,33,16,67,90,0,1,4,3,6
27,2002,ATL,NL,castivi02,3000000,2001,2,HOU,NL,122,445,62,120,28,1,23,82,1,4,32,86,3,3,0,4,19
93,2002,CIN,NL,castrju01,400000,2001,1,CIN,NL,96,242,27,54,10,0,3,13,0,0,13,50,2,0,4,2,9
335,2002,TEX,AL,catalfr01,2475000,2001,1,TEX,AL,133,463,77,153,31,5,11,54,15,5,39,55,3,8,1,1,5
239,2002,NYN,NL,cedenro01,2375000,2001,1,DET,AL,131,523,79,153,14,11,6,48,55,15,36,83,1,2,6,5,5
246,2002,OAK,AL,chaveer01,2125000,2001,1,OAK,AL,151,552,91,159,43,0,32,114,8,2,41,99,9,4,0,7,7
291,2002,SEA,AL,cirilje01,6375000,2001,1,COL,NL,138,528,72,165,26,4,17,83,12,2,43,63,6,5,1,9,15
52,2002,BOS,AL,clarkto02,5000000,2001,1,DET,AL,126,428,67,123,29,3,16,75,0,1,62,108,10,1,0,6,14
66,2002,CHA,AL,claytro01,4500000,2001,1,CHA,AL,135,433,62,114,21,4,9,60,10,7,33,72,2,3,9,7,16
42,2002,BAL,AL,coninje01,3500000,2001,1,BAL,AL,139,524,75,163,23,2,14,97,12,8,64,75,6,5,0,8,12
224,2002,NYA,AL,coomero01,750000,2001,1,CHN,NL,111,349,25,91,19,1,8,53,0,0,29,70,1,2,0,6,23
175,2002,LAN,NL,coraal01,625000,2001,1,LAN,NL,134,405,38,88,18,3,4,29,0,2,31,58,6,8,3,2,16
108,2002,CLE,AL,cordewi01,4166667,2001,1,CLE,AL,89,268,30,67,11,1,4,21,0,0,22,50,2,4,2,3,8
43,2002,BAL,AL,cordoma01,2500000,2001,1,CLE,AL,122,409,61,123,20,2,20,69,0,3,23,81,0,8,0,2,9
15,2002,ARI,NL,counscr01,1516667,2001,1,ARI,NL,141,458,76,126,22,3,4,38,6,8,61,76,3,2,6,6,9
326,2002,TBA,AL,coxst01,280000,2001,1,TBA,AL,108,342,37,88,22,0,12,51,2,2,24,75,0,10,0,2,11
279,2002,SDN,NL,cruzde01,600000,2001,1,DET,AL,110,414,39,106,28,1,7,52,4,1,17,46,0,4,1,2,13
348,2002,TOR,AL,cruzjo02,3950000,2001,1,TOR,AL,146,577,92,158,38,4,34,88,32,5,45,138,4,1,2,2,8
53,2002,BOS,AL,damonjo01,7250000,2001,1,OAK,AL,155,644,108,165,34,4,9,49,27,12,61,70,1,5,5,4,7
54,2002,BOS,AL,daubabr01,2325000,2001,1,BOS,AL,122,407,54,107,28,3,22,71,1,0,53,108,7,5,1,6,10
292,2002,SEA,AL,davisbe01,350000,2001,1,SDN,NL,138,448,56,107,20,0,11,57,4,4,66,112,5,4,1,7,13
349,2002,TOR,AL,delgaca01,19400000,2001,1,TOR,AL,162,574,102,160,31,1,39,102,3,0,111,136,22,16,0,3,9
16,2002,ARI,NL,delluda01,775000,2001,1,ARI,NL,115,217,28,60,10,2,10,40,2,1,22,52,4,2,0,0,2
28,2002,ATL,NL,derosma01,222500,2001,1,ATL,NL,66,164,27,47,8,0,3,20,2,1,12,19,6,5,1,2,3
77,2002,CHN,NL,deshide01,1250000,2001,1,BAL,AL,58,188,29,37,8,2,3,21,11,1,31,42,1,1,1,1,3
109,2002,CLE,AL,diazei01,1087500,2001,1,CLE,AL,134,437,54,121,34,1,4,56,1,2,17,44,0,16,8,0,11
314,2002,SLN,NL,difelmi01,750000,2001,1,TBA,AL,48,149,13,31,5,1,2,9,1,1,8,39,0,3,2,2,3
315,2002,SLN,NL,drewjd01,3100000,2001,1,SLN,NL,109,375,80,121,18,5,27,73,13,3,57,75,4,4,3,4,6
94,2002,CIN,NL,dunnad01,250000,2001,1,CIN,NL,66,244,54,64,18,1,19,43,4,2,38,74,2,4,0,0,4
305,2002,SFN,NL,dunstsh01,1150000,2001,1,SFN,NL,88,186,26,52,10,3,9,25,3,1,2,32,0,2,2,1,2
17,2002,ARI,NL,durazer01,375000,2001,1,ARI,NL,92,175,34,47,11,0,12,38,0,0,28,49,1,2,0,2,1
67,2002,CHA,AL,durhara01,6300000,2001,1,CHA,AL,152,611,104,163,42,10,20,65,23,10,64,110,3,4,6,6,10
247,2002,OAK,AL,dyeje01,7166667,2001,1,KCA,AL,97,367,50,100,14,0,13,47,7,1,30,68,3,6,1,6,2
126,2002,DET,AL,easleda01,6250000,2001,1,DET,AL,154,585,77,146,27,7,11,65,10,5,52,90,3,13,4,4,10
1,2002,ANA,AL,eckstda01,280000,2001,1,ANA,AL,153,582,82,166,26,2,4,41,29,4,43,60,0,21,16,2,11
