YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2003,HOU,NL,bagweje01,1B,13000000,2002,HOU,NL,158,571,94,166,33,2,31,98,7,3,101,130,8,10,0,9,16,0.401,0.518,0,0,699
2003,CIN,NL,caseyse01,1B,5600000,2002,CIN,NL,120,425,56,111,25,0,6,42,2,1,43,47,6,5,0,3,11,0.334,0.362,0,0,482
2003,TOR,AL,delgaca01,1B,18700000,2002,TOR,AL,143,505,103,140,34,2,33,108,1,0,102,126,18,13,0,8,8,0.406,0.549,0,0,646
2003,ATL,NL,francju01,1B,600000,2002,ATL,NL,125,338,51,96,13,1,6,30,5,1,39,75,3,1,2,3,13,0.355,0.382,0,0,386
2003,ANA,AL,fullmbr01,1B,1000000,2002,ANA,AL,130,429,75,124,35,6,19,59,10,3,32,44,6,15,0,3,7,0.357,0.531,0,0,485
2003,SFN,NL,galaran01,1B,500000,2002,MON,NL,104,292,30,76,12,0,9,40,2,2,30,81,6,9,0,3,8,0.344,0.394,0,0,340
2003,NYA,AL,giambja01,1B,11428571,2002,NYA,AL,155,560,120,176,34,1,41,122,2,2,109,112,4,15,0,5,18,0.435,0.598,0,0,693
2003,OAK,AL,hattesc01,1B,1750000,2002,OAK,AL,136,492,58,138,22,4,15,61,0,0,68,56,1,6,1,1,8,0.373,0.433,0,0,569
2003,COL,NL,heltoto01,1B,10600000,2002,COL,NL,156,553,107,182,39,4,30,109,5,1,99,91,21,5,0,10,10,0.429,0.577,0,0,688
2003,CHN,NL,karroer01,1B,8375000,2002,LAN,NL,142,524,52,142,26,1,13,73,4,2,37,74,1,6,0,6,11,0.323,0.399,0,0,574
2003,CHA,AL,konerpa01,1B,6250000,2002,CHA,AL,151,570,81,173,30,0,27,104,0,0,44,72,2,9,0,7,17,0.359,0.498,0,0,632
2003,FLO,NL,leede02,1B,4250000,2002,FLO,NL,162,581,95,157,35,7,27,86,19,9,98,164,8,5,0,4,14,0.378,0.494,0,0,696
2003,TBA,AL,leetr01,1B,500000,2002,PHI,NL,153,536,55,142,26,2,13,70,5,3,54,104,10,0,0,2,12,0.331,0.394,0,0,602
2003,SLN,NL,martiti02,1B,7500000,2002,SLN,NL,150,511,63,134,25,1,21,75,3,2,58,71,9,2,1,4,12,0.337,0.438,0,0,585
2003,LAN,NL,mcgrifr01,1B,3750000,2002,CHN,NL,146,523,67,143,27,2,30,103,1,2,63,99,6,4,0,5,13,0.353,0.505,0,0,601
2003,MIN,AL,mientdo01,1B,1750000,2002,MIN,AL,143,467,60,122,29,1,10,64,1,2,74,69,8,6,0,7,7,0.365,0.392,0,0,562
2003,SEA,AL,olerujo01,1B,7700000,2002,SEA,AL,154,553,85,166,39,0,22,102,0,0,98,66,6,5,0,12,19,0.403,0.490,0,0,674
2003,BOS,AL,ortizda01,1B,1250000,2002,MIN,AL,125,412,52,112,32,1,20,75,1,2,43,87,0,3,0,8,5,0.339,0.500,0,0,466
2003,TEX,AL,palmera01,1B,9000000,2002,TEX,AL,155,546,99,149,34,0,43,105,2,0,104,94,16,6,0,7,10,0.391,0.571,0,0,679
2003,DET,AL,penaca01,1B,310000,2002,DET,AL,75,273,31,69,13,4,12,36,2,2,26,73,0,2,0,1,5,0.321,0.462,0,0,302
2003,TOR,AL,phelpjo01,1B,320000,2002,TOR,AL,74,265,41,82,20,1,15,58,0,0,19,82,0,3,0,0,7,0.362,0.562,0,0,287
2003,COL,NL,richach01,1B,325000,2002,BAL,AL,50,155,15,36,11,0,4,21,0,3,12,30,0,2,0,2,2,0.292,0.381,0,0,171
2003,MIL,NL,sexsori01,1B,5125000,2002,MIL,NL,157,570,86,159,37,2,29,102,0,0,70,136,7,8,0,4,17,0.363,0.504,0,0,659
2003,PIT,NL,simonra01,1B,1475000,2002,DET,AL,130,482,51,145,17,1,19,82,0,1,13,30,5,4,0,7,13,0.320,0.459,0,0,511
2003,SFN,NL,snowjt01,1B,6850000,2002,SFN,NL,143,422,47,104,26,2,6,53,0,0,59,90,5,7,0,6,11,0.344,0.360,0,0,499
2003,KCA,AL,sweenmi01,1B,11000000,2002,KCA,AL,126,471,81,160,31,1,24,86,9,7,61,46,10,6,0,7,9,0.417,0.563,0,0,555
2003,CHA,AL,thomafr04,1B,5000000,2002,CHA,AL,148,523,77,132,29,1,28,92,3,0,88,115,2,7,0,10,10,0.361,0.472,0,0,630
2003,PHI,NL,thomeji01,1B,11166667,2002,CLE,AL,147,480,101,146,19,2,52,118,1,2,122,139,18,5,0,6,5,0.445,0.677,0,0,631
2003,NYN,NL,vaughmo01,1B,17166667,2002,NYN,NL,139,487,67,126,18,0,26,72,0,1,59,145,6,10,0,2,15,0.349,0.456,0,0,564
2003,PIT,NL,youngke01,1B,6625000,2002,PIT,NL,146,468,60,115,26,1,16,51,4,6,50,101,2,4,0,3,13,0.322,0.408,0,0,527
2003,TBA,AL,abernbr01,2B,300000,2002,TBA,AL,117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8,0.284,0.311,0,1,504
2003,NYN,NL,alomaro01,2B,8000000,2002,NYN,NL,149,590,73,157,24,4,11,53,16,4,57,83,4,1,6,1,12,0.328,0.376,0,1,659
2003,TBA,AL,anderma02,2B,600000,2002,PHI,NL,145,539,64,139,30,6,8,48,5,1,42,71,14,5,2,4,16,0.314,0.380,0,1,606
2003,SEA,AL,boonebr01,2B,8000000,2002,SEA,AL,155,608,88,169,34,3,24,107,12,5,53,102,4,6,2,6,11,0.338,0.462,0,1,679
2003,FLO,NL,castilu01,2B,4850000,2002,FLO,NL,146,606,86,185,18,5,2,39,48,15,55,76,4,2,4,1,7,0.362,0.361,0,1,672
2003,SFN,NL,durhara01,2B,5200000,2002,CHA,AL,96,345,71,103,20,2,9,48,20,5,49,59,0,5,8,4,13,0.382,0.446,0,1,411
2003,CHN,NL,grudzma01,2B,5500000,2002,LAN,NL,150,536,56,145,23,0,9,50,4,1,22,89,4,3,1,4,17,0.300,0.364,0,1,570
2003,CLE,AL,gutieri01,2B,3916667,2002,CLE,AL,94,353,38,97,13,0,4,38,0,1,20,48,0,7,3,1,14,0.323,0.346,0,1,384
2003,BAL,AL,hairsje02,2B,1550000,2002,BAL,AL,122,426,55,114,25,3,5,32,21,6,34,55,0,7,8,4,5,0.324,0.376,0,1,479
2003,TOR,AL,hudsoor01,2B,313000,2002,TOR,AL,54,192,20,53,10,5,4,23,0,1,11,27,0,2,0,2,6,0.319,0.443,0,1,207
2003,HOU,NL,kentje01,2B,7500000,2002,SFN,NL,152,623,102,195,42,2,37,108,5,1,52,101,3,4,0,3,20,0.368,0.565,0,1,685
2003,PIT,NL,reesepo01,2B,2500000,2002,PIT,NL,119,421,46,111,25,0,4,50,12,1,41,81,4,3,5,5,4,0.326,0.352,0,1,479
2003,MIN,AL,rivaslu01,2B,340000,2002,MIN,AL,93,316,46,81,23,4,4,35,9,4,19,51,2,3,8,0,12,0.298,0.392,0,1,348
2003,NYA,AL,soriaal01,2B,800000,2002,NYA,AL,156,696,128,209,51,2,39,102,41,13,23,157,1,14,1,7,8,0.332,0.547,0,1,742
2003,ARI,NL,spiveju01,2B,432000,2002,ARI,NL,143,538,103,162,34,6,16,78,11,6,65,100,5,16,1,6,10,0.388,0.476,0,1,631
2003,MON,NL,vidrojo01,2B,5500000,2002,MON,NL,152,604,103,190,43,3,19,96,2,1,60,70,1,3,11,3,12,0.372,0.490,0,1,682
2003,SLN,NL,vinafe01,2B,5333333,2002,SLN,NL,150,622,75,168,29,5,1,54,17,11,44,36,2,18,1,7,11,0.332,0.338,0,1,694
2003,BOS,AL,walketo04,2B,3450000,2002,CIN,NL,155,612,79,183,42,3,11,64,8,5,50,81,7,3,7,3,9,0.350,0.431,0,1,682
2003,SFN,NL,alfoned01,3B,4000000,2002,NYN,NL,135,490,78,151,26,0,16,56,6,0,62,55,8,7,0,3,5,0.391,0.459,0,1,570
2003,ARI,NL,baergca01,3B,500000,2002,BOS,AL,73,182,17,52,11,0,2,19,6,0,7,20,1,2,1,2,6,0.314,0.379,0,1,195
2003,BAL,AL,batisto01,3B,6400000,2002,BAL,AL,161,615,90,150,36,1,31,87,5,4,50,107,9,11,0,6,13,0.309,0.457,0,1,691
2003,COL,NL,belliro01,3B,475000,2002,MIL,NL,104,289,30,61,13,0,3,26,2,3,18,46,0,1,6,3,9,0.252,0.287,0,1,317
2003,LAN,NL,beltrad01,3B,3700000,2002,LAN,NL,159,587,70,151,26,5,21,75,7,5,37,96,4,4,1,6,17,0.302,0.426,0,1,639
2003,TEX,AL,blaloha01,3B,302500,2002,TEX,AL,49,147,16,31,8,0,3,17,0,0,20,43,1,1,2,2,2,0.302,0.327,0,1,173
2003,SDN,NL,burrose01,3B,302000,2002,SDN,NL,63,192,18,52,5,1,1,11,2,0,12,30,1,1,1,0,6,0.316,0.323,0,1,207
2003,ATL,NL,castivi02,3B,5000000,2002,ATL,NL,143,543,56,126,23,2,12,61,4,1,22,69,4,7,0,6,22,0.268,0.348,0,1,582
2003,SEA,AL,cirilje01,3B,6725000,2002,SEA,AL,146,485,51,121,20,0,6,54,8,4,31,67,0,9,13,9,12,0.294,0.328,0,1,547
2003,SEA,AL,colbrgr01,3B,750000,2002,ARI,NL,72,171,30,57,16,2,10,27,0,0,13,19,1,0,0,1,5,0.378,0.626,0,1,186
2003,CHA,AL,credejo01,3B,315000,2002,CHA,AL,53,200,28,57,10,0,12,35,0,2,8,40,0,0,0,1,1,0.311,0.515,0,1,209
2003,HOU,NL,ensbemo01,3B,300000,2002,HOU,NL,49,132,14,32,7,2,3,19,2,0,18,25,0,3,0,0,8,0.346,0.394,0,1,153
2003,ATL,NL,gilesma01,3B,316500,2002,ATL,NL,68,213,27,49,10,1,8,23,1,1,25,41,3,2,1,1,5,0.314,0.399,0,1,245
2003,BOS,AL,hillesh02,3B,407500,2002,BOS,AL,156,634,94,186,43,4,18,83,4,2,25,95,4,12,0,5,18,0.330,0.459,0,1,680
2003,TOR,AL,hinsker01,3B,600000,2002,TOR,AL,151,566,99,158,38,2,24,84,13,1,77,138,5,2,0,5,12,0.365,0.481,0,1,655
2003,PHI,NL,houstty01,3B,1000000,2002,MIL,NL,76,255,25,77,15,2,7,33,1,0,14,41,3,4,4,1,4,0.342,0.459,0,1,281
2003,TBA,AL,huffau01,3B,325000,2002,TBA,AL,113,454,67,142,25,0,23,59,4,1,37,55,7,1,0,2,17,0.364,0.520,0,1,501
2003,MIN,AL,koskico01,3B,3400000,2002,MIN,AL,140,490,71,131,37,3,15,69,10,11,72,127,4,9,0,5,14,0.368,0.447,0,1,580
2003,SDN,NL,lockhke01,3B,500000,2002,ATL,NL,128,296,34,64,13,3,5,32,0,1,27,50,9,1,5,2,4,0.278,0.331,0,1,340
2003,FLO,NL,lowelmi01,3B,3700000,2002,FLO,NL,160,597,88,165,44,0,24,92,4,3,65,92,5,4,0,11,16,0.346,0.471,0,1,682
2003,BOS,AL,muellbi02,3B,2100000,2002,CHN,NL,103,353,51,94,19,4,7,37,0,0,51,41,2,0,4,5,8,0.351,0.402,0,1,415
2003,SDN,NL,nevinph01,3B,5000000,2002,SDN,NL,107,407,53,116,16,0,12,57,4,0,38,87,4,1,0,4,12,0.344,0.413,0,1,454
2003,PHI,NL,polanpl01,3B,2875000,2002,SLN,NL,94,342,47,97,19,1,5,27,3,1,12,27,1,4,9,0,12,0.308,0.389,0,1,368
2003,PIT,NL,ramirar01,3B,3000000,2002,PIT,NL,142,522,51,122,26,0,18,71,2,0,29,95,3,8,0,11,17,0.279,0.387,0,1,573
2003,KCA,AL,randajo01,3B,4500000,2002,KCA,AL,151,549,63,155,36,5,11,80,2,1,46,69,1,9,2,11,13,0.340,0.426,0,1,618
2003,SLN,NL,rolensc01,3B,7625000,2002,PHI,NL,100,375,52,97,21,4,17,66,5,2,52,68,2,8,0,3,12,0.358,0.472,0,1,440
2003,COL,NL,stynech01,3B,750000,2002,CHN,NL,98,195,25,47,9,1,5,26,1,1,21,29,1,1,5,3,5,0.307,0.374,0,1,226
2003,MON,NL,tatisfe01,3B,6500000,2002,MON,NL,114,381,43,87,18,1,15,55,2,2,35,90,1,8,1,5,15,0.302,0.399,0,1,431
2003,NYA,AL,venturo01,3B,5000000,2002,NYA,AL,141,465,68,115,17,0,27,93,3,1,90,101,9,2,0,5,14,0.368,0.458,0,1,571
2003,ARI,NL,willima04,3B,10000000,2002,ARI,NL,60,215,29,56,7,2,12,40,3,1,21,41,1,0,0,2,8,0.324,0.479,0,1,239
2003,CHA,AL,alomasa02,C,700000,2002,CHA,AL,51,167,21,48,10,1,7,25,0,0,5,14,0,1,1,2,5,0.307,0.485,1,0,176
