,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
277,2003,COL,NL,richach01,1B,325000,2002,1,BAL,AL,50,155,15,36,11,0,4,21,0,3,12,30,0,2,0,2,2
196,2003,CIN,NL,caseyse01,1B,5600000,2002,1,CIN,NL,120,425,56,111,25,0,6,42,2,1,43,47,6,5,0,3,11
58,2003,ATL,NL,francju01,1B,600000,2002,1,ATL,NL,125,338,51,96,13,1,6,30,5,1,39,75,3,1,2,3,13
725,2003,SFN,NL,snowjt01,1B,6850000,2002,1,SFN,NL,143,422,47,104,26,2,6,53,0,0,59,90,5,7,0,6,11
713,2003,SFN,NL,galaran01,1B,500000,2002,1,MON,NL,104,292,30,76,12,0,9,40,2,2,30,81,6,9,0,3,8
463,2003,MIN,AL,mientdo01,1B,1750000,2002,1,MIN,AL,143,467,60,122,29,1,10,64,1,2,74,69,8,6,0,7,7
303,2003,DET,AL,penaca01,1B,310000,2002,2,DET,AL,75,273,31,69,13,4,12,36,2,2,26,73,0,2,0,1,5
181,2003,CHN,NL,karroer01,1B,8375000,2002,1,LAN,NL,142,524,52,142,26,1,13,73,4,2,37,74,1,6,0,6,11
769,2003,TBA,AL,leetr01,1B,500000,2002,1,PHI,NL,153,536,55,142,26,2,13,70,5,3,54,104,10,0,0,2,12
568,2003,OAK,AL,hattesc01,1B,1750000,2002,1,OAK,AL,136,492,58,138,22,4,15,61,0,0,68,56,1,6,1,1,8
823,2003,TOR,AL,phelpjo01,1B,320000,2002,1,TOR,AL,74,265,41,82,20,1,15,58,0,0,19,82,0,3,0,0,7
642,2003,PIT,NL,youngke01,1B,6625000,2002,1,PIT,NL,146,468,60,115,26,1,16,51,4,6,50,101,2,4,0,3,13
6,2003,ANA,AL,fullmbr01,1B,1000000,2002,1,ANA,AL,130,429,75,124,35,6,19,59,10,3,32,44,6,15,0,3,7
632,2003,PIT,NL,simonra01,1B,1475000,2002,1,DET,AL,130,482,51,145,17,1,19,82,0,1,13,30,5,4,0,7,13
126,2003,BOS,AL,ortizda01,1B,1250000,2002,1,MIN,AL,125,412,52,112,32,1,20,75,1,2,43,87,0,3,0,8,5
741,2003,SLN,NL,martiti02,1B,7500000,2002,1,SLN,NL,150,511,63,134,25,1,21,75,3,2,58,71,9,2,1,4,12
693,2003,SEA,AL,olerujo01,1B,7700000,2002,1,SEA,AL,154,553,85,166,39,0,22,102,0,0,98,66,6,5,0,12,19
389,2003,KCA,AL,sweenmi01,1B,11000000,2002,1,KCA,AL,126,471,81,160,31,1,24,86,9,7,61,46,10,6,0,7,9
553,2003,NYN,NL,vaughmo01,1B,17166667,2002,1,NYN,NL,139,487,67,126,18,0,26,72,0,1,59,145,6,10,0,2,15
149,2003,CHA,AL,konerpa01,1B,6250000,2002,1,CHA,AL,151,570,81,173,30,0,27,104,0,0,44,72,2,9,0,7,17
