,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
757,2003,SLN,NL,vinafe01,2B,5333333,2002,1,SLN,NL,150,622,75,168,29,5,1,54,17,11,44,36,2,18,1,7,11
759,2003,TBA,AL,abernbr01,2B,300000,2002,1,TBA,AL,117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8
313,2003,FLO,NL,castilu01,2B,4850000,2002,1,FLO,NL,146,606,86,185,18,5,2,39,48,15,55,76,4,2,4,1,7
233,2003,CLE,AL,gutieri01,2B,3916667,2002,1,CLE,AL,94,353,38,97,13,0,4,38,0,1,20,48,0,7,3,1,14
820,2003,TOR,AL,hudsoor01,2B,313000,2002,1,TOR,AL,54,192,20,53,10,5,4,23,0,1,11,27,0,2,0,2,6
627,2003,PIT,NL,reesepo01,2B,2500000,2002,1,PIT,NL,119,421,46,111,25,0,4,50,12,1,41,81,4,3,5,5,4
470,2003,MIN,AL,rivaslu01,2B,340000,2002,1,MIN,AL,93,316,46,81,23,4,4,35,9,4,19,51,2,3,8,0,12
88,2003,BAL,AL,hairsje02,2B,1550000,2002,1,BAL,AL,122,426,55,114,25,3,5,32,21,6,34,55,0,7,8,4,5
760,2003,TBA,AL,anderma02,2B,600000,2002,1,PHI,NL,145,539,64,139,30,6,8,48,5,1,42,71,14,5,2,4,16
708,2003,SFN,NL,durhara01,2B,5200000,2002,1,CHA,AL,96,345,71,103,20,2,9,48,20,5,49,59,0,5,8,4,13
178,2003,CHN,NL,grudzma01,2B,5500000,2002,1,LAN,NL,150,536,56,145,23,0,9,50,4,1,22,89,4,3,1,4,17
526,2003,NYN,NL,alomaro01,2B,8000000,2002,1,NYN,NL,149,590,73,157,24,4,11,53,16,4,57,83,4,1,6,1,12
133,2003,BOS,AL,walketo04,2B,3450000,2002,1,CIN,NL,155,612,79,183,42,3,11,64,8,5,50,81,7,3,7,3,9
47,2003,ARI,NL,spiveju01,2B,432000,2002,1,ARI,NL,143,538,103,162,34,6,16,78,11,6,65,100,5,16,1,6,10
498,2003,MON,NL,vidrojo01,2B,5500000,2002,1,MON,NL,152,604,103,190,43,3,19,96,2,1,60,70,1,3,11,3,12
675,2003,SEA,AL,boonebr01,2B,8000000,2002,1,SEA,AL,155,608,88,169,34,3,24,107,12,5,53,102,4,6,2,6,11
354,2003,HOU,NL,kentje01,2B,7500000,2002,1,SFN,NL,152,623,102,195,42,2,37,108,5,1,52,101,3,4,0,3,20
517,2003,NYA,AL,soriaal01,2B,800000,2002,1,NYA,AL,156,696,128,209,51,2,39,102,41,13,23,157,1,14,1,7,8
646,2003,SDN,NL,burrose01,3B,302000,2002,1,SDN,NL,63,192,18,52,5,1,1,11,2,0,12,30,1,1,1,0,6
27,2003,ARI,NL,baergca01,3B,500000,2002,1,BOS,AL,73,182,17,52,11,0,2,19,6,0,7,20,1,2,1,2,6
253,2003,COL,NL,belliro01,3B,475000,2002,1,MIL,NL,104,289,30,61,13,0,3,26,2,3,18,46,0,1,6,3,9
779,2003,TEX,AL,blaloha01,3B,302500,2002,1,TEX,AL,49,147,16,31,8,0,3,17,0,0,20,43,1,1,2,2,2
350,2003,HOU,NL,ensbemo01,3B,300000,2002,1,HOU,NL,49,132,14,32,7,2,3,19,2,0,18,25,0,3,0,0,8
658,2003,SDN,NL,lockhke01,3B,500000,2002,1,ATL,NL,128,296,34,64,13,3,5,32,0,1,27,50,9,1,5,2,4
605,2003,PHI,NL,polanpl01,3B,2875000,2002,1,SLN,NL,94,342,47,97,19,1,5,27,3,1,12,27,1,4,9,0,12
280,2003,COL,NL,stynech01,3B,750000,2002,1,CHN,NL,98,195,25,47,9,1,5,26,1,1,21,29,1,1,5,3,5
679,2003,SEA,AL,cirilje01,3B,6725000,2002,1,SEA,AL,146,485,51,121,20,0,6,54,8,4,31,67,0,9,13,9,12
592,2003,PHI,NL,houstty01,3B,1000000,2002,1,MIL,NL,76,255,25,77,15,2,7,33,1,0,14,41,3,4,4,1,4
123,2003,BOS,AL,muellbi02,3B,2100000,2002,1,CHN,NL,103,353,51,94,19,4,7,37,0,0,51,41,2,0,4,5,8
61,2003,ATL,NL,gilesma01,3B,316500,2002,1,ATL,NL,68,213,27,49,10,1,8,23,1,1,25,41,3,2,1,1,5
680,2003,SEA,AL,colbrgr01,3B,750000,2002,1,ARI,NL,72,171,30,57,16,2,10,27,0,0,13,19,1,0,0,1,5
387,2003,KCA,AL,randajo01,3B,4500000,2002,1,KCA,AL,151,549,63,155,36,5,11,80,2,1,46,69,1,9,2,11,13
54,2003,ATL,NL,castivi02,3B,5000000,2002,1,ATL,NL,143,543,56,126,23,2,12,61,4,1,22,69,4,7,0,6,22
139,2003,CHA,AL,credejo01,3B,315000,2002,1,CHA,AL,53,200,28,57,10,0,12,35,0,2,8,40,0,0,0,1,1
664,2003,SDN,NL,nevinph01,3B,5000000,2002,1,SDN,NL,107,407,53,116,16,0,12,57,4,0,38,87,4,1,0,4,12
48,2003,ARI,NL,willima04,3B,10000000,2002,1,ARI,NL,60,215,29,56,7,2,12,40,3,1,21,41,1,0,0,2,8
459,2003,MIN,AL,koskico01,3B,3400000,2002,1,MIN,AL,140,490,71,131,37,3,15,69,10,11,72,127,4,9,0,5,14
495,2003,MON,NL,tatisfe01,3B,6500000,2002,1,MON,NL,114,381,43,87,18,1,15,55,2,2,35,90,1,8,1,5,15
702,2003,SFN,NL,alfoned01,3B,4000000,2002,1,NYN,NL,135,490,78,151,26,0,16,56,6,0,62,55,8,7,0,3,5
749,2003,SLN,NL,rolensc01,3B,7625000,2002,1,PHI,NL,100,375,52,97,21,4,17,66,5,2,52,68,2,8,0,3,12
113,2003,BOS,AL,hillesh02,3B,407500,2002,1,BOS,AL,156,634,94,186,43,4,18,83,4,2,25,95,4,12,0,5,18
626,2003,PIT,NL,ramirar01,3B,3000000,2002,1,PIT,NL,142,522,51,122,26,0,18,71,2,0,29,95,3,8,0,11,17
393,2003,LAN,NL,beltrad01,3B,3700000,2002,1,LAN,NL,159,587,70,151,26,5,21,75,7,5,37,96,4,4,1,6,17
