,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
139,2004,BOS,AL,ramirma02,OF,22500000,2003,1,BOS,AL,154,569,117,185,36,1,37,104,3,1,97,94,28,8,0,5,22
540,2004,NYA,AL,rodrial01,SS,22000000,2003,1,TEX,AL,161,607,124,181,30,6,47,118,17,3,87,126,10,15,0,6,16
837,2004,TOR,AL,delgaca01,1B,19700000,2003,1,TOR,AL,161,570,117,172,38,1,42,145,0,0,109,137,23,19,0,7,9
531,2004,NYA,AL,jeterde01,SS,18600000,2003,1,NYA,AL,119,482,87,156,25,3,10,52,11,5,43,88,2,13,3,1,10
717,2004,SFN,NL,bondsba01,OF,18000000,2003,1,SFN,NL,130,390,111,133,22,1,45,90,7,0,148,58,61,10,0,2,7
424,2004,LAN,NL,greensh01,OF,16666667,2003,1,LAN,NL,160,611,84,171,49,2,19,85,6,2,68,112,2,6,0,6,18
561,2004,NYN,NL,piazzmi01,C,16071429,2003,1,NYN,NL,68,234,37,67,13,0,11,34,0,0,35,40,3,1,0,3,11
355,2004,HOU,NL,bagweje01,1B,16000000,2003,1,HOU,NL,160,605,109,168,28,2,39,100,11,4,88,119,3,6,0,3,25
196,2004,CHN,NL,sosasa01,OF,16000000,2003,1,CHN,NL,137,517,99,144,22,0,40,103,0,1,62,143,9,5,0,5,14
75,2004,ATL,NL,jonesch06,OF,15333333,2003,1,ATL,NL,153,555,103,169,33,2,27,106,2,2,94,83,13,1,0,6,10
161,2004,CHA,AL,ordonma01,OF,14000000,2003,1,CHA,AL,160,606,95,192,46,3,29,99,9,5,57,73,1,7,0,4,20
541,2004,NYA,AL,sheffga01,OF,13000000,2003,1,ATL,NL,155,576,126,190,37,2,39,132,18,4,86,55,6,8,0,8,16
291,2004,COL,NL,walkela01,OF,12666667,2003,1,COL,NL,143,454,86,129,25,7,16,79,7,4,98,87,14,11,0,1,9
207,2004,CIN,NL,griffke02,OF,12500000,2003,1,CIN,NL,53,166,34,41,12,1,13,26,1,0,27,44,5,6,1,1,3
366,2004,HOU,NL,hidalri01,OF,12500000,2003,1,HOU,NL,141,514,91,159,43,4,28,88,9,7,58,104,8,8,0,5,10
74,2004,ATL,NL,jonesan01,OF,12500000,2003,1,ATL,NL,156,595,101,165,28,2,36,116,4,3,53,125,2,5,0,6,18
527,2004,NYA,AL,giambja01,1B,12428571,2003,1,NYA,AL,156,535,97,134,25,0,41,107,2,1,129,140,9,21,0,5,9
547,2004,NYA,AL,willibe02,OF,12357143,2003,1,NYA,AL,119,445,77,117,19,1,15,64,5,0,71,61,8,3,0,2,21
628,2004,PHI,NL,thomeji01,1B,12166667,2003,1,PHI,NL,159,578,111,154,30,3,47,131,0,3,111,182,11,4,0,5,5
583,2004,OAK,AL,dyeje01,OF,11666667,2003,1,OAK,AL,65,221,28,38,6,0,4,20,1,0,25,42,2,3,0,4,11
277,2004,COL,NL,heltoto01,1B,11600000,2003,1,COL,NL,160,583,135,209,49,5,33,117,0,4,111,72,21,2,0,7,19
123,2004,BOS,AL,garcino01,SS,11500000,2003,1,BOS,AL,156,658,120,198,37,13,28,105,19,5,39,61,1,11,1,10,10
10,2004,ANA,AL,guerrvl01,OF,11000000,2003,1,MON,NL,112,394,71,130,20,3,25,79,9,5,63,53,22,6,0,4,18
415,2004,KCA,AL,sweenmi01,1B,11000000,2003,1,KCA,AL,108,392,62,115,18,1,16,83,3,2,64,56,5,2,0,5,13
606,2004,PHI,NL,abreubo01,OF,10600000,2003,1,PHI,NL,158,577,99,173,35,1,20,101,22,9,109,126,13,2,0,7,13
367,2004,HOU,NL,kentje01,2B,10000000,2003,1,HOU,NL,130,505,77,150,39,1,22,93,6,2,39,85,2,5,0,3,13
8,2004,ANA,AL,glaustr01,3B,9900000,2003,1,ANA,AL,91,319,53,79,17,2,16,50,7,2,46,73,4,1,0,1,8
24,2004,ANA,AL,salmoti01,OF,9900000,2003,1,ANA,AL,148,528,78,145,35,4,19,72,3,1,77,93,3,10,0,6,12
172,2004,CHN,NL,aloumo01,OF,9500000,2003,1,CHN,NL,151,565,83,158,35,1,22,91,3,1,63,67,7,7,0,3,16
750,2004,SLN,NL,edmonji01,OF,9333333,2003,1,SLN,NL,137,447,89,123,32,2,39,89,1,3,77,127,6,4,1,2,11
388,2004,KCA,AL,beltrca01,OF,9000000,2003,1,KCA,AL,141,521,102,160,14,10,26,100,41,4,72,81,4,2,0,7,8
280,2004,COL,NL,johnsch04,C,9000000,2003,1,COL,NL,108,356,49,82,20,0,20,61,1,3,49,84,2,1,1,7,8
537,2004,NYA,AL,posadjo01,C,9000000,2003,1,NYA,AL,142,481,83,135,24,0,30,101,2,4,93,110,6,10,0,4,13
293,2004,COL,NL,wilsopr01,OF,9000000,2003,1,COL,NL,155,600,94,169,43,1,36,141,14,7,54,139,1,4,0,3,23
298,2004,DET,AL,higgibo02,OF,8850000,2003,1,DET,AL,130,469,61,110,13,4,14,52,8,8,59,73,3,3,1,6,12
667,2004,SDN,NL,gilesbr02,OF,8833333,2003,1,PIT,NL,105,388,70,116,30,4,16,70,0,3,85,48,11,6,0,2,8
456,2004,MIL,NL,jenkige01,OF,8737500,2003,1,MIL,NL,124,487,81,144,30,2,28,95,0,0,58,120,10,6,0,3,12
54,2004,ARI,NL,sexsori01,1B,8725000,2003,1,MIL,NL,162,606,97,165,28,2,45,124,2,3,98,151,7,9,0,5,18
