,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
703,2004,SEA,AL,mccraqu01,OF,1750000,2003,1,ARI,NL,115,203,17,46,5,2,0,18,5,1,15,34,2,0,5,3,4
797,2004,TBA,AL,sanchre01,SS,1000000,2003,1,NYN,NL,56,174,11,36,3,1,0,12,1,1,8,18,2,0,0,1,7
173,2004,CHN,NL,bakopa01,C,865000,2003,1,CHN,NL,70,188,19,43,13,3,0,17,0,1,22,47,3,1,1,1,2
225,2004,CIN,NL,olmedra01,SS,322000,2003,1,CIN,NL,79,230,24,55,6,1,0,17,1,1,13,46,0,0,7,0,4
7,2004,ANA,AL,figgich01,SS,320000,2003,1,ANA,AL,71,240,34,71,9,4,0,27,13,7,20,38,0,0,6,4,1
154,2004,CHA,AL,harriwi01,OF,318500,2003,1,CHA,AL,79,137,19,28,3,1,0,5,12,2,10,28,0,0,3,0,1
299,2004,DET,AL,infanom01,SS,305000,2003,1,DET,AL,69,221,24,49,6,1,0,8,6,3,18,37,0,0,3,2,1
735,2004,SFN,NL,perezne01,SS,2750000,2003,1,SFN,NL,120,328,27,84,19,4,1,31,3,2,14,23,3,0,9,2,9
349,2004,FLO,NL,pierrju01,OF,2400000,2003,1,FLO,NL,162,668,100,204,28,7,1,41,65,20,55,35,1,5,15,3,9
467,2004,MIN,AL,blanche01,C,750000,2003,1,ATL,NL,55,151,11,30,8,0,1,13,0,0,10,21,2,1,3,1,3
841,2004,TOR,AL,gomezch02,SS,750000,2003,1,MIN,AL,58,175,14,44,9,3,1,15,2,1,7,13,1,0,2,1,10
180,2004,CHN,NL,goodwto01,OF,650000,2003,1,CHN,NL,87,171,26,49,10,0,1,12,19,5,11,33,0,0,1,1,3
255,2004,CLE,AL,merlolo01,OF,560000,2003,1,SDN,NL,65,151,20,41,7,2,1,17,2,3,22,33,2,1,2,3,3
558,2004,NYN,NL,mcewijo01,SS,500000,2003,1,NYN,NL,119,278,31,67,11,0,1,16,3,0,25,57,4,3,6,1,6
684,2004,SDN,NL,robinke02,OF,450000,2003,1,SLN,NL,116,208,19,52,6,3,1,16,6,1,8,27,3,1,4,0,3
341,2004,FLO,NL,harrile01,OF,400000,2003,1,CHN,NL,75,131,11,24,3,0,1,7,1,0,13,20,3,0,1,1,1
53,2004,ARI,NL,sadledo01,SS,400000,2003,1,TEX,AL,77,131,27,26,5,2,1,5,4,3,13,34,0,2,2,2,1
315,2004,DET,AL,sanchal03,OF,385000,2003,2,DET,AL,101,394,43,114,13,5,1,22,44,18,18,46,0,1,7,3,4
427,2004,LAN,NL,izturce01,SS,358500,2003,1,LAN,NL,158,558,47,140,21,6,1,40,10,5,25,70,8,0,7,3,8
690,2004,SEA,AL,bloomwi01,SS,325000,2003,1,SEA,AL,89,196,30,49,7,2,1,14,4,1,19,39,1,1,2,2,6
254,2004,CLE,AL,mcdonjo03,SS,324400,2003,1,CLE,AL,82,214,21,46,9,1,1,14,3,3,11,31,0,2,4,2,4
500,2004,MON,NL,carroja01,SS,310000,2003,1,MON,NL,105,227,31,59,10,1,1,10,5,2,19,39,0,3,9,2,10
253,2004,CLE,AL,martivi01,C,304500,2003,1,CLE,AL,49,159,15,46,4,0,1,16,1,1,13,21,0,1,0,1,8
665,2004,SDN,NL,cirilje01,3B,6975000,2003,1,SEA,AL,87,258,24,53,11,0,2,23,1,1,24,32,1,5,4,2,6
263,2004,CLE,AL,vizquom01,SS,6000000,2003,1,CLE,AL,64,250,43,61,13,2,2,19,8,3,29,20,0,0,5,1,11
98,2004,BAL,AL,hairsje02,2B,1650000,2003,1,BAL,AL,58,218,25,59,12,2,2,21,14,5,23,25,0,6,10,2,8
29,2004,ARI,NL,alomaro01,2B,1000000,2003,1,NYN,NL,73,263,34,69,17,1,2,22,6,0,29,40,2,2,4,4,8
433,2004,LAN,NL,roberda07,OF,975000,2003,1,LAN,NL,107,388,56,97,6,5,2,16,40,14,43,39,1,4,5,0,0
