,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
540,2004,NYA,AL,rodrial01,SS,22000000,2003,1,TEX,AL,161,607,124,181,30,6,47,118,17,3,87,126,10,15,0,6,16
628,2004,PHI,NL,thomeji01,1B,12166667,2003,1,PHI,NL,159,578,111,154,30,3,47,131,0,3,111,182,11,4,0,5,5
717,2004,SFN,NL,bondsba01,OF,18000000,2003,1,SFN,NL,130,390,111,133,22,1,45,90,7,0,148,58,61,10,0,2,7
54,2004,ARI,NL,sexsori01,1B,8725000,2003,1,MIL,NL,162,606,97,165,28,2,45,124,2,3,98,151,7,9,0,5,18
759,2004,SLN,NL,pujolal01,OF,7000000,2003,1,SLN,NL,157,591,137,212,51,1,43,124,5,1,79,65,12,10,0,5,13
100,2004,BAL,AL,lopezja01,C,6000000,2003,1,ATL,NL,129,457,89,150,29,3,43,109,0,1,33,90,5,4,0,1,10
837,2004,TOR,AL,delgaca01,1B,19700000,2003,1,TOR,AL,161,570,117,172,38,1,42,145,0,0,109,137,23,19,0,7,9
167,2004,CHA,AL,thomafr04,1B,6000000,2003,1,CHA,AL,153,546,87,146,35,0,42,105,0,0,100,115,4,12,0,4,11
527,2004,NYA,AL,giambja01,1B,12428571,2003,1,NYA,AL,156,535,97,134,25,0,41,107,2,1,129,140,9,21,0,5,9
196,2004,CHN,NL,sosasa01,OF,16000000,2003,1,CHN,NL,137,517,99,144,22,0,40,103,0,1,62,143,9,5,0,5,14
355,2004,HOU,NL,bagweje01,1B,16000000,2003,1,HOU,NL,160,605,109,168,28,2,39,100,11,4,88,119,3,6,0,3,25
541,2004,NYA,AL,sheffga01,OF,13000000,2003,1,ATL,NL,155,576,126,190,37,2,39,132,18,4,86,55,6,8,0,8,16
750,2004,SLN,NL,edmonji01,OF,9333333,2003,1,SLN,NL,137,447,89,123,32,2,39,89,1,3,77,127,6,4,1,2,11
827,2004,TEX,AL,soriaal01,2B,5400000,2003,1,NYA,AL,156,682,114,198,36,5,38,91,35,8,38,130,7,12,0,2,8
105,2004,BAL,AL,palmera01,1B,4000000,2003,1,TEX,AL,154,561,92,146,21,2,38,112,2,0,84,77,9,5,0,4,7
139,2004,BOS,AL,ramirma02,OF,22500000,2003,1,BOS,AL,154,569,117,185,36,1,37,104,3,1,97,94,28,8,0,5,22
74,2004,ATL,NL,jonesan01,OF,12500000,2003,1,ATL,NL,156,595,101,165,28,2,36,116,4,3,53,125,2,5,0,6,18
293,2004,COL,NL,wilsopr01,OF,9000000,2003,1,COL,NL,155,600,94,169,43,1,36,141,14,7,54,139,1,4,0,3,23
691,2004,SEA,AL,boonebr01,2B,8000000,2003,1,SEA,AL,159,622,111,183,35,5,35,117,16,3,68,125,3,7,1,7,17
787,2004,TBA,AL,huffau01,OF,2666667,2003,1,TBA,AL,162,636,91,198,47,3,34,107,2,3,53,80,17,8,0,9,19
277,2004,COL,NL,heltoto01,1B,11600000,2003,1,COL,NL,160,583,135,209,49,5,33,117,0,4,111,72,21,2,0,7,19
855,2004,TOR,AL,wellsve01,OF,870000,2003,1,TOR,AL,161,678,118,215,49,5,33,117,4,1,42,80,2,7,0,8,21
343,2004,FLO,NL,lowelmi01,3B,6500000,2003,1,FLO,NL,130,492,76,136,27,1,32,105,3,1,56,78,6,3,0,6,14
157,2004,CHA,AL,leeca01,OF,6500000,2003,1,CHA,AL,158,623,100,181,35,1,31,113,18,4,37,91,2,4,0,7,20
184,2004,CHN,NL,leede02,1B,6166667,2003,1,FLO,NL,155,539,91,146,31,2,31,92,21,8,88,131,7,10,0,6,9
