,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
100,2004,BAL,AL,lopezja01,C,6000000,2003,1,ATL,NL,129,457,89,150,29,3,43,109,0,1,33,90,5,4,0,1,10
537,2004,NYA,AL,posadjo01,C,9000000,2003,1,NYA,AL,142,481,83,135,24,0,30,101,2,4,93,110,6,10,0,4,13
144,2004,BOS,AL,varitja01,C,6900000,2003,1,BOS,AL,142,451,63,123,31,1,25,85,3,2,51,106,8,7,5,7,10
670,2004,SDN,NL,hernara02,C,2937500,2003,1,OAK,AL,140,483,70,132,24,1,21,78,0,0,33,79,2,12,2,6,14
280,2004,COL,NL,johnsch04,C,9000000,2003,1,COL,NL,108,356,49,82,20,0,20,61,1,3,49,84,2,1,1,7,8
474,2004,MIN,AL,lecroma01,C,340000,2003,1,MIN,AL,107,345,39,99,19,0,17,64,0,1,25,82,1,4,0,0,8
313,2004,DET,AL,rodriiv01,C,7000000,2003,1,FLO,NL,144,511,90,152,36,3,16,85,10,6,55,92,6,6,1,5,18
851,2004,TOR,AL,myersgr01,C,900000,2003,1,TOR,AL,121,329,51,101,19,0,15,52,0,3,37,57,2,0,0,3,14
17,2004,ANA,AL,molinbe01,C,2025000,2003,1,ANA,AL,119,409,37,115,24,0,14,71,1,1,13,31,2,2,2,4,17
616,2004,PHI,NL,liebemi01,C,7500000,2003,1,PHI,NL,131,508,68,159,30,1,13,81,0,0,38,59,2,12,0,3,14
785,2004,TBA,AL,hallto02,C,320000,2003,1,TBA,AL,130,463,50,117,23,0,12,47,0,1,23,40,4,7,0,5,14
561,2004,NYN,NL,piazzmi01,C,16071429,2003,1,NYN,NL,68,234,37,67,13,0,11,34,0,0,35,40,3,1,0,3,11
736,2004,SFN,NL,pierzaj01,C,3500000,2003,1,MIN,AL,137,487,63,152,35,3,11,74,3,1,24,55,12,15,2,5,13
408,2004,KCA,AL,santibe01,C,2150000,2003,1,SFN,NL,108,401,53,112,21,2,11,56,0,1,29,69,0,2,0,2,13
79,2004,ATL,NL,perezed02,C,625000,2003,1,MIL,NL,107,350,26,95,17,1,11,45,0,1,17,47,3,0,6,2,16
560,2004,NYN,NL,phillja04,C,318000,2003,1,NYN,NL,119,403,45,120,25,0,11,58,0,1,39,50,3,10,0,1,21
174,2004,CHN,NL,barremi01,C,1550000,2003,1,MON,NL,70,226,33,47,9,2,10,30,0,0,21,37,7,2,2,1,6
276,2004,COL,NL,greento02,C,550000,2003,1,TEX,AL,62,205,25,47,10,1,10,20,0,0,2,47,0,2,0,1,2
599,2004,OAK,AL,milleda02,C,3000000,2003,1,CHN,NL,114,352,34,82,19,1,9,36,1,0,39,91,6,1,7,1,15
515,2004,MON,NL,schnebr01,C,350000,2003,1,MON,NL,108,335,34,77,26,1,9,46,0,2,37,75,8,2,1,2,12
757,2004,SLN,NL,mathemi01,C,4000000,2003,1,SLN,NL,141,441,43,111,18,2,8,47,1,1,44,81,16,2,8,3,11
574,2004,NYN,NL,wilsova01,C,715000,2003,1,NYN,NL,96,268,28,65,9,1,8,39,1,2,15,56,1,5,2,2,6
300,2004,DET,AL,ingebr01,C,340000,2003,1,DET,AL,104,330,32,67,15,3,8,30,4,4,24,79,0,5,4,3,8
234,2004,CLE,AL,bardjo01,C,316700,2003,1,CLE,AL,91,303,25,74,13,1,8,36,0,2,22,53,1,0,1,3,9
631,2004,PHI,NL,wootesh01,C,575000,2003,1,ANA,AL,98,272,25,66,8,0,7,32,0,4,24,45,5,1,0,3,7
37,2004,ARI,NL,estalbo02,C,550000,2003,1,COL,NL,46,140,17,28,7,0,7,21,2,0,19,55,0,1,2,3,4
460,2004,MIL,NL,moellch01,C,370000,2003,1,ARI,NL,78,239,29,64,17,1,7,29,1,2,23,59,11,2,3,2,7
644,2004,PIT,NL,kendaja01,C,8571429,2003,1,PIT,NL,150,587,84,191,29,3,6,58,8,7,49,40,3,25,1,3,9
693,2004,SEA,AL,davisbe01,C,1400000,2003,1,SEA,AL,80,246,25,58,18,0,6,42,0,0,18,61,2,0,1,4,5
135,2004,BOS,AL,mirabdo01,C,825000,2003,1,BOS,AL,62,163,23,42,13,0,6,18,0,0,11,36,0,1,0,1,3
49,2004,ARI,NL,maynebr01,C,800000,2003,1,KCA,AL,113,372,39,91,17,1,6,36,0,2,32,59,5,3,4,3,10
780,2004,TBA,AL,fordybr01,C,650000,2003,1,BAL,AL,108,348,28,95,12,2,6,31,2,3,19,44,1,1,6,2,10
160,2004,CHA,AL,olivomi01,C,320000,2003,1,CHA,AL,114,317,37,75,19,1,6,27,6,4,19,80,0,4,4,2,3
149,2004,CHA,AL,alomasa02,C,700000,2003,1,CHA,AL,75,194,22,52,12,0,5,26,0,0,4,17,0,0,5,1,4
714,2004,SEA,AL,wilsoda01,C,3500000,2003,1,SEA,AL,96,316,32,76,15,2,4,43,0,0,15,52,0,0,3,3,8
503,2004,MON,NL,diazei01,C,2587500,2003,1,TEX,AL,101,334,30,86,14,1,4,35,3,1,9,32,0,10,4,4,12
354,2004,HOU,NL,ausmubr01,C,1000000,2003,1,HOU,NL,143,450,43,103,12,2,4,47,5,3,46,66,1,4,4,5,8
679,2004,SDN,NL,ojedami01,C,305000,2003,1,SDN,NL,61,141,13,33,6,0,4,22,1,1,18,26,2,3,0,1,2
802,2004,TEX,AL,barajro01,C,500000,2003,1,ARI,NL,80,220,19,48,15,0,3,28,0,0,14,43,7,1,1,3,6
