,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
628,2004,PHI,NL,thomeji01,1B,12166667,2003,1,PHI,NL,159,578,111,154,30,3,47,131,0,3,111,182,11,4,0,5,5
54,2004,ARI,NL,sexsori01,1B,8725000,2003,1,MIL,NL,162,606,97,165,28,2,45,124,2,3,98,151,7,9,0,5,18
837,2004,TOR,AL,delgaca01,1B,19700000,2003,1,TOR,AL,161,570,117,172,38,1,42,145,0,0,109,137,23,19,0,7,9
167,2004,CHA,AL,thomafr04,1B,6000000,2003,1,CHA,AL,153,546,87,146,35,0,42,105,0,0,100,115,4,12,0,4,11
527,2004,NYA,AL,giambja01,1B,12428571,2003,1,NYA,AL,156,535,97,134,25,0,41,107,2,1,129,140,9,21,0,5,9
355,2004,HOU,NL,bagweje01,1B,16000000,2003,1,HOU,NL,160,605,109,168,28,2,39,100,11,4,88,119,3,6,0,3,25
105,2004,BAL,AL,palmera01,1B,4000000,2003,1,TEX,AL,154,561,92,146,21,2,38,112,2,0,84,77,9,5,0,4,7
277,2004,COL,NL,heltoto01,1B,11600000,2003,1,COL,NL,160,583,135,209,49,5,33,117,0,4,111,72,21,2,0,7,19
184,2004,CHN,NL,leede02,1B,6166667,2003,1,FLO,NL,155,539,91,146,31,2,31,92,21,8,88,131,7,10,0,6,9
138,2004,BOS,AL,ortizda01,1B,4587500,2003,1,BOS,AL,128,448,79,129,39,2,31,101,0,0,58,83,8,1,0,2,9
672,2004,SDN,NL,kleskry01,1B,6000000,2003,1,SDN,NL,121,397,47,100,18,0,21,67,2,5,65,83,5,3,0,9,11
582,2004,OAK,AL,durazer01,1B,2100000,2003,1,OAK,AL,154,537,92,139,29,0,21,77,1,1,100,105,12,2,0,6,11
852,2004,TOR,AL,phelpjo01,1B,342000,2003,1,TOR,AL,119,396,57,106,18,1,20,66,1,2,39,115,3,17,0,1,12
532,2004,NYA,AL,leetr01,1B,2000000,2003,1,TBA,AL,145,542,75,149,37,3,19,70,6,2,64,97,4,0,1,6,13
156,2004,CHA,AL,konerpa01,1B,8000000,2003,1,CHA,AL,137,444,49,104,19,0,18,65,0,0,43,50,7,4,0,4,28
310,2004,DET,AL,penaca01,1B,330000,2003,1,DET,AL,131,452,51,112,21,6,18,50,4,5,53,123,1,6,1,4,6
415,2004,KCA,AL,sweenmi01,1B,11000000,2003,1,KCA,AL,108,392,62,115,18,1,16,83,3,2,64,56,5,2,0,5,13
238,2004,CLE,AL,brousbe01,1B,324100,2003,1,CLE,AL,116,386,53,96,21,3,16,55,5,2,32,75,2,5,3,3,6
790,2004,TBA,AL,martiti02,1B,7500000,2003,1,SLN,NL,138,476,66,130,25,2,15,69,1,1,53,71,7,9,2,7,14
202,2004,CIN,NL,caseyse01,1B,6800000,2003,1,CIN,NL,147,573,71,167,19,3,14,80,4,0,51,58,4,2,0,3,19
510,2004,MON,NL,johnsni01,1B,1250000,2003,1,NYA,AL,96,324,60,92,19,0,14,47,5,2,70,57,4,8,3,1,9
246,2004,CLE,AL,hafnetr01,1B,316300,2003,1,CLE,AL,91,291,35,74,19,3,14,40,2,1,22,81,2,10,0,1,7
397,2004,KCA,AL,harveke01,1B,317500,2003,1,KCA,AL,135,485,50,129,30,0,13,64,2,3,29,94,4,5,3,2,15
588,2004,OAK,AL,hattesc01,1B,2300000,2003,1,OAK,AL,147,541,63,137,34,0,12,61,0,1,66,53,0,9,3,3,14
590,2004,OAK,AL,karroer01,1B,550000,2003,1,CHN,NL,114,336,37,96,16,1,12,40,1,1,28,46,1,0,0,1,14
779,2004,TBA,AL,fickro01,1B,800000,2003,1,ATL,NL,126,409,52,110,26,1,11,80,1,0,42,47,4,2,0,7,9
707,2004,SEA,AL,olerujo01,1B,7700000,2003,1,SEA,AL,152,539,64,145,35,0,10,83,0,1,84,67,7,6,2,3,20
655,2004,PIT,NL,simonra01,1B,800000,2003,1,PIT,NL,91,307,34,84,14,0,10,51,0,0,12,30,1,2,0,0,6
811,2004,TEX,AL,fullmbr01,1B,1000000,2003,1,ANA,AL,63,206,32,63,9,2,9,35,5,4,26,31,4,2,0,1,4
741,2004,SFN,NL,snowjt01,1B,1500000,2003,1,SFN,NL,103,330,48,90,18,3,8,51,1,2,55,55,0,8,1,2,7
333,2004,FLO,NL,choihe01,1B,310000,2003,1,CHN,NL,80,202,31,44,17,0,8,28,1,1,37,71,1,4,2,0,2
112,2004,BAL,AL,seguida01,1B,7000000,2003,1,BAL,AL,67,224,26,59,10,1,5,25,1,0,26,47,2,1,0,1,8
67,2004,ATL,NL,francju01,1B,750000,2003,1,ATL,NL,103,197,28,58,12,2,5,31,0,1,25,43,5,0,0,1,8
462,2004,MIL,NL,overbly01,1B,326000,2003,1,ARI,NL,86,254,23,70,20,0,4,28,1,0,35,67,7,2,0,2,8
