,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
717,2004,SFN,NL,bondsba01,OF,18000000,2003,1,SFN,NL,130,390,111,133,22,1,45,90,7,0,148,58,61,10,0,2,7
759,2004,SLN,NL,pujolal01,OF,7000000,2003,1,SLN,NL,157,591,137,212,51,1,43,124,5,1,79,65,12,10,0,5,13
196,2004,CHN,NL,sosasa01,OF,16000000,2003,1,CHN,NL,137,517,99,144,22,0,40,103,0,1,62,143,9,5,0,5,14
541,2004,NYA,AL,sheffga01,OF,13000000,2003,1,ATL,NL,155,576,126,190,37,2,39,132,18,4,86,55,6,8,0,8,16
750,2004,SLN,NL,edmonji01,OF,9333333,2003,1,SLN,NL,137,447,89,123,32,2,39,89,1,3,77,127,6,4,1,2,11
139,2004,BOS,AL,ramirma02,OF,22500000,2003,1,BOS,AL,154,569,117,185,36,1,37,104,3,1,97,94,28,8,0,5,22
74,2004,ATL,NL,jonesan01,OF,12500000,2003,1,ATL,NL,156,595,101,165,28,2,36,116,4,3,53,125,2,5,0,6,18
293,2004,COL,NL,wilsopr01,OF,9000000,2003,1,COL,NL,155,600,94,169,43,1,36,141,14,7,54,139,1,4,0,3,23
787,2004,TBA,AL,huffau01,OF,2666667,2003,1,TBA,AL,162,636,91,198,47,3,34,107,2,3,53,80,17,8,0,9,19
855,2004,TOR,AL,wellsve01,OF,870000,2003,1,TOR,AL,161,678,118,215,49,5,33,117,4,1,42,80,2,7,0,8,21
157,2004,CHA,AL,leeca01,OF,6500000,2003,1,CHA,AL,158,623,100,181,35,1,31,113,18,4,37,91,2,4,0,7,20
762,2004,SLN,NL,sandere02,OF,2000000,2003,1,PIT,NL,130,453,74,129,27,4,31,87,15,5,38,110,4,5,0,2,10
161,2004,CHA,AL,ordonma01,OF,14000000,2003,1,CHA,AL,160,606,95,192,46,3,29,99,9,5,57,73,1,7,0,4,20
323,2004,DET,AL,youngdm01,OF,7750000,2003,1,DET,AL,155,562,78,167,34,7,29,85,2,1,58,130,16,11,0,4,16
0,2004,ANA,AL,anderga01,OF,6200000,2003,1,ANA,AL,159,638,80,201,49,4,29,116,6,3,31,83,10,0,0,4,15
366,2004,HOU,NL,hidalri01,OF,12500000,2003,1,HOU,NL,141,514,91,159,43,4,28,88,9,7,58,104,8,8,0,5,10
456,2004,MIL,NL,jenkige01,OF,8737500,2003,1,MIL,NL,124,487,81,144,30,2,28,95,0,0,58,120,10,6,0,3,12
137,2004,BOS,AL,nixontr01,OF,4500000,2003,1,BOS,AL,134,441,81,135,24,6,28,87,4,2,65,96,4,3,1,3,3
682,2004,SDN,NL,paytoja01,OF,1500000,2003,1,COL,NL,157,600,93,181,32,5,28,89,6,4,43,77,3,7,5,3,27
75,2004,ATL,NL,jonesch06,OF,15333333,2003,1,ATL,NL,153,555,103,169,33,2,27,106,2,2,94,83,13,1,0,6,10
204,2004,CIN,NL,dunnad01,OF,445000,2003,1,CIN,NL,116,381,70,82,12,1,27,57,8,2,74,126,8,10,0,4,4
388,2004,KCA,AL,beltrca01,OF,9000000,2003,1,KCA,AL,141,521,102,160,14,10,26,100,41,4,72,81,4,2,0,7,8
