yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2012,BOS,AL,gonzaad01,OF,21857142,2011,BOS,AL,159,630,108,213,45,3,27,117,1,0,74,119,20,6,0,5,28,0.410,0.548,0,0,735
2012,TEX,AL,youngmi02,SS,16174974,2011,TEX,AL,159,631,88,213,41,6,11,106,6,2,47,78,7,2,0,9,17,0.380,0.474,0,1,696
2012,BOS,AL,ellsbja01,OF,8050000,2011,BOS,AL,158,660,119,212,46,5,32,105,39,15,52,98,1,9,3,5,8,0.374,0.552,0,0,730
2012,CHN,NL,castrst01,SS,567000,2011,CHN,NL,158,674,91,207,36,9,10,66,22,9,35,96,2,2,0,4,20,0.341,0.432,0,1,717
2012,SFN,NL,cabreme01,OF,6000000,2011,KCA,AL,155,658,102,201,44,5,18,87,20,10,35,94,3,1,7,5,12,0.336,0.470,0,0,709
2012,DET,AL,cabremi01,1B,21000000,2011,DET,AL,161,572,111,197,48,0,30,105,2,1,108,89,22,3,0,5,24,0.448,0.586,0,0,710
2012,LAN,NL,kempma01,OF,10250000,2011,LAN,NL,161,602,115,195,33,4,39,126,40,11,74,159,24,6,0,7,16,0.399,0.586,0,0,713
2012,BOS,AL,pedrodu01,2B,8250000,2011,BOS,AL,159,635,102,195,37,3,21,91,26,8,86,85,6,1,2,7,12,0.386,0.474,0,1,737
2012,NYA,AL,canoro01,2B,14000000,2011,NYA,AL,159,623,104,188,46,7,28,118,8,2,38,96,11,12,0,8,18,0.349,0.533,0,1,692
2012,MIL,NL,braunry02,OF,7111111,2011,MIL,NL,150,563,109,187,38,6,33,111,33,6,58,93,2,5,0,3,9,0.397,0.597,0,0,631
2012,CIN,NL,vottojo01,1B,11410655,2011,CIN,NL,161,599,101,185,40,3,29,103,8,6,110,129,15,4,0,6,20,0.416,0.531,0,0,734
2012,KCA,AL,gordoal01,OF,4775000,2011,KCA,AL,151,611,101,185,45,4,23,87,17,8,67,139,2,7,0,3,9,0.376,0.502,0,0,690
2012,SEA,AL,suzukic01,OF,18000000,2011,SEA,AL,161,677,80,184,22,3,5,47,40,7,39,69,13,0,1,4,11,0.309,0.335,0,0,734
2012,CIN,NL,phillbr01,2B,12500000,2011,CIN,NL,150,610,94,183,38,2,18,82,14,9,44,85,3,9,5,6,15,0.350,0.457,0,1,677
2012,BAL,AL,markani01,OF,12350000,2011,BAL,AL,160,641,72,182,31,1,15,73,12,3,62,75,6,7,0,6,16,0.351,0.406,0,0,722
2012,MIA,NL,reyesjo01,SS,10000000,2011,NYN,NL,126,537,101,181,31,16,7,44,39,7,43,41,9,0,2,4,5,0.382,0.493,0,1,595
2012,DET,AL,martivi01,C,13000000,2011,DET,AL,145,540,76,178,40,0,12,103,1,0,46,51,6,2,0,7,20,0.380,0.470,1,0,601
2012,PHI,NL,pierrju01,OF,800000,2011,CHA,AL,158,639,80,178,17,4,2,50,27,17,43,41,0,7,19,3,7,0.321,0.327,0,0,711
2012,KCA,AL,butlebi03,1B,8500000,2011,KCA,AL,159,597,74,174,44,0,19,95,2,1,66,95,15,3,0,7,16,0.361,0.461,0,0,688
2012,LAA,AL,pujolal01,3B,12000000,2011,SLN,NL,147,579,105,173,29,0,37,99,9,1,61,58,15,4,0,7,29,0.366,0.541,0,1,666
2012,MIL,NL,ramirar01,3B,6000000,2011,CHN,NL,149,565,80,173,35,1,26,93,1,1,43,69,5,10,0,8,12,0.361,0.510,0,1,631
2012,ARI,NL,uptonju01,OF,6958333,2011,ARI,NL,159,592,105,171,39,5,31,88,21,9,59,126,9,19,0,4,8,0.369,0.529,0,0,683
2012,KCA,AL,francje02,OF,6750000,2011,KCA,AL,153,601,77,171,47,4,20,87,22,10,37,123,3,8,0,10,17,0.329,0.476,0,0,659
2012,DET,AL,fieldpr01,1B,23000000,2011,MIL,NL,162,569,95,170,36,1,38,120,1,1,107,106,32,10,0,6,17,0.415,0.566,0,0,724
2012,MIA,NL,bonifem01,SS,2200000,2011,FLO,NL,152,565,78,167,26,7,5,36,40,11,59,129,1,1,11,5,4,0.354,0.393,0,1,642
2012,CLE,AL,cabreas01,SS,4550000,2011,CLE,AL,151,604,87,165,32,3,25,92,17,5,44,119,5,11,4,4,10,0.330,0.460,0,1,672
2012,CHA,AL,ramiral03,SS,5000000,2011,CHA,AL,158,614,81,165,31,2,15,70,7,5,51,84,1,6,8,5,19,0.325,0.399,0,1,685
2012,TEX,AL,andruel01,SS,2625000,2011,TEX,AL,150,587,96,164,27,3,5,60,37,12,56,74,0,5,16,1,17,0.338,0.361,0,1,665
