yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
2013,DET,AL,cabremi01,3B,21000000,2012,1,DET,AL,161,622,109,205,40,0,44
2013,LAA,AL,hamiljo03,OF,17400000,2012,1,TEX,AL,148,562,103,160,31,2,43
2013,NYA,AL,grandcu01,OF,15000000,2012,1,NYA,AL,160,596,102,138,18,4,43
2013,TOR,AL,encared01,OF,8000000,2012,1,TOR,AL,151,542,93,152,24,0,42
2013,CHA,AL,dunnad01,OF,15000000,2012,1,CHA,AL,151,539,87,110,19,0,41
2013,MIL,NL,braunry02,OF,9898611,2012,1,MIL,NL,154,598,108,191,36,3,41
2013,MIA,NL,stantmi03,OF,537000,2012,1,MIA,NL,123,449,75,130,30,1,37
2013,TEX,AL,beltrad01,3B,16000000,2012,1,TEX,AL,156,604,95,194,33,2,36
2013,MIN,AL,willijo03,OF,7000000,2012,1,MIN,AL,145,519,85,135,30,1,35
2013,CIN,NL,bruceja01,OF,7541667,2012,1,CIN,NL,155,560,89,141,35,5,34
2013,BAL,AL,davisch02,P,3300000,2012,1,BAL,AL,139,515,75,139,20,0,33
2013,NYA,AL,canoro01,2B,15000000,2012,1,NYA,AL,161,627,105,196,48,1,33
2013,WAS,NL,larocad01,1B,10000000,2012,1,WAS,NL,154,571,76,155,35,1,33
2013,BAL,AL,jonesad01,OF,8833333,2012,1,BAL,AL,162,648,103,186,39,3,32
2013,CHN,NL,soriaal01,OF,19000000,2012,1,CHN,NL,151,561,68,147,33,2,32
2013,LAA,AL,trumbma01,OF,540000,2012,1,LAA,AL,144,544,66,146,19,3,32
2013,NYN,NL,davisik02,1B,3125000,2012,1,NYN,NL,156,519,66,118,26,0,32
2013,OAK,AL,reddijo01,OF,510000,2012,1,OAK,AL,156,611,85,148,29,5,32
2013,SLN,NL,beltrca01,OF,13000000,2012,1,SLN,NL,151,547,83,147,26,1,32
2013,PIT,NL,mccutan01,OF,4708333,2012,1,PIT,NL,157,593,107,194,29,6,31
2013,SDN,NL,headlch01,3B,8575000,2012,1,SDN,NL,161,604,95,173,31,2,31
2013,ARI,NL,kubelja01,OF,7500000,2012,1,ARI,NL,141,506,75,128,30,4,30
2013,DET,AL,fieldpr01,1B,23000000,2012,1,DET,AL,162,581,83,182,33,1,30
2013,LAA,AL,pujolal01,3B,16000000,2012,1,LAA,AL,154,607,85,173,50,0,30
2013,LAA,AL,troutmi01,OF,510000,2012,1,LAA,AL,139,559,129,182,27,8,30
2013,PIT,NL,alvarpe01,3B,700000,2012,1,PIT,NL,149,525,64,128,25,1,30
2013,KCA,AL,butlebi03,1B,8500000,2012,1,KCA,AL,161,614,72,192,32,1,29
2013,ATL,NL,uptonbj01,OF,13050000,2012,1,TBA,AL,146,573,79,141,29,3,28
2013,COL,NL,rosarwi01,C,491000,2012,1,COL,NL,117,396,67,107,19,0,28
2013,ATL,NL,heywaja01,OF,3650000,2012,1,ATL,NL,158,587,93,158,30,6,27
2013,MIL,NL,ramirar01,3B,10000000,2012,1,MIL,NL,149,570,92,171,50,3,27
2013,PIT,NL,jonesga02,OF,4500000,2012,1,PIT,NL,145,475,68,130,28,3,27
2013,SLN,NL,hollima01,OF,16272110,2012,1,SLN,NL,157,599,95,177,36,2,27
2013,TEX,AL,pierzaj01,C,7500000,2012,1,CHA,AL,135,479,68,133,18,4,27
2013,TOR,AL,bautijo02,OF,14000000,2012,1,TOR,AL,92,332,64,80,14,0,27
2013,ARI,NL,hillaa01,2B,5500000,2012,1,ARI,NL,156,609,93,184,44,6,26
2013,CHA,AL,konerpa01,1B,12501506,2012,1,CHA,AL,144,533,66,159,22,0,26
2013,CIN,NL,ludwiry01,OF,2000000,2012,1,CIN,NL,125,422,53,116,28,1,26
