Tm,OBP,SLG,OBP_Against,SLG_Against,Win_per
ARI,0.302,0.376,0.326,0.414,0.395
ATL,0.305,0.36,0.312,0.37,0.488
BAL,0.311,0.422,0.308,0.382,0.593
BOS,0.316,0.369,0.321,0.409,0.438
CHC,0.3,0.385,0.318,0.376,0.451
CHW,0.31,0.398,0.337,0.401,0.451
CIN,0.296,0.365,0.309,0.383,0.469
CLE,0.317,0.389,0.312,0.385,0.525
COL,0.327,0.445,0.342,0.443,0.407
DET,0.331,0.426,0.321,0.401,0.556
HOU,0.309,0.383,0.323,0.396,0.432
KCR,0.314,0.376,0.31,0.377,0.549
LAA,0.322,0.406,0.305,0.351,0.605
LAD,0.333,0.406,0.3,0.376,0.58
MIA,0.317,0.378,0.323,0.39,0.475
MIL,0.311,0.397,0.307,0.393,0.506
MIN,0.324,0.389,0.33,0.428,0.432
NYM,0.308,0.364,0.315,0.382,0.488
NYY,0.307,0.38,0.305,0.395,0.518
OAK,0.32,0.381,0.29,0.356,0.543
PHI,0.302,0.363,0.321,0.387,0.451
PIT,0.33,0.404,0.318,0.371,0.543
SDP,0.292,0.342,0.304,0.362,0.475
SEA,0.3,0.376,0.295,0.356,0.537
SFG,0.311,0.388,0.297,0.382,0.543
STL,0.32,0.369,0.308,0.366,0.556
TBR,0.317,0.367,0.3,0.362,0.475
TEX,0.314,0.375,0.336,0.428,0.414
TOR,0.323,0.414,0.318,0.407,0.512
WSN,0.321,0.393,0.294,0.358,0.593
ARI,0.324,0.414,0.322,0.423,0.488
ATL,0.314,0.359,0.339,0.426,0.414
BAL,0.307,0.421,0.321,0.418,0.5
BOS,0.325,0.415,0.327,0.424,0.481
CHC,0.321,0.398,0.29,0.372,0.599
CHW,0.306,0.38,0.322,0.41,0.469
CIN,0.312,0.394,0.328,0.42,0.395
CLE,0.325,0.401,0.297,0.386,0.503
COL,0.315,0.432,0.353,0.461,0.42
DET,0.328,0.42,0.33,0.444,0.46
HOU,0.315,0.437,0.299,0.382,0.531
KCR,0.322,0.412,0.314,0.396,0.586
