playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
kinslia01,2014,1,DET,AL,161,684,100,188,40,4,17,92,15,4,29,79,1,5,3,5,20
altuvjo01,2014,1,HOU,AL,158,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20
pencehu01,2014,1,SFN,NL,162,650,106,180,29,10,20,74,13,6,52,130,3,3,0,3,13
jonesad01,2014,1,BAL,AL,159,644,88,181,30,2,29,96,7,1,19,133,1,12,0,7,11
markani01,2014,1,BAL,AL,155,642,81,177,27,1,14,50,4,2,62,84,4,4,0,2,10
pujolal01,2014,1,LAA,AL,159,633,89,172,37,1,28,105,5,1,48,71,11,5,0,9,28
longoev01,2014,1,TBA,AL,162,624,83,158,26,1,22,91,5,0,57,133,11,9,1,9,15
ramiral03,2014,1,CHA,AL,158,622,82,170,35,2,15,74,21,4,24,81,0,6,1,4,21
andruel01,2014,1,TEX,AL,157,619,72,163,35,1,2,41,27,15,46,96,0,3,9,7,21
kendrho01,2014,1,LAA,AL,157,617,85,181,33,5,7,75,14,5,48,110,8,4,3,2,15
mcgehca01,2014,1,MIA,NL,160,616,56,177,29,1,4,76,4,2,67,102,3,1,0,7,31
cruzne02,2014,1,BAL,AL,159,613,87,166,32,2,40,108,4,5,55,140,8,5,0,5,17
rendoan01,2014,1,WAS,NL,153,613,111,176,39,6,21,83,17,3,58,104,2,5,2,5,11
brantmi02,2014,1,CLE,AL,156,611,94,200,45,2,20,97,23,1,52,56,4,8,0,5,16
cabremi01,2014,1,DET,AL,159,611,101,191,52,1,25,109,1,1,60,117,10,3,0,11,21
reyesjo01,2014,1,TOR,AL,143,610,94,175,33,4,9,51,30,2,38,73,1,1,2,4,4
spande01,2014,1,WAS,NL,147,610,94,184,39,8,5,37,31,7,50,65,1,2,3,3,6
gordode01,2014,1,LAN,NL,148,609,92,176,24,12,2,34,64,19,31,107,0,4,3,3,3
donaljo02,2014,1,OAK,AL,158,608,93,155,31,2,29,98,8,0,76,130,5,7,0,4,16
freemfr01,2014,1,ATL,NL,162,607,93,175,43,4,18,78,3,4,90,145,4,8,0,3,18
troutmi01,2014,1,LAA,AL,157,602,115,173,39,9,36,111,16,2,83,184,6,10,0,10,6
reverbe01,2014,1,PHI,NL,151,601,71,184,13,7,2,28,49,8,13,49,1,4,7,1,11
loneyja01,2014,1,TBA,AL,155,600,59,174,27,0,9,69,4,0,41,80,2,4,0,6,21
doziebr01,2014,1,MIN,AL,156,598,112,145,33,1,23,71,21,7,89,129,1,9,3,8,8
frazito01,2014,1,CIN,NL,157,597,88,163,22,1,29,80,20,8,52,139,2,7,0,4,9
murphda08,2014,1,NYN,NL,143,596,79,172,37,2,9,57,13,5,39,86,3,2,0,5,15
canoro01,2014,1,SEA,AL,157,595,77,187,37,2,14,82,10,3,61,68,20,6,0,3,19
carpema01,2014,1,SLN,NL,158,595,99,162,33,2,8,59,5,3,95,111,2,8,2,9,3
blackch02,2014,1,COL,NL,154,593,82,171,27,3,19,72,28,10,31,96,5,13,6,5,3
desmoia01,2014,1,WAS,NL,154,593,73,151,26,3,24,91,24,5,46,183,0,6,0,3,17
byrdma01,2014,1,PHI,NL,154,591,71,156,28,2,25,85,3,2,35,185,7,8,0,3,6
gonzaad01,2014,1,LAN,NL,159,591,83,163,41,0,27,116,1,1,56,112,9,2,0,11,13
seageky01,2014,1,SEA,AL,159,590,71,158,27,4,25,96,7,5,52,118,3,8,1,3,12
aybarer01,2014,1,LAA,AL,156,589,77,164,30,4,7,68,16,9,36,62,4,5,3,8,10
utleych01,2014,1,PHI,NL,155,589,74,159,36,6,11,78,10,1,53,85,12,13,0,9,8
