playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
aardsda01,2015,1,ATL,NL,P,33,0,92,0,1,1,0,,,,,
abadfe01,2015,1,OAK,AL,P,62,0,143,2,4,0,0,,,,,
abreujo02,2015,1,CHA,AL,1B,115,115,3051,952,60,11,100,,,,,
achteaj01,2015,1,MIN,AL,P,11,0,40,1,0,1,0,,,,,
ackledu01,2015,1,SEA,AL,2B,1,1,27,3,4,0,0,,,,,
ackledu01,2015,1,SEA,AL,OF,78,52,1498,99,2,0,1,,,,,
ackledu01,2015,2,NYA,AL,1B,4,3,81,28,2,0,0,,,,,
ackledu01,2015,2,NYA,AL,2B,9,9,189,10,10,1,3,,,,,
ackledu01,2015,2,NYA,AL,OF,4,2,57,3,0,0,0,,,,,
adamecr01,2015,1,COL,NL,2B,2,2,51,4,7,0,1,,,,,
adamecr01,2015,1,COL,NL,SS,13,11,279,15,30,2,8,,,,,
adamsau01,2015,1,CLE,AL,P,28,0,100,0,4,0,0,,,,,
adamsma01,2015,1,SLN,NL,1B,46,42,1056,321,32,3,30,,,,,
adcocna01,2015,1,CIN,NL,P,13,0,54,2,3,1,0,,,,,
adriaeh01,2015,1,SFN,NL,1B,1,1,27,5,0,0,0,,,,,
adriaeh01,2015,1,SFN,NL,2B,20,13,389,27,42,2,11,,,,,
adriaeh01,2015,1,SFN,NL,3B,1,1,21,1,2,0,0,,,,,
adriaeh01,2015,1,SFN,NL,SS,20,16,455,24,54,1,13,,,,,
affelje01,2015,1,SFN,NL,P,52,0,106,3,6,0,0,,,,,
aguilje01,2015,1,CLE,AL,1B,4,4,108,26,3,0,1,,,,,
ahmedni01,2015,1,ARI,NL,SS,129,116,3127,190,368,13,84,,,,,
alberan01,2015,1,TOR,AL,P,1,0,8,0,0,0,0,,,,,
alberha01,2015,1,TEX,AL,2B,24,21,570,40,73,2,14,,,,,
alberha01,2015,1,TEX,AL,3B,7,2,77,2,3,0,0,,,,,
alberha01,2015,1,TEX,AL,SS,8,3,102,4,13,0,3,,,,,
alberma01,2015,1,CHA,AL,P,30,0,112,3,8,1,1,,,,,
albural01,2015,1,DET,AL,P,67,0,186,5,9,0,2,,,,,
alcanar01,2015,1,CHN,NL,2B,8,6,171,14,18,1,2,,,,,
alcanar01,2015,1,CHN,NL,3B,2,1,30,1,1,0,0,,,,,
alexasc01,2015,1,KCA,AL,P,4,0,18,1,1,0,0,,,,,
allenco01,2015,1,CLE,AL,P,70,0,208,2,4,0,0,,,,,
almonab01,2015,1,SDN,NL,OF,14,10,272,12,0,0,0,,,,,
