yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,Birth year,Age,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Age_Dummy
2015,HOU,AL,altuvjo01,2B,2500000,2014,1990,24,HOU,AL,158,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20,0.376,0.453,0,1,714,1
2015,CLE,AL,brantmi02,OF,5875000,2014,1987,27,CLE,AL,156,611,94,200,45,2,20,97,23,1,52,56,4,8,0,5,16,0.385,0.506,0,0,680,1
2015,DET,AL,cabremi01,3B,22000000,2014,1983,31,DET,AL,159,611,101,191,52,1,25,109,1,1,60,117,10,3,0,11,21,0.371,0.524,0,1,695,0
2015,DET,AL,martivi01,C,14000000,2014,1978,36,DET,AL,151,561,87,188,33,0,32,103,3,2,70,42,28,4,0,6,17,0.409,0.565,1,0,669,0
2015,DET,AL,kinslia01,2B,16000000,2014,1982,32,DET,AL,161,684,100,188,40,4,17,92,15,4,29,79,1,5,3,5,20,0.306,0.420,0,1,727,0
2015,SEA,AL,canoro01,2B,24000000,2014,1982,32,SEA,AL,157,595,77,187,37,2,14,82,10,3,61,68,20,6,0,3,19,0.382,0.454,0,1,685,0
2015,WAS,NL,spande01,OF,9000000,2014,1984,30,WAS,NL,147,610,94,184,39,8,5,37,31,7,50,65,1,2,3,3,6,0.353,0.416,0,0,669,0
2015,PHI,NL,reverbe01,OF,4100000,2014,1988,26,PHI,NL,151,601,71,184,13,7,2,28,49,8,13,49,1,4,7,1,11,0.321,0.361,0,0,627,1
2015,BAL,AL,jonesad01,OF,13333333,2014,1985,29,BAL,AL,159,644,88,181,30,2,29,96,7,1,19,133,1,12,0,7,11,0.311,0.469,0,0,683,0
2015,LAN,NL,kendrho01,2B,9500000,2014,1983,31,LAA,AL,157,617,85,181,33,5,7,75,14,5,48,110,8,4,3,2,15,0.346,0.397,0,1,682,0
2015,SFN,NL,pencehu01,OF,18500000,2014,1983,31,SFN,NL,162,650,106,180,29,10,20,74,13,6,52,130,3,3,0,3,13,0.332,0.445,0,0,711,0
2015,TEX,AL,beltrad01,3B,16000000,2014,1979,35,TEX,AL,148,549,79,178,33,1,19,77,1,1,57,74,13,3,0,5,15,0.388,0.492,0,1,627,0
2015,ATL,NL,markani01,OF,11000000,2014,1983,31,BAL,AL,155,642,81,177,27,1,14,50,4,2,62,84,4,4,0,2,10,0.342,0.386,0,0,714,0
2015,SFN,NL,mcgehca01,3B,4800000,2014,1982,32,MIA,NL,160,616,56,177,29,1,4,76,4,2,67,102,3,1,0,7,31,0.355,0.357,0,1,694,0
2015,CHA,AL,abreujo02,1B,8666000,2014,1987,27,CHA,AL,145,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,0.383,0.581,0,0,637,1
2015,WAS,NL,rendoan01,3B,2500000,2014,1990,24,WAS,NL,153,613,111,176,39,6,21,83,17,3,58,104,2,5,2,5,11,0.350,0.473,0,1,685,1
2015,MIL,NL,lucrojo01,C,3000000,2014,1986,28,MIL,NL,153,585,73,176,53,2,13,69,4,4,66,71,3,2,0,2,13,0.373,0.465,1,0,658,0
2015,MIA,NL,gordode01,2B,2500000,2014,1988,26,LAN,NL,148,609,92,176,24,12,2,34,64,19,31,107,0,4,3,3,3,0.325,0.378,0,1,650,1
2015,ATL,NL,freemfr01,1B,8500000,2014,1989,25,ATL,NL,162,607,93,175,43,4,18,78,3,4,90,145,4,8,0,3,18,0.386,0.461,0,0,712,1
2015,TOR,AL,reyesjo01,SS,22000000,2014,1983,31,TOR,AL,143,610,94,175,33,4,9,51,30,2,38,73,1,1,2,4,4,0.327,0.398,0,1,656,0
2015,TBA,AL,loneyja01,1B,8666666,2014,1984,30,TBA,AL,155,600,59,174,27,0,9,69,4,0,41,80,2,4,0,6,21,0.336,0.380,0,0,653,0
2015,LAA,AL,troutmi01,OF,6083000,2014,1991,23,LAA,AL,157,602,115,173,39,9,36,111,16,2,83,184,6,10,0,10,6,0.377,0.561,0,0,711,1
2015,LAA,AL,pujolal01,3B,24000000,2014,1980,34,LAA,AL,159,633,89,172,37,1,28,105,5,1,48,71,11,5,0,9,28,0.324,0.466,0,1,706,0
2015,PIT,NL,mccutan01,OF,10000000,2014,1986,28,PIT,NL,146,548,89,172,38,6,25,83,18,3,84,115,8,10,0,6,9,0.410,0.542,0,0,656,0
2015,NYN,NL,murphda08,3B,8000000,2014,1985,29,NYN,NL,143,596,79,172,37,2,9,57,13,5,39,86,3,2,0,5,15,0.332,0.403,0,1,645,0
2015,COL,NL,blackch02,OF,517500,2014,1986,28,COL,NL,154,593,82,171,27,3,19,72,28,10,31,96,5,13,6,5,3,0.332,0.440,0,0,653,0
2015,CHA,AL,cabreme01,OF,13000000,2014,1984,30,TOR,AL,139,568,81,171,35,3,16,73,6,2,43,67,3,3,2,5,19,0.349,0.458,0,0,624,0
2015,SFN,NL,poseybu01,C,16500000,2014,1987,27,SFN,NL,147,547,72,170,28,2,22,89,0,1,47,69,5,3,0,8,16,0.364,0.490,1,0,610,1
2015,CHA,AL,ramiral03,SS,10000000,2014,1981,33,CHA,AL,158,622,82,170,35,2,15,74,21,4,24,81,0,6,1,4,21,0.304,0.408,0,1,657,0
2015,SEA,AL,cruzne02,OF,14250000,2014,1980,34,BAL,AL,159,613,87,166,32,2,40,108,4,5,55,140,8,5,0,5,17,0.333,0.525,0,0,686,0
2015,LAN,NL,puigya01,OF,6214000,2014,1990,24,LAN,NL,148,558,92,165,37,9,16,69,11,7,67,124,3,12,2,1,7,0.381,0.480,0,0,643,1
2015,MIA,NL,yelicch01,OF,570000,2014,1991,23,MIA,NL,144,582,94,165,30,6,9,54,21,7,70,137,3,3,3,2,9,0.361,0.402,0,0,663,1
2015,KCA,AL,escobal02,SS,3000000,2014,1986,28,KCA,AL,162,579,74,165,34,5,3,50,31,6,23,83,1,6,8,4,12,0.313,0.377,0,1,621,0
2015,BOS,AL,sandopa01,3B,17600000,2014,1986,28,SFN,NL,157,588,68,164,26,3,16,73,0,0,39,85,6,4,0,7,16,0.324,0.415,0,1,644,0
2015,PIT,NL,harrijo05,SS,3050000,2014,1987,27,PIT,NL,143,520,77,164,38,7,13,52,18,7,22,81,1,4,2,2,6,0.345,0.490,0,1,551,1
2015,LAA,AL,aybarer01,SS,8500000,2014,1984,30,LAA,AL,156,589,77,164,30,4,7,68,16,9,36,62,4,5,3,8,10,0.320,0.379,0,1,645,0
2015,CIN,NL,frazito01,3B,4500000,2014,1986,28,CIN,NL,157,597,88,163,22,1,29,80,20,8,52,139,2,7,0,4,9,0.336,0.459,0,1,662,0
2015,LAN,NL,gonzaad01,1B,21857000,2014,1982,32,LAN,NL,159,591,83,163,41,0,27,116,1,1,56,112,9,2,0,11,13,0.335,0.482,0,0,669,0
2015,MIL,NL,gomezca01,OF,8000000,2014,1985,29,MIL,NL,148,574,95,163,34,4,23,73,34,12,47,141,0,19,1,3,10,0.356,0.477,0,0,644,0
2015,TEX,AL,andruel01,SS,15000000,2014,1988,26,TEX,AL,157,619,72,163,35,1,2,41,27,15,46,96,0,3,9,7,21,0.310,0.333,0,1,684,1
2015,SLN,NL,carpema01,OF,3750000,2014,1985,29,SLN,NL,158,595,99,162,33,2,8,59,5,3,95,111,2,8,2,9,3,0.374,0.375,0,0,711,0
2015,COL,NL,morneju01,1B,6750000,2014,1981,33,COL,NL,135,502,62,160,32,3,17,82,0,3,34,60,4,6,0,8,7,0.364,0.496,0,0,554,0
2015,PHI,NL,utleych01,2B,15000000,2014,1978,36,PHI,NL,155,589,74,159,36,6,11,78,10,1,53,85,12,13,0,9,8,0.339,0.407,0,1,676,0
2015,TOR,AL,bautijo02,OF,14000000,2014,1980,34,TOR,AL,155,553,101,158,27,0,35,103,6,2,104,96,11,9,1,6,18,0.403,0.524,0,0,684,0
