yearID_x,teamID_x,lgID_x,playerID,POS,salary
2015,LAA,AL,roberda09,OF,511250
2015,MIA,NL,kellydo01,OF,1250000
2015,OAK,AL,gentrcr01,OF,1600000
2015,PIT,NL,tabatjo01,OF,4000000
2015,WAS,NL,dendema01,OF,512972
2015,ATL,NL,maybica01,OF,7000000
2015,ATL,NL,younger03,OF,1000000
2015,BOS,AL,bradlja02,OF,528000
2015,CHA,AL,eatonad02,OF,850000
2015,CHN,NL,denorch01,OF,2600000
2015,KCA,AL,dysonja01,OF,1225000
2015,LAA,AL,navaref01,OF,511000
2015,MIA,NL,suzukic01,OF,2000000
2015,MIN,AL,schafjo02,OF,1550000
2015,OAK,AL,fuldsa01,OF,1750000
2015,SFN,NL,aokino01,OF,4000000
2015,DET,AL,gosean01,OF,515000
2015,PHI,NL,reverbe01,OF,4100000
2015,PHI,NL,sizemgr01,OF,2000000
2015,WAS,NL,johnsre02,OF,1000000
2015,CLE,AL,bournmi01,OF,13500000
2015,HOU,AL,marisja01,OF,511200
2015,SFN,NL,paganan01,OF,10250000
2015,SLN,NL,jayjo02,OF,4125000
2015,TBA,AL,guyerbr01,OF,515800
2015,ARI,NL,inciaen01,OF,513000
2015,BAL,AL,loughda01,OF,525500
2015,BOS,AL,navada01,OF,1850000
2015,CLE,AL,raburry01,OF,2500000
2015,KCA,AL,riosal01,OF,11000000
2015,LAN,NL,ethiean01,OF,18000000
2015,NYN,NL,lagarju01,OF,528696
2015,SEA,AL,jacksau01,OF,7700000
2015,SLN,NL,bourjpe01,OF,1650000
2015,BAL,AL,deazaal01,OF,5000000
2015,BOS,AL,bettsmo01,OF,514500
2015,KCA,AL,cainlo01,OF,2725000
2015,LAA,AL,cowgico01,OF,995000
2015,MIA,NL,pradoma01,OF,11000000
2015,SFN,NL,blancgr01,OF,3600000
2015,WAS,NL,spande01,OF,9000000
2015,WAS,NL,zimmery01,OF,14000000
2015,ATL,NL,gomesjo01,OF,4000000
2015,CIN,NL,hamilbi02,OF,545000
2015,HOU,AL,grossro01,OF,515000
2015,HOU,AL,preslal01,OF,1000000
2015,MIL,NL,parrage01,OF,6237500
2015,PIT,NL,hartco01,OF,2500000
2015,SDN,NL,myerswi01,OF,519800
2015,SEA,AL,ruggiju01,OF,2505000
2015,TBA,AL,dejesda01,OF,5000000
2015,ARI,NL,polloaj01,OF,519500
2015,BAL,AL,youngde03,OF,2250000
2015,BOS,AL,craigal01,OF,5500000
2015,CHA,AL,garciav01,OF,523000
2015,PIT,NL,polangr01,OF,525000
2015,TEX,AL,martile01,OF,4750000
2015,ARI,NL,peralda01,OF,1024000
2015,CHN,NL,fowlede01,OF,9500000
2015,CLE,AL,murphda07,OF,6000000
2015,CLE,AL,swishni01,OF,15000000
2015,DET,AL,davisra01,OF,5000000
2015,LAN,NL,crawfca02,OF,21357000
2015,LAN,NL,heisech01,OF,2160000
2015,NYA,AL,youngch04,OF,2500000
2015,SDN,NL,venabwi01,OF,4250000
2015,SLN,NL,carpema01,OF,3750000
2015,TOR,AL,saundmi01,OF,2875000
2015,CHN,NL,coghlch01,OF,2505000
2015,LAA,AL,joycema01,OF,4750000
2015,MIA,NL,yelicch01,OF,570000
2015,MIL,NL,gennesc01,OF,516500
2015,OAK,AL,crispco01,OF,11000000
2015,OAK,AL,vogtst01,OF,512500
2015,CHN,NL,alcanar01,OF,510000
2015,NYN,NL,cuddymi01,OF,8500000
2015,PHI,NL,browndo01,OF,2600000
2015,TBA,AL,jennide01,OF,3100000
2015,TBA,AL,kiermke01,OF,513800
2015,TEX,AL,hamiljo03,OF,22708749
2015,COL,NL,gonzaca01,OF,16000000
2015,LAN,NL,vanslsc01,OF,522500
2015,SEA,AL,morrilo01,OF,2725000
2015,SLN,NL,heywaja01,OF,7800000
2015,OAK,AL,reddijo01,OF,4100000
2015,SDN,NL,uptonbj01,OF,14450000
2015,SEA,AL,smithse01,OF,6000000
2015,SFN,NL,beltbr01,OF,3600000
2015,PIT,NL,martest01,OF,1333333
2015,TEX,AL,choosh01,OF,14000000
2015,WAS,NL,harpebr03,OF,2500000
2015,ARI,NL,trumbma01,OF,6900000
2015,ATL,NL,markani01,OF,11000000
2015,SEA,AL,ackledu01,OF,2600000
2015,COL,NL,stubbdr01,OF,5825000
2015,NYA,AL,beltrca01,OF,15000000
2015,NYA,AL,jonesga02,OF,5000000
2015,CHA,AL,cabreme01,OF,13000000
2015,LAN,NL,puigya01,OF,6214000
2015,NYA,AL,ellsbja01,OF,21142857
2015,WAS,NL,werthja01,OF,21000000
2015,DET,AL,cespeyo01,OF,10500000
2015,LAA,AL,calhoko01,OF,537500
2015,MIN,AL,hunteto01,OF,10500000
2015,NYA,AL,gardnbr01,OF,12500000
2015,CIN,NL,bruceja01,OF,12000000
2015,HOU,AL,rasmuco01,OF,8000000
2015,COL,NL,blackch02,OF,517500
2015,KCA,AL,gordoal01,OF,12500000
2015,MIL,NL,braunry02,OF,13000000
2015,CLE,AL,brantmi02,OF,5875000
2015,HOU,AL,springe01,OF,512900
2015,MIN,AL,arciaos01,OF,532500
2015,NYN,NL,grandcu01,OF,16000000
2015,SFN,NL,pencehu01,OF,18500000
2015,SLN,NL,hollima01,OF,17000000
2015,BAL,AL,pearcst01,OF,3700000
2015,MIL,NL,daviskh01,OF,519500
2015,SLN,NL,reynoma01,OF,2000000
2015,DET,AL,martijd02,OF,3000000
2015,MIA,NL,ozunama01,OF,545000
2015,MIL,NL,gomezca01,OF,8000000
2015,COL,NL,dickeco01,OF,512500
2015,CIN,NL,byrdma01,OF,8000000
2015,CLE,AL,mossbr01,OF,6500000
2015,PIT,NL,mccutan01,OF,10000000
2015,SDN,NL,kempma01,OF,21250000
2015,BAL,AL,jonesad01,OF,13333333
2015,SDN,NL,uptonju01,OF,14500000
2015,NYN,NL,dudalu01,OF,4200000
2015,TOR,AL,encared01,OF,10000000
2015,TOR,AL,bautijo02,OF,14000000
2015,LAA,AL,troutmi01,OF,6083000
2015,HOU,AL,cartech02,OF,4175000
2015,MIA,NL,stantmi03,OF,6500000
2015,SEA,AL,cruzne02,OF,14250000
