playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
penabr01,C,2500000,2015,1,CIN,NL,108,333,17,91,17,0,0
santada01,SS,537500,2015,1,MIN,AL,91,261,30,56,10,5,0
shuckja01,OF,521000,2015,1,CHA,AL,79,143,15,38,8,2,0
stewach01,C,1350000,2015,1,PIT,NL,58,159,9,46,8,0,0
hernace02,SS,525000,2015,1,PHI,NL,127,405,57,110,20,4,1
jayjo02,OF,6225000,2015,1,SLN,NL,79,210,25,44,5,1,1
pennicl01,SS,1500000,2015,1,ARI,NL,72,135,15,32,3,0,1
reverbe01,OF,6250000,2015,1,PHI,NL,96,366,49,109,13,6,1
rojasmi02,SS,511000,2015,1,MIA,NL,60,142,13,40,7,1,1
rossda01,P,2500000,2015,1,CHN,NL,72,159,6,28,9,0,1
sogarer01,SS,1500000,2015,1,OAK,AL,120,372,40,92,12,3,1
suzukic01,P,2000000,2015,1,MIA,NL,153,398,45,91,5,6,1
barnebr02,OF,1000000,2015,1,COL,NL,106,255,30,64,13,2,2
bethach01,C,511200,2015,1,ATL,NL,48,155,16,31,8,0,2
deshide02,OF,517300,2015,1,TEX,AL,121,425,83,111,22,10,2
dysonja01,OF,1725000,2015,1,KCA,AL,90,200,31,50,8,6,2
fuldsa01,OF,1925000,2015,1,OAK,AL,120,290,34,57,16,3,2
hanigry01,C,3700000,2015,1,BOS,AL,54,174,28,43,8,0,2
holtbr01,SS,606000,2015,1,BOS,AL,129,454,56,127,27,6,2
iglesjo01,SS,2100000,2015,1,DET,AL,120,416,44,125,17,3,2
infanom01,2B,7750000,2015,1,KCA,AL,124,440,39,97,23,7,2
johnsch05,3B,8007500,2015,1,ATL,NL,56,153,12,36,7,0,2
marteke01,SS,515400,2015,1,SEA,AL,57,219,25,62,14,3,2
rominan01,SS,900000,2015,1,DET,AL,109,184,25,47,5,0,2
ruizca01,C,8500000,2015,1,PHI,NL,86,284,23,60,13,1,2
tomlike01,SS,512500,2015,1,SFN,NL,54,178,23,54,6,3,2
aybarer01,SS,8500000,2015,1,LAA,AL,156,597,74,161,30,1,3
barnhtu01,OF,517500,2015,1,CIN,NL,81,242,23,61,9,0,3
campber01,OF,513308,2015,1,NYN,NL,71,173,28,34,8,0,3
carreez01,OF,521800,2015,1,TOR,AL,91,172,27,47,8,0,3
escobal02,SS,5250000,2015,1,KCA,AL,148,612,76,157,20,5,3
lobatjo01,C,1387500,2015,1,WAS,NL,44,136,11,27,4,0,3
markani01,OF,11000000,2015,1,ATL,NL,156,612,73,181,38,1,3
mercejo03,SS,2075000,2015,1,PIT,NL,116,394,34,96,21,0,3
murphjr01,C,528700,2015,1,NYA,AL,67,155,21,43,9,1,3
paganan01,OF,11250000,2015,1,SFN,NL,133,512,55,134,21,3,3
plaweke01,C,511360,2015,1,NYN,NL,73,233,18,51,9,0,3
tejadru01,SS,1500000,2015,1,NYN,NL,116,360,36,94,23,0,3
avilaal01,C,2500000,2015,1,DET,AL,67,178,21,34,5,0,4
bourjpe01,OF,2000000,2015,1,SLN,NL,117,195,32,39,8,3,4
collity01,OF,510500,2015,1,DET,AL,60,192,18,51,11,3,4
