lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
AL,davisch02,OF,21268890,2015,1,BAL,AL,160,573,100,150,31,0,47
AL,cruzne02,OF,14250000,2015,1,SEA,AL,152,590,90,178,22,1,44
NL,arenano01,3B,5000000,2015,1,COL,NL,157,616,97,177,43,4,42
NL,harpebr03,OF,5000000,2015,1,WAS,NL,153,521,118,172,38,1,42
AL,donaljo02,3B,11650000,2015,1,TOR,AL,158,620,122,184,41,2,41
AL,troutmi01,OF,16083333,2015,1,LAA,AL,159,575,104,172,32,6,41
AL,bautijo02,OF,14000000,2015,1,TOR,AL,153,543,108,136,29,3,40
NL,gonzaca01,OF,17428571,2015,1,COL,NL,153,554,87,150,25,2,40
AL,pujolal01,3B,25000000,2015,1,LAA,AL,157,602,85,147,22,0,40
AL,encared01,1B,10000000,2015,1,TOR,AL,146,528,94,146,31,0,39
AL,martijd02,OF,6750000,2015,1,DET,AL,158,596,93,168,33,2,38
AL,ortizda01,1B,16000000,2015,1,BOS,AL,146,528,73,144,37,0,37
AL,frazito01,3B,8250000,2015,1,CIN,NL,157,619,82,158,43,1,35
AL,machama01,SS,5000000,2015,1,BAL,AL,162,633,102,181,30,1,35
NL,goldspa01,1B,5833333,2015,1,ARI,NL,159,567,103,182,38,2,33
AL,rodrial01,3B,21000000,2015,1,NYA,AL,151,523,83,131,22,1,33
NL,rizzoan01,1B,5285714,2015,1,CHN,NL,160,586,94,163,38,3,31
AL,teixema01,1B,23125000,2015,1,NYA,AL,111,392,57,100,22,0,31
AL,abreujo02,1B,11666667,2015,1,CHA,AL,154,613,88,178,34,3,30
NL,vottojo01,1B,20000000,2015,1,CIN,NL,158,545,95,171,33,2,29
NL,carpema01,3B,6500000,2015,1,SLN,NL,154,574,101,156,44,3,28
AL,doziebr01,2B,3000000,2015,1,MIN,AL,157,628,101,148,39,4,28
NL,gonzaad01,1B,21000000,2015,1,LAN,NL,156,571,76,157,33,0,28
AL,alvarpe01,1B,5731704,2015,1,PIT,NL,150,437,60,106,18,0,27
AL,daviskh01,OF,524500,2015,1,MIL,NL,121,392,54,97,16,2,27
NL,dudalu01,1B,6725000,2015,1,NYN,NL,135,471,67,115,33,0,27
AL,gattiev01,OF,3300000,2015,1,HOU,AL,153,566,66,139,20,11,27
AL,jonesad01,OF,16329674,2015,1,BAL,AL,137,546,74,147,25,3,27
NL,stantmi03,OF,9000000,2015,1,MIA,NL,74,279,47,74,12,1,27
NL,bruceja01,OF,12541666,2015,1,CIN,NL,157,580,72,131,35,4,26
NL,bryankr01,OF,652000,2015,1,CHN,NL,151,559,87,154,31,5,26
AL,calhoko01,OF,3400000,2015,1,LAA,AL,159,630,78,161,23,2,26
NL,grandcu01,OF,16000000,2015,1,NYN,NL,157,580,98,150,33,2,26
AL,mccanbr01,C,17000000,2015,1,NYA,AL,135,465,68,108,15,1,26
NL,pederjo01,OF,520000,2015,1,LAN,NL,151,480,67,101,19,1,26
AL,seageky01,SS,8000000,2015,1,SEA,AL,161,623,85,166,37,0,26
AL,uptonju01,OF,22125000,2015,1,SDN,NL,150,542,85,136,26,3,26
