yearID_x,teamID_x,lgID_x,playerID,POS
2016,CHA,AL,abreujo02,1B
2016,SLN,NL,adamsma01,1B
2016,BAL,AL,alvarpe01,1B
2016,NYA,AL,birdgr01,1B
2016,MIA,NL,bourju01,1B
2016,OAK,AL,butlebi03,1B
2016,DET,AL,cabremi01,1B
2016,MIL,NL,cartech02,1B
2016,LAA,AL,croncj01,1B
2016,NYN,NL,dudalu01,1B
2016,TOR,AL,encared01,1B
2016,TEX,AL,fieldpr01,1B
2016,ATL,NL,freemfr01,1B
2016,ARI,NL,goldspa01,1B
2016,LAN,NL,gonzaad01,1B
2016,SEA,AL,lindad01,1B
2016,DET,AL,martivi01,1B
2016,MIN,AL,mauerjo01,1B
2016,KCA,AL,moralke01,1B
2016,TEX,AL,morelmi01,1B
2016,PIT,NL,morsemi01,1B
2016,BOS,AL,ortizda01,1B
2016,CHN,NL,rizzoan01,1B
2016,CLE,AL,santaca01,1B
2016,TOR,AL,smoakju01,1B
2016,NYA,AL,teixema01,1B
2016,OAK,AL,vogtst01,1B
2016,CIN,NL,vottojo01,1B
