teamID_x,lgID_x,playerID,POS,salary
CHA,AL,shuckja01,OF,521000
SDN,NL,jayjo02,OF,6225000
WAS,NL,reverbe01,OF,6250000
COL,NL,barnebr02,OF,1000000
TEX,AL,deshide02,OF,517300
KCA,AL,dysonja01,OF,1725000
OAK,AL,fuldsa01,OF,1925000
CIN,NL,barnhtu01,OF,517500
NYN,NL,campber01,OF,513308
TOR,AL,carreez01,OF,521800
ATL,NL,markani01,OF,11000000
SFN,NL,paganan01,OF,11250000
PHI,NL,bourjpe01,OF,2000000
DET,AL,collity01,OF,510500
LAN,NL,crawfca02,OF,20750000
NYN,NL,deazaal01,OF,5750000
CIN,NL,hamilbi02,OF,570000
PIT,NL,harrijo05,OF,5250000
SLN,NL,hollima01,OF,17000000
SDN,NL,spangco01,OF,517700
PHI,NL,altheaa01,OF,515500
SEA,AL,aokino01,OF,5500000
SFN,NL,blancgr01,OF,3900000
OAK,AL,burnsbi02,OF,512500
BOS,AL,castiru01,OF,11400000
DET,AL,gosean01,OF,525000
PIT,NL,jasojo01,OF,4000000
PIT,NL,joycema01,OF,1000000
SEA,AL,martile01,OF,4150000
SLN,NL,phamth01,OF,510000
SFN,NL,spande01,OF,5000000
SDN,NL,uptonbj01,OF,15450000
NYA,AL,ackledu01,OF,3200000
ATL,NL,inciaen01,OF,523000
NYN,NL,lagarju01,OF,2500000
BAL,AL,reimono01,OF,1300000
LAN,NL,vanslsc01,OF,1225000
CHN,NL,zobribe01,OF,10500000
CLE,AL,chiselo01,OF,2725000
NYA,AL,ellsbja01,OF,21142857
KCA,AL,orlanpa01,OF,514250
SLN,NL,piscost01,OF,512500
MIA,NL,yelicch01,OF,1000000
CLE,AL,davisra01,OF,5250000
HOU,AL,gomezca01,OF,9000000
TBA,AL,guyerbr01,OF,1185000
TEX,AL,hamiljo03,OF,24000000
PHI,NL,herreod01,OF,528000
CHA,AL,jacksau01,OF,5000000
SDN,NL,myerswi01,OF,523900
NYN,NL,confomi01,OF,517246
HOU,AL,marisja01,OF,519500
COL,NL,parrage01,OF,8000000
SFN,NL,pencehu01,OF,18700000
PIT,NL,polangr01,OF,535000
ARI,NL,tomasya01,OF,7500000
BOS,AL,bradlja02,OF,546500
TBA,AL,dickeco01,OF,522900
MIA,NL,dietrde01,OF,522500
ATL,NL,garciad01,OF,508750
TBA,AL,kiermke01,OF,514400
DET,AL,maybica01,OF,8000000
MIA,NL,ozunama01,OF,570000
BAL,AL,paredji01,OF,520000
CHN,NL,solerjo01,OF,3666666
TBA,AL,congeha01,OF,1500000
LAN,NL,guerral01,OF,7500000
NYA,AL,hicksaa01,OF,574000
COL,NL,paulsbe01,OF,512500
LAN,NL,puigya01,OF,7214285
PHI,NL,ascheco01,OF,530000
CHA,AL,cabreme01,OF,14000000
TOR,AL,pillake01,OF,521100
PHI,NL,rufda01,OF,527000
SEA,AL,smithse01,OF,6750000
WAS,NL,werthja01,OF,21733615
CHA,AL,garciav01,OF,2100000
KCA,AL,gordoal01,OF,12000000
CHN,NL,heywaja01,OF,19555288
CLE,AL,napolmi01,OF,7000000
COL,NL,reynoma01,OF,2600000
MIN,AL,rosared01,OF,542500
BOS,AL,shawtr01,OF,515000
BAL,AL,trumbma01,OF,9150000
HOU,AL,tuckepr01,OF,515000
CHA,AL,eatonad02,OF,2750000
LAN,NL,ethiean01,OF,18000000
WAS,NL,taylomi02,OF,524000
BOS,AL,youngch04,OF,6500000
CLE,AL,brantmi02,OF,7375000
TOR,AL,colabch01,OF,521300
SEA,AL,gutiefr01,OF,1500000
SLN,NL,mossbr01,OF,8250000
TBA,AL,pearcst01,OF,4750000
KCA,AL,cainlo01,OF,6500000
OAK,AL,canhama01,OF,512500
OAK,AL,coghlch01,OF,4800000
NYA,AL,gardnbr01,OF,13500000
CHN,NL,schwaky01,OF,522000
TBA,AL,souzast01,OF,516100
HOU,AL,springe01,OF,522400
WAS,NL,zimmery01,OF,14000000
COL,NL,blackch02,OF,3500000
CHN,NL,fowlede01,OF,8000000
